Trigger_date,Effective_date,Gold_trigger,Copper_trigger
2017-01-10,2017-01-11,False,True
2017-01-11,2017-01-12,True,False
2017-01-18,2017-01-19,False,True
2017-01-19,2017-01-20,True,False
2017-01-24,2017-01-25,False,True
2017-01-26,2017-01-27,False,True
2017-01-31,2017-02-01,False,True
2017-02-01,2017-02-02,False,True
2017-02-10,2017-02-13,False,True
2017-02-14,2017-02-15,False,True
2017-03-07,2017-03-08,False,True
2017-03-13,2017-03-14,False,True
2017-04-12,2017-04-13,False,True
2017-04-13,2017-04-14,False,True
2017-04-18,2017-04-19,False,True
2017-04-20,2017-04-21,False,True
2017-05-04,2017-05-05,True,False
2017-05-11,2017-05-12,True,False
2017-06-29,2017-06-30,False,True
2017-07-03,2017-07-04,True,True
2017-07-04,2017-07-05,True,False
2017-07-25,2017-07-26,False,True
2017-08-10,2017-08-11,False,True
2017-08-11,2017-08-14,False,True
2017-08-14,2017-08-15,False,True
2017-08-16,2017-08-17,False,True
2017-08-17,2017-08-18,False,True
2017-08-24,2017-08-25,False,True
2017-09-04,2017-09-05,True,False
2017-09-06,2017-09-07,True,False
2017-09-07,2017-09-08,True,False
2017-09-08,2017-09-11,False,True
2017-09-11,2017-09-12,True,False
2017-09-14,2017-09-15,False,True
2017-09-18,2017-09-19,False,True
2017-09-21,2017-09-22,False,True
2017-09-27,2017-09-28,False,True
2017-10-11,2017-10-12,False,True
2017-10-25,2017-10-26,False,True
2017-12-05,2017-12-06,False,True
2017-12-11,2017-12-12,False,True
2017-12-20,2017-12-21,False,True
2017-12-29,2017-12-30,True,False
