Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2024-01-01,741131,2012-06-05,2023-12-31,3125,2024-01-01,2024-01-09,7,10
MACD,2024-01-01,741131,2012-06-05,2023-12-31,3125,2024-01-01,2024-01-09,7,11
Both,2024-01-01,741131,2012-06-05,2023-12-31,3125,2024-01-01,2024-01-09,7,12
RSI,2024-01-10,741131,2012-06-05,2024-01-09,3132,2024-01-10,2024-01-10,1,10
MACD,2024-01-10,741131,2012-06-05,2024-01-09,3132,2024-01-10,2024-01-10,1,11
Both,2024-01-10,741131,2012-06-05,2024-01-09,3132,2024-01-10,2024-01-10,1,12
RSI,2024-01-11,741131,2012-06-05,2024-01-10,3133,2024-01-11,2024-01-12,2,10
MACD,2024-01-11,741131,2012-06-05,2024-01-10,3133,2024-01-11,2024-01-12,2,11
Both,2024-01-11,741131,2012-06-05,2024-01-10,3133,2024-01-11,2024-01-12,2,12
RSI,2024-01-14,965409,2012-06-05,2024-01-12,3135,2024-01-14,2024-01-14,1,10
MACD,2024-01-14,965409,2012-06-05,2024-01-12,3135,2024-01-14,2024-01-14,1,11
Both,2024-01-14,965409,2012-06-05,2024-01-12,3135,2024-01-14,2024-01-14,1,12
RSI,2024-01-15,965409,2012-06-05,2024-01-14,3136,2024-01-15,2024-01-30,12,10
MACD,2024-01-15,965409,2012-06-05,2024-01-14,3136,2024-01-15,2024-01-30,12,11
Both,2024-01-15,965409,2012-06-05,2024-01-14,3136,2024-01-15,2024-01-30,12,12
RSI,2024-01-31,965409,2012-06-05,2024-01-30,3148,2024-01-31,2024-01-31,1,10
MACD,2024-01-31,965409,2012-06-05,2024-01-30,3148,2024-01-31,2024-01-31,1,11
Both,2024-01-31,965409,2012-06-05,2024-01-30,3148,2024-01-31,2024-01-31,1,12
RSI,2024-02-01,965409,2012-06-05,2024-01-31,3149,2024-02-01,2024-02-09,8,10
MACD,2024-02-01,965409,2012-06-05,2024-01-31,3149,2024-02-01,2024-02-09,8,11
Both,2024-02-01,965409,2012-06-05,2024-01-31,3149,2024-02-01,2024-02-09,8,12
RSI,2024-02-12,965409,2012-06-05,2024-02-09,3157,2024-02-12,2024-02-12,1,10
MACD,2024-02-12,965409,2012-06-05,2024-02-09,3157,2024-02-12,2024-02-12,1,11
Both,2024-02-12,965409,2012-06-05,2024-02-09,3157,2024-02-12,2024-02-12,1,12
RSI,2024-02-13,965409,2012-06-05,2024-02-12,3158,2024-02-13,2024-03-04,16,10
MACD,2024-02-13,965409,2012-06-05,2024-02-12,3158,2024-02-13,2024-03-04,16,11
Both,2024-02-13,965409,2012-06-05,2024-02-12,3158,2024-02-13,2024-03-04,16,12
RSI,2024-03-05,798291,2012-06-05,2024-03-04,3174,2024-03-05,2024-03-13,7,10
MACD,2024-03-05,798291,2012-06-05,2024-03-04,3174,2024-03-05,2024-03-13,7,11
Both,2024-03-05,798291,2012-06-05,2024-03-04,3174,2024-03-05,2024-03-13,7,12
RSI,2024-03-14,798291,2012-06-05,2024-03-13,3181,2024-03-14,2024-03-15,2,10
MACD,2024-03-14,798291,2012-06-05,2024-03-13,3181,2024-03-14,2024-03-15,2,11
Both,2024-03-14,798291,2012-06-05,2024-03-13,3181,2024-03-14,2024-03-15,2,12
RSI,2024-03-18,798291,2012-06-05,2024-03-15,3183,2024-03-18,2024-03-20,3,10
MACD,2024-03-18,798291,2012-06-05,2024-03-15,3183,2024-03-18,2024-03-20,3,11
Both,2024-03-18,798291,2012-06-05,2024-03-15,3183,2024-03-18,2024-03-20,3,12
RSI,2024-03-21,798291,2012-06-05,2024-03-20,3186,2024-03-21,2024-03-29,7,10
MACD,2024-03-21,798291,2012-06-05,2024-03-20,3186,2024-03-21,2024-03-29,7,11
Both,2024-03-21,798291,2012-06-05,2024-03-20,3186,2024-03-21,2024-03-29,7,12
RSI,2024-04-01,798291,2012-06-05,2024-03-29,3193,2024-04-01,2024-04-01,1,10
MACD,2024-04-01,798291,2012-06-05,2024-03-29,3193,2024-04-01,2024-04-01,1,11
Both,2024-04-01,798291,2012-06-05,2024-03-29,3193,2024-04-01,2024-04-01,1,12
RSI,2024-04-02,798291,2012-06-05,2024-04-01,3194,2024-04-02,2024-04-02,1,10
MACD,2024-04-02,798291,2012-06-05,2024-04-01,3194,2024-04-02,2024-04-02,1,11
Both,2024-04-02,798291,2012-06-05,2024-04-01,3194,2024-04-02,2024-04-02,1,12
RSI,2024-04-03,798291,2012-06-05,2024-04-02,3195,2024-04-03,2024-04-03,1,10
MACD,2024-04-03,798291,2012-06-05,2024-04-02,3195,2024-04-03,2024-04-03,1,11
Both,2024-04-03,798291,2012-06-05,2024-04-02,3195,2024-04-03,2024-04-03,1,12
RSI,2024-04-04,798291,2012-06-05,2024-04-03,3196,2024-04-04,2024-04-22,14,10
MACD,2024-04-04,798291,2012-06-05,2024-04-03,3196,2024-04-04,2024-04-22,14,11
Both,2024-04-04,798291,2012-06-05,2024-04-03,3196,2024-04-04,2024-04-22,14,12
RSI,2024-04-23,798291,2012-06-05,2024-04-22,3210,2024-04-23,2024-05-01,8,10
MACD,2024-04-23,798291,2012-06-05,2024-04-22,3210,2024-04-23,2024-05-01,8,11
Both,2024-04-23,798291,2012-06-05,2024-04-22,3210,2024-04-23,2024-05-01,8,12
RSI,2024-05-02,798291,2012-06-05,2024-05-01,3218,2024-05-02,2024-05-06,3,10
MACD,2024-05-02,798291,2012-06-05,2024-05-01,3218,2024-05-02,2024-05-06,3,11
Both,2024-05-02,798291,2012-06-05,2024-05-01,3218,2024-05-02,2024-05-06,3,12
RSI,2024-05-07,798291,2012-06-05,2024-05-06,3221,2024-05-07,2024-05-07,1,10
MACD,2024-05-07,798291,2012-06-05,2024-05-06,3221,2024-05-07,2024-05-07,1,11
Both,2024-05-07,798291,2012-06-05,2024-05-06,3221,2024-05-07,2024-05-07,1,12
RSI,2024-05-08,798291,2012-06-05,2024-05-07,3222,2024-05-08,2024-05-11,4,10
MACD,2024-05-08,798291,2012-06-05,2024-05-07,3222,2024-05-08,2024-05-11,4,11
Both,2024-05-08,798291,2012-06-05,2024-05-07,3222,2024-05-08,2024-05-11,4,12
RSI,2024-05-13,798291,2012-06-05,2024-05-11,3226,2024-05-13,2024-05-17,5,10
MACD,2024-05-13,798291,2012-06-05,2024-05-11,3226,2024-05-13,2024-05-17,5,11
Both,2024-05-13,798291,2012-06-05,2024-05-11,3226,2024-05-13,2024-05-17,5,12
RSI,2024-05-20,798291,2012-06-05,2024-05-17,3231,2024-05-20,2024-05-22,3,10
MACD,2024-05-20,798291,2012-06-05,2024-05-17,3231,2024-05-20,2024-05-22,3,11
Both,2024-05-20,798291,2012-06-05,2024-05-17,3231,2024-05-20,2024-05-22,3,12
RSI,2024-05-23,798291,2012-06-05,2024-05-22,3234,2024-05-23,2024-05-30,7,10
MACD,2024-05-23,798291,2012-06-05,2024-05-22,3234,2024-05-23,2024-05-30,7,11
Both,2024-05-23,798291,2012-06-05,2024-05-22,3234,2024-05-23,2024-05-30,7,12
RSI,2024-05-31,374583,2012-06-05,2024-05-30,3241,2024-05-31,2024-06-06,5,10
MACD,2024-05-31,374583,2012-06-05,2024-05-30,3241,2024-05-31,2024-06-06,5,11
Both,2024-05-31,374583,2012-06-05,2024-05-30,3241,2024-05-31,2024-06-06,5,12
RSI,2024-06-07,785634,2012-06-05,2024-06-06,3246,2024-06-07,2024-06-07,1,10
MACD,2024-06-07,785634,2012-06-05,2024-06-06,3246,2024-06-07,2024-06-07,1,11
Both,2024-06-07,785634,2012-06-05,2024-06-06,3246,2024-06-07,2024-06-07,1,12
RSI,2024-06-10,785634,2012-06-05,2024-06-07,3247,2024-06-10,2024-06-19,8,10
MACD,2024-06-10,785634,2012-06-05,2024-06-07,3247,2024-06-10,2024-06-19,8,11
Both,2024-06-10,785634,2012-06-05,2024-06-07,3247,2024-06-10,2024-06-19,8,12
RSI,2024-06-20,785634,2012-06-05,2024-06-19,3255,2024-06-20,2024-06-21,2,10
MACD,2024-06-20,785634,2012-06-05,2024-06-19,3255,2024-06-20,2024-06-21,2,11
Both,2024-06-20,785634,2012-06-05,2024-06-19,3255,2024-06-20,2024-06-21,2,12
RSI,2024-06-24,785634,2012-06-05,2024-06-21,3257,2024-06-24,2024-06-24,1,10
MACD,2024-06-24,785634,2012-06-05,2024-06-21,3257,2024-06-24,2024-06-24,1,11
Both,2024-06-24,785634,2012-06-05,2024-06-21,3257,2024-06-24,2024-06-24,1,12
RSI,2024-06-25,785634,2012-06-05,2024-06-24,3258,2024-06-25,2024-06-25,1,10
MACD,2024-06-25,785634,2012-06-05,2024-06-24,3258,2024-06-25,2024-06-25,1,11
Both,2024-06-25,785634,2012-06-05,2024-06-24,3258,2024-06-25,2024-06-25,1,12
RSI,2024-06-26,785634,2012-06-05,2024-06-25,3259,2024-06-26,2024-06-28,3,10
MACD,2024-06-26,785634,2012-06-05,2024-06-25,3259,2024-06-26,2024-06-28,3,11
Both,2024-06-26,785634,2012-06-05,2024-06-25,3259,2024-06-26,2024-06-28,3,12
RSI,2024-07-01,785634,2012-06-05,2024-06-28,3262,2024-07-01,2024-07-05,5,10
MACD,2024-07-01,785634,2012-06-05,2024-06-28,3262,2024-07-01,2024-07-05,5,11
Both,2024-07-01,785634,2012-06-05,2024-06-28,3262,2024-07-01,2024-07-05,5,12
RSI,2024-07-08,42716,2012-06-05,2024-07-05,3267,2024-07-08,2024-07-09,2,10
MACD,2024-07-08,42716,2012-06-05,2024-07-05,3267,2024-07-08,2024-07-09,2,11
Both,2024-07-08,42716,2012-06-05,2024-07-05,3267,2024-07-08,2024-07-09,2,12
RSI,2024-07-10,42716,2012-06-05,2024-07-09,3269,2024-07-10,2024-07-11,2,10
MACD,2024-07-10,42716,2012-06-05,2024-07-09,3269,2024-07-10,2024-07-11,2,11
Both,2024-07-10,42716,2012-06-05,2024-07-09,3269,2024-07-10,2024-07-11,2,12
RSI,2024-07-12,42716,2012-06-05,2024-07-11,3271,2024-07-12,2024-07-12,1,10
