Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,6.10777564369894,0.6327146649900035,0.6575803211156058,54,1,55,0.0,0.0
Features_only,4.677556838837289,0.44152628712336556,0.5084638256185194,54,1,55,-1.430218804861651,-30.21715608087867
Triggers_only,5.26843593120324,0.5015316060482429,0.5702599526854122,82,1,83,-0.8393397124956996,-20.733367851341523
Features_and_triggers,4.282159331351959,0.3680452029002205,0.4654738835727467,82,1,83,-1.8256163123469804,-41.83077724205501
