Month,Method,N,MAPE,MSE
2021-01,Original,22,11.119063787269056,1.5324411839834242
2021-02,Original,23,8.381179982946737,1.2738871173656725
2021-03,Original,23,8.049365095318233,0.8512910848845875
2021-04,Original,23,8.54240414907568,0.9555177184332402
2021-05,Original,23,3.4144390715249084,0.23473484242075857
2021-06,Original,22,6.279804286601152,0.5688208435008866
2021-07,Original,22,4.535987186956364,0.3259764952291844
2021-08,Original,22,6.141116023311632,0.6229412458158012
2021-09,Original,25,5.57890024409825,0.5336384720594928
2021-10,Original,22,3.7894132930978297,0.23463840680147152
2021-11,Original,22,3.790974184101687,0.22885025008239665
2021-12,Original,23,3.673593276535551,0.22616583327417733
2021-01,Features_only,22,6.247164000126573,0.5134553698884512
2021-02,Features_only,23,7.9287400343657195,1.2705086195269255
2021-03,Features_only,23,3.1190249868319664,0.18068191045646986
2021-04,Features_only,23,6.811138370864326,0.6604572522348975
2021-05,Features_only,23,3.4933696962345953,0.3435269508945215
2021-06,Features_only,22,5.292957314675832,0.46630717128921473
2021-07,Features_only,22,2.2902789347666928,0.10640411466846893
2021-08,Features_only,22,5.43993766334708,0.570955501862279
2021-09,Features_only,25,5.217957036503197,0.5453695003469751
2021-10,Features_only,22,3.6201848600012325,0.22534367488201115
2021-11,Features_only,22,2.907280872102178,0.1318564966814192
2021-12,Features_only,23,3.6170683926047733,0.24681749927416294
2021-01,Triggers_only,22,8.105046277210166,0.9880188946247679
2021-02,Triggers_only,23,6.926440576912457,1.0398337826046031
2021-03,Triggers_only,23,6.034281449338557,0.5796053497447454
2021-04,Triggers_only,23,6.942175995924747,0.6639995843275132
2021-05,Triggers_only,23,2.8745020732977196,0.1575430127084851
2021-06,Triggers_only,22,6.279804286601152,0.5688208435008866
2021-07,Triggers_only,22,2.807647641661409,0.13339405314100886
2021-08,Triggers_only,22,6.141116023311632,0.6229412458158012
2021-09,Triggers_only,25,5.597076333874205,0.5340024585580221
2021-10,Triggers_only,22,4.0762591348363495,0.2673568194540981
2021-11,Triggers_only,22,3.790974184101687,0.22885025008239665
2021-12,Triggers_only,23,3.5995137693323214,0.2225021417257141
2021-01,Features_and_triggers,22,4.705525557391922,0.35793474772085077
2021-02,Features_and_triggers,23,6.602328161586218,0.9219597185121465
2021-03,Features_and_triggers,23,2.658293906634072,0.1524319892522823
2021-04,Features_and_triggers,23,5.809324125505621,0.5168710639938304
2021-05,Features_and_triggers,23,2.410384414735009,0.13202069834420688
2021-06,Features_and_triggers,22,5.292957314675832,0.46630717128921473
2021-07,Features_and_triggers,22,2.9619951264228344,0.12337886683984482
2021-08,Features_and_triggers,22,5.43993766334708,0.570955501862279
2021-09,Features_and_triggers,25,5.238468421856133,0.5459794824774378
2021-10,Features_and_triggers,22,3.6029775621501265,0.21835380811098434
2021-11,Features_and_triggers,22,2.907280872102178,0.1318564966814192
2021-12,Features_and_triggers,23,3.6392692814238696,0.24826014258549003
