Neuron,Test_gate,Train_gate,Test_pre_ReLU,Train_pre_ReLU
H1_03,0,1,-1.3239127,0.018797161
H1_09,0,1,-0.93122816,0.41976863
H2_05,1,0,0.8728908,-0.03615906
H2_16,1,0,0.40624964,-0.3755158
H2_32,0,1,-0.09553954,0.20178637
