Epoch,Train_unique_patterns,Test_unique_patterns,Test_unseen_percent,Mean_min_hamming,Max_min_hamming
100,1159,80,78.59778597785979,1.8154981549815499,7
200,1149,61,89.2988929889299,1.933579335793358,6
300,1188,69,95.9409594095941,2.5239852398523985,6
400,1092,64,96.30996309963099,2.5830258302583027,5
