Pattern,Train_count
000111111100011101000100000110000001111111000101,54
000111111100111101000100000110000001111111000101,34
010111111100011101000100000110000001111111000101,26
000110101100100000001101000110010111111011001101,24
001000100010100000100111100100000010010000001101,23
000111111100011101000100000110000001111111000001,18
000111111101011101000100000110000001111111000001,17
000111111101011101000100000110000001111111000101,17
001000000110000001110111100100000000010000100111,16
110011111010111100100101001100010110110100000111,14
000110101100100000001101000110000111110011001001,13
000110111100011101000100000110000001111111000001,13
000111111101011101000100000110010001111111000101,12
111011011101011101000100000100000001011101000011,12
011000101010100000100111000100000110010000001101,11
111011111011011100100101001100010110110101000101,11
000111101101011101000100000110000001111111000101,11
101001010110010101100101000100000110111101000111,11
000111111100011101000101000110000001111111000101,11
000110101100100000001101000000000111110011001001,10
000110101100100000001101000110000111111011001001,9
000111111101011101000101000110000001111111000001,9
000110101100011101000101000110000011111111000001,9
111001011100010101000100000100000001011100000011,8
000111111101011101000101000110000001111111000101,7
000111111100011101000100000110010001111111000101,7
000110101100100000001101000100000111110011001001,7
001010000110000001100111100100000001011000000111,7
111011011100011101000100000100000001111101000111,7
111011011100010101000101000100000100111101000111,7
000110101100100000001101000110000111111011001101,7
000110101100100000001111000110000111110011001001,7
001111011101010101000100100110000001111111000001,6
111011111010011100100101001100010110110101000111,6
000111011100011101000100000110000001111111000001,6
000110101101100000001101000000000111110011001001,6
000110101100100000001111000010000111110111001001,6
000110101101110000001111000010000111110111001001,6
000111111100111101000100000110010001111111000101,6
111011111010011100100101001100010110110100000111,6
111011111011011100000101000100000110110101000111,6
001000100010100010100111100100000010010000001101,6
111011111011011100100101001100010110110101000111,5
001000000110000001100111100100000001011000000111,5
111011101011000000100101000100000010010100100111,5
001000000111000001100111100100000000010000100111,5
110011011011110000110111001100000010110100000111,5
001000100010100000100111100100000110010000001101,5
111011111011011100000101001100010110110101000111,5
000110101100110000001101000110000111110011001001,5
001000000110000001110111100100000010010000000111,5
000110101100110000001111000010000111110111001001,5
111011011101011101000100000100000001111101000111,5
101001010110010100100101000100010110111101000111,5
111011001111010000100111000100000010010100100111,5
000111111101111101000100000110000001111111000101,5
001000000110000001100111100100000000010000100111,5
001000100011100010100111100100000010010000001101,5
101011000111100100100101100100000000110000000111,4
000110101100110000001101000110000111111111001001,4
000110101100110000001101000110000111111011001001,4
001000100011100010111111100100010110110000001101,4
000111101100011101000100000110000001111111000101,4
111001011010010101100101000100000011010100100111,4
000110111101011101000100000110000001111111000001,4
001010000111000001101111100100000000110001000101,4
000110101100100000101101000010010111111011001101,4
001110111100010101000100000110000001111111000001,4
000110101100100000001111000010000111110011001001,4
111011011010010100110101001100010110110100000111,4
000111011100011101000100000110000001111111000101,4
110001110010001100111111001100010110110100000110,4
000110101101010101000101100110000011111111000001,4
001110111100011101000100000110000001111111000001,4
111011011100011101000100000100000000011101000111,4
101001010110010101100101000100000010111101000111,4
110001110010011100111111001100010110110100000111,4
001000100010100000110111100100000110010000001101,4
001000000110000001100111100100000001010000100111,4
110011111011011000100111001100000110110100000101,4
101011000111000000101111100100000000110101000101,4
101011000111000011101111100100000010110001100111,4
001000100010100000110111100100000010010000001101,4
011000101010100000100111100100000110010000001101,4
111011111010001100100101001100010110110101000101,4
111011011111010000100111100100000010010100100111,4
101001010110000101100101000100000110111101000111,4
001110101100001101000100000110000001111111000101,3
111001011010010100110101001100000110110100000111,3
111011111011001100000101000100000110110101000101,3
010111111100011101000100000110000001111111000001,3
010011011110010100100101000110000011111111000111,3
