Pattern,Train_count
010111111100011101000100000110000001111111000001,35
000111011100011101000100000110000001111111000001,24
000110111100011101000100000110000001111111000001,20
000111101100011101000100000110000001111111000101,18
000111111100011101000100000110000001111111000001,18
001000100011100000100111100100000010010000001101,16
000110101100100000001101000100010111111011001101,14
001000000111000001110111100100000010010000000111,13
000110101100110000001111000110000111110011000001,12
000100101100110000001111000110000111110011001001,11
001000100010100000100111100100000010010000001101,11
000111101100011101000100000110000001111111000001,11
011000001111000001100111100100000010010000000111,11
000111011100011101000100000110000001111111000101,10
000111011100111101000100000110000001111111000101,10
001000100011100010100111100100000010010000001101,10
000110101100110000001111000100000111110011001001,10
000100101100100000001111000100000111110011001001,9
010111011100011101000100000110000001111111000001,9
000100101100110000001111000100000111110011001001,9
000110101100100000001111000100010111110011001101,8
001010000111000001100111100100000000010000000111,8
111001001011010000100111000100000010010100100111,8
000110101100100000001101000100010111110011001101,8
110001111011011000100111001100010110110100000111,8
000110101100110000001111000110000111110011001001,8
001000100011100010111111100100010110110000001101,7
010110111100011101000100000110000001111111000001,7
001111101100011101000100000110000001111111000101,7
111001001111010000100111100100000010010100100111,7
010111101100011101000100000110000001111111000101,7
000111011100011101000100000110010001111111000101,7
000110101100011101000100000110000001111111000001,7
001000100110000001110111100100000010010000000111,6
010111111100011101000100000110000001111111000101,6
000111011100111101000100000110010001111111000101,6
000111101100011101000101000110000001111111000101,6
110001111010111100100101001100010110110100000111,6
010111111100011101000101000110000001111111000001,6
111001001111010000100111000100000010010100100111,6
000110101100100000001111000100000111110011001001,6
000111111100011101000100000110000001111111000101,6
000100101100100000001111000100010111110001001001,6
001000000111000001100111100100000010010000000111,6
111011111010011100100101001100010110110101000111,6
110001110010001100111111001100010110110100000110,6
000110101100101000001111000100010111110011001101,5
011111111100011101000100000110000001111111000001,5
000110101100110000001111000100010111110011001101,5
111011011100011100000101000100000000011101000111,5
010011011110010100100101000110000011111111000111,5
111001001100010101000100100100000001011100000011,5
111001111010011100100101001100010110110101000111,5
110001111011111000100111001100010110110100000111,5
111011001100010100000101000100000000011101000011,5
011111101100011101000101000110000001111111000001,4
010111011100011101000100000110000001111111000101,4
001000000111000001100111100100000011010000000111,4
011111101101011101000101000110000011111111000001,4
001000100011100000110111100100000010010000001101,4
000111011101011101000100000110000001111111000101,4
110011111111111000100101001100010110110100000111,4
011000101010100000101111000100000010010000001101,4
011000101010100000101111000100000110010000001101,4
000110111100011101000101000110000001111111000001,4
000110101100111000001111000100010111110011001101,4
111111001111011100000101000100000000111101000101,4
000100101100100000001111000100010111110001001101,4
111001010110010100110101001100010110110100000111,4
101001010110010100100101000100010110111101000111,4
111001001101010101000101100100000000011101000011,4
111001001100011101000100000100000001011101000011,4
110011110011000000111111001100010110110100000111,4
111111001101011100000101000100000000111101000101,4
111001001111010000100101100100000010010100100111,4
110011110010001100111111001100010110110100000111,4
111001011110010100110111001100010110110100000111,4
001000000111000011111111100100000010010000100111,4
111001011111010100100111100100010110110100000111,4
101001010110000100100101000100010100111101000111,4
000110101100100000001111000100010111110001001101,4
110011011111111100100101001100010110110100000111,4
101001000111000100100101100100000010010100000111,4
111011011100010100100101000100000000011101000111,4
111011011100010100000101000100000000011101000111,4
000110101100100000001101000110010111111011001101,4
011111101100011101000100000110000001111111000001,3
111011111011011100000101001100010110110101000111,3
001111001100010101000100000110000001111111000001,3
111011101011011100100101001100010110110101000101,3
011000011010010001100111000100000011010100000111,3
111011111011011100100101001100010110110100000101,3
001110101100011101000100000110000001111111000001,3
111001111010011100100101001100010110110101000101,3
011110101100011101000100000110000001111111000001,3
111001011010010101100101000100000001010100100111,3
111011111111011100100101001100010110110101000101,3
111011111010111100100101001100010110110101000101,3
110011111010011100100101001100010110110101000101,3
111011111010011100100101001100010110110100000101,3
010100111100011101000100000110000001111111000001,3
101001010110000100100101000100010110111101000111,3
111011011101011100000101000100000001011101000011,3
010000011110010100110111000110000011110110000111,3
111011101011000000100101000100000010010100100111,3
111101001101011101000101000100000001011101000011,3
110001111011011000111111001100010110110100000111,3
110011110010001100111111001100010110110100000110,3
111111001111011100000101000100000001111101000101,3
001111011101010101000101100110000001111111000001,3
111011011110010100110101001100010110110100000111,3
111011101011010000100101000100000010010100100111,3
111011010110100100110101001100010110110101000111,3
111011111011010000100101000100000010010100100111,3
111011011100011100000101000100000001011101000011,3
111011001100011100000101000100000000011101000111,3
000111111100011101000101000110000001111111000101,3
011011011111010100100101100100000000110101000111,3
000111001100011101000100000110010001111111000101,3
111001011100010101000101000100000000011111000011,3
010111011100111101000100000110000001111111000101,3
011111111100111101000100000110000001111111000101,3
110011111010011100100101001100010110110101000111,3
010111001100011101000100000110000001111111000101,3
000111011100111100000100000110010001111111000101,3
111001001111000000110111100100000010010100000111,3
