Epoch,Status,N,MAPE,MPE,Mean_min_hamming
100,Seen,58,6.960760505377703,2.3903799810291835,0.0
100,Unseen,213,18.03737776833307,-15.033201898249285,2.3098591549295775
200,Seen,29,8.06331513716488,-3.1999012595362064,0.0
200,Unseen,242,21.06493712690486,-19.334763662438124,2.165289256198347
300,Seen,11,9.842630813083067,-9.842630813083067,0.0
300,Unseen,260,23.11136028047671,-22.675144195386654,2.6307692307692307
400,Seen,10,11.010098067628523,-11.010098067628523,0.0
400,Unseen,261,25.236443027400018,-24.911613541645856,2.681992337164751
