Neuron,Test_gate,Train_gate,Test_pre_ReLU,Train_pre_ReLU
H1_02,1,0,0.022032414,-0.11157483
H1_03,0,1,-0.38020417,0.29970184
H2_12,0,1,-0.1134905,0.24437304
