Epoch,Month,Mean_min_hamming,MAPE,MPE,N,Unseen_percent
100,2020-01,1.3333333333333333,8.304818012535874,-8.304818012535874,24,87.5
100,2020-02,0.9047619047619048,11.376980455352745,-11.376980455352745,21,57.14285714285714
100,2020-03,1.8181818181818181,5.9940337496015506,3.5614551443643974,22,86.36363636363636
100,2020-04,1.0,6.5991824579524,2.7277793023611454,23,56.52173913043479
100,2020-05,0.21739130434782608,3.4341799363892087,2.2730482750438687,23,21.739130434782606
100,2020-06,0.43478260869565216,11.845655820019633,11.845655820019633,23,43.47826086956522
100,2020-07,1.6956521739130435,3.965037651640859,-0.6408767887545982,23,91.30434782608697
100,2020-08,3.380952380952381,11.789551885891287,-11.556570173761022,21,100.0
100,2020-09,2.4166666666666665,26.603743244893224,-26.603743244893224,24,100.0
100,2020-10,2.739130434782609,24.32766943621948,-24.32766943621948,23,100.0
100,2020-11,2.4285714285714284,37.28588111079672,-37.28588111079672,21,100.0
100,2020-12,3.5217391304347827,37.06786942840723,-37.06786942840723,23,100.0
200,2020-01,1.1666666666666667,7.350224167937449,-7.350224167937449,24,91.66666666666666
200,2020-02,0.9523809523809523,12.997063216277674,-12.997063216277674,21,52.38095238095239
200,2020-03,2.6818181818181817,8.98460966423873,0.5935978752747046,22,95.45454545454545
200,2020-04,0.5652173913043478,7.661132714652625,-1.5587312350916087,23,47.82608695652174
200,2020-05,1.3478260869565217,5.619509581629476,-4.7912461102288555,23,82.6086956521739
200,2020-06,1.3478260869565217,4.179902659238747,3.910665305440003,23,100.0
200,2020-07,2.3043478260869565,9.846614617182007,-9.693046881392618,23,100.0
200,2020-08,2.9047619047619047,21.713838036605864,-21.713838036605864,21,100.0
200,2020-09,2.3333333333333335,36.921269857685495,-36.921269857685495,24,100.0
200,2020-10,2.608695652173913,34.880292305981065,-34.880292305981065,23,100.0
200,2020-11,2.5714285714285716,45.70758527006415,-45.70758527006415,21,100.0
200,2020-12,2.5217391304347827,41.40321931604013,-41.40321931604013,23,100.0
300,2020-01,1.375,7.260909350062771,-6.3188125204425125,24,91.66666666666666
300,2020-02,0.8095238095238095,13.359119829731975,-13.359119829731975,21,57.14285714285714
300,2020-03,2.1363636363636362,8.084357636572953,-4.474858901346592,22,100.0
300,2020-04,1.6956521739130435,9.197969552649667,-8.702452768408406,23,100.0
300,2020-05,2.652173913043478,10.579577318282746,-10.579577318282746,23,100.0
300,2020-06,2.347826086956522,6.14124241301018,-6.14124241301018,23,100.0
300,2020-07,2.6956521739130435,17.705217960299933,-17.705217960299933,23,100.0
300,2020-08,3.380952380952381,26.681738127325065,-26.681738127325065,21,100.0
300,2020-09,3.7916666666666665,40.51136125408363,-40.51136125408363,24,100.0
300,2020-10,3.391304347826087,38.86661505708918,-38.86661505708918,23,100.0
300,2020-11,2.9523809523809526,49.72627557695986,-49.72627557695986,21,100.0
300,2020-12,3.0,43.9320927051633,-43.9320927051633,23,100.0
400,2020-01,1.4583333333333333,7.269587255784656,-5.550236593322615,24,91.66666666666666
400,2020-02,1.2380952380952381,13.750027771728961,-13.750027771728961,21,90.47619047619048
400,2020-03,2.5,8.783397032551443,-6.80539340151746,22,100.0
400,2020-04,1.4782608695652173,12.120990932329763,-12.120990932329763,23,73.91304347826086
400,2020-05,2.130434782608696,14.378689891259416,-14.378689891259416,23,100.0
400,2020-06,2.6956521739130435,10.81883726228997,-10.81883726228997,23,100.0
400,2020-07,2.782608695652174,21.426795343411893,-21.426795343411893,23,100.0
400,2020-08,4.095238095238095,28.92083869372544,-28.92083869372544,21,100.0
400,2020-09,3.2083333333333335,42.614333220297375,-42.614333220297375,24,100.0
400,2020-10,3.217391304347826,41.19170606047931,-41.19170606047931,23,100.0
400,2020-11,3.238095238095238,51.60007849113837,-51.60007849113837,21,100.0
400,2020-12,3.0434782608695654,44.70097792749663,-44.70097792749663,23,100.0
