Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2015-01-01,550343,2012-06-05,2014-12-31,694,2015-01-01,2015-01-04,3,10
MACD,2015-01-01,550343,2012-06-05,2014-12-31,694,2015-01-01,2015-01-04,3,11
Both,2015-01-01,550343,2012-06-05,2014-12-31,694,2015-01-01,2015-01-04,3,12
RSI,2015-01-05,550343,2012-06-05,2015-01-04,697,2015-01-05,2015-01-06,2,10
MACD,2015-01-05,550343,2012-06-05,2015-01-04,697,2015-01-05,2015-01-06,2,11
Both,2015-01-05,550343,2012-06-05,2015-01-04,697,2015-01-05,2015-01-06,2,12
RSI,2015-01-07,965409,2012-06-05,2015-01-06,699,2015-01-07,2015-01-07,1,10
MACD,2015-01-07,965409,2012-06-05,2015-01-06,699,2015-01-07,2015-01-07,1,11
Both,2015-01-07,965409,2012-06-05,2015-01-06,699,2015-01-07,2015-01-07,1,12
RSI,2015-01-08,550343,2012-06-05,2015-01-07,700,2015-01-08,2015-01-12,3,10
MACD,2015-01-08,550343,2012-06-05,2015-01-07,700,2015-01-08,2015-01-12,3,11
Both,2015-01-08,550343,2012-06-05,2015-01-07,700,2015-01-08,2015-01-12,3,12
RSI,2015-01-13,550343,2012-06-05,2015-01-12,703,2015-01-13,2015-01-14,2,10
MACD,2015-01-13,550343,2012-06-05,2015-01-12,703,2015-01-13,2015-01-14,2,11
Both,2015-01-13,550343,2012-06-05,2015-01-12,703,2015-01-13,2015-01-14,2,12
RSI,2015-01-15,550343,2012-06-05,2015-01-14,705,2015-01-15,2015-01-15,1,10
MACD,2015-01-15,550343,2012-06-05,2015-01-14,705,2015-01-15,2015-01-15,1,11
Both,2015-01-15,550343,2012-06-05,2015-01-14,705,2015-01-15,2015-01-15,1,12
RSI,2015-01-16,42716,2012-06-05,2015-01-15,706,2015-01-16,2015-01-20,3,10
MACD,2015-01-16,42716,2012-06-05,2015-01-15,706,2015-01-16,2015-01-20,3,11
Both,2015-01-16,42716,2012-06-05,2015-01-15,706,2015-01-16,2015-01-20,3,12
RSI,2015-01-21,374583,2012-06-05,2015-01-20,709,2015-01-21,2015-01-26,4,10
MACD,2015-01-21,374583,2012-06-05,2015-01-20,709,2015-01-21,2015-01-26,4,11
Both,2015-01-21,374583,2012-06-05,2015-01-20,709,2015-01-21,2015-01-26,4,12
RSI,2015-01-27,640934,2012-06-05,2015-01-26,713,2015-01-27,2015-01-27,1,10
MACD,2015-01-27,640934,2012-06-05,2015-01-26,713,2015-01-27,2015-01-27,1,11
Both,2015-01-27,640934,2012-06-05,2015-01-26,713,2015-01-27,2015-01-27,1,12
RSI,2015-01-28,640934,2012-06-05,2015-01-27,714,2015-01-28,2015-01-28,1,10
MACD,2015-01-28,640934,2012-06-05,2015-01-27,714,2015-01-28,2015-01-28,1,11
Both,2015-01-28,640934,2012-06-05,2015-01-27,714,2015-01-28,2015-01-28,1,12
RSI,2015-01-29,640934,2012-06-05,2015-01-28,715,2015-01-29,2015-02-03,4,10
MACD,2015-01-29,640934,2012-06-05,2015-01-28,715,2015-01-29,2015-02-03,4,11
Both,2015-01-29,640934,2012-06-05,2015-01-28,715,2015-01-29,2015-02-03,4,12
RSI,2015-02-04,550343,2012-06-05,2015-02-03,719,2015-02-04,2015-02-10,5,10
MACD,2015-02-04,550343,2012-06-05,2015-02-03,719,2015-02-04,2015-02-10,5,11
Both,2015-02-04,550343,2012-06-05,2015-02-03,719,2015-02-04,2015-02-10,5,12
