Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2017-01-02,965409,2012-06-05,2016-12-31,1228,2017-01-02,2017-01-10,7,10
MACD,2017-01-02,965409,2012-06-05,2016-12-31,1228,2017-01-02,2017-01-10,7,11
Both,2017-01-02,965409,2012-06-05,2016-12-31,1228,2017-01-02,2017-01-10,7,12
RSI,2017-01-11,385735,2012-06-05,2017-01-10,1235,2017-01-11,2017-01-11,1,10
MACD,2017-01-11,385735,2012-06-05,2017-01-10,1235,2017-01-11,2017-01-11,1,11
Both,2017-01-11,385735,2012-06-05,2017-01-10,1235,2017-01-11,2017-01-11,1,12
RSI,2017-01-12,385735,2012-06-05,2017-01-11,1236,2017-01-12,2017-01-18,5,10
MACD,2017-01-12,385735,2012-06-05,2017-01-11,1236,2017-01-12,2017-01-18,5,11
Both,2017-01-12,385735,2012-06-05,2017-01-11,1236,2017-01-12,2017-01-18,5,12
RSI,2017-01-19,385735,2012-06-05,2017-01-18,1241,2017-01-19,2017-01-19,1,10
MACD,2017-01-19,385735,2012-06-05,2017-01-18,1241,2017-01-19,2017-01-19,1,11
Both,2017-01-19,385735,2012-06-05,2017-01-18,1241,2017-01-19,2017-01-19,1,12
RSI,2017-01-20,550343,2012-06-05,2017-01-19,1242,2017-01-20,2017-01-24,4,10
MACD,2017-01-20,550343,2012-06-05,2017-01-19,1242,2017-01-20,2017-01-24,4,11
Both,2017-01-20,550343,2012-06-05,2017-01-19,1242,2017-01-20,2017-01-24,4,12
RSI,2017-01-25,385735,2012-06-05,2017-01-24,1246,2017-01-25,2017-01-26,2,10
MACD,2017-01-25,385735,2012-06-05,2017-01-24,1246,2017-01-25,2017-01-26,2,11
Both,2017-01-25,385735,2012-06-05,2017-01-24,1246,2017-01-25,2017-01-26,2,12
RSI,2017-01-27,550343,2012-06-05,2017-01-26,1248,2017-01-27,2017-01-31,3,10
MACD,2017-01-27,550343,2012-06-05,2017-01-26,1248,2017-01-27,2017-01-31,3,11
Both,2017-01-27,550343,2012-06-05,2017-01-26,1248,2017-01-27,2017-01-31,3,12
RSI,2017-02-01,550343,2012-06-05,2017-01-31,1251,2017-02-01,2017-02-01,1,10
MACD,2017-02-01,550343,2012-06-05,2017-01-31,1251,2017-02-01,2017-02-01,1,11
Both,2017-02-01,550343,2012-06-05,2017-01-31,1251,2017-02-01,2017-02-01,1,12
RSI,2017-02-02,550343,2012-06-05,2017-02-01,1252,2017-02-02,2017-02-10,8,10
MACD,2017-02-02,550343,2012-06-05,2017-02-01,1252,2017-02-02,2017-02-10,8,11
Both,2017-02-02,550343,2012-06-05,2017-02-01,1252,2017-02-02,2017-02-10,8,12
RSI,2017-02-13,565766,2012-06-05,2017-02-10,1260,2017-02-13,2017-02-14,2,10
MACD,2017-02-13,565766,2012-06-05,2017-02-10,1260,2017-02-13,2017-02-14,2,11
Both,2017-02-13,565766,2012-06-05,2017-02-10,1260,2017-02-13,2017-02-14,2,12
RSI,2017-02-15,550343,2012-06-05,2017-02-14,1262,2017-02-15,2017-03-07,15,10
MACD,2017-02-15,550343,2012-06-05,2017-02-14,1262,2017-02-15,2017-03-07,15,11
Both,2017-02-15,550343,2012-06-05,2017-02-14,1262,2017-02-15,2017-03-07,15,12
RSI,2017-03-08,374583,2012-06-05,2017-03-07,1277,2017-03-08,2017-03-13,4,10
MACD,2017-03-08,374583,2012-06-05,2017-03-07,1277,2017-03-08,2017-03-13,4,11
Both,2017-03-08,374583,2012-06-05,2017-03-07,1277,2017-03-08,2017-03-13,4,12
RSI,2017-03-14,565766,2012-06-05,2017-03-13,1281,2017-03-14,2017-04-12,23,10
MACD,2017-03-14,565766,2012-06-05,2017-03-13,1281,2017-03-14,2017-04-12,23,11
Both,2017-03-14,565766,2012-06-05,2017-03-13,1281,2017-03-14,2017-04-12,23,12
RSI,2017-04-13,565766,2012-06-05,2017-04-12,1304,2017-04-13,2017-04-13,1,10
MACD,2017-04-13,565766,2012-06-05,2017-04-12,1304,2017-04-13,2017-04-13,1,11
Both,2017-04-13,565766,2012-06-05,2017-04-12,1304,2017-04-13,2017-04-13,1,12
RSI,2017-04-14,42716,2012-06-05,2017-04-13,1305,2017-04-14,2017-04-18,3,10
MACD,2017-04-14,42716,2012-06-05,2017-04-13,1305,2017-04-14,2017-04-18,3,11
Both,2017-04-14,42716,2012-06-05,2017-04-13,1305,2017-04-14,2017-04-18,3,12
RSI,2017-04-19,565766,2012-06-05,2017-04-18,1308,2017-04-19,2017-04-20,2,10
MACD,2017-04-19,565766,2012-06-05,2017-04-18,1308,2017-04-19,2017-04-20,2,11
Both,2017-04-19,565766,2012-06-05,2017-04-18,1308,2017-04-19,2017-04-20,2,12
RSI,2017-04-21,42716,2012-06-05,2017-04-20,1310,2017-04-21,2017-05-04,10,10
MACD,2017-04-21,42716,2012-06-05,2017-04-20,1310,2017-04-21,2017-05-04,10,11
Both,2017-04-21,42716,2012-06-05,2017-04-20,1310,2017-04-21,2017-05-04,10,12
RSI,2017-05-05,42716,2012-06-05,2017-05-04,1320,2017-05-05,2017-05-11,5,10
MACD,2017-05-05,42716,2012-06-05,2017-05-04,1320,2017-05-05,2017-05-11,5,11
Both,2017-05-05,42716,2012-06-05,2017-05-04,1320,2017-05-05,2017-05-11,5,12
RSI,2017-05-12,42716,2012-06-05,2017-05-11,1325,2017-05-12,2017-06-29,36,10
MACD,2017-05-12,42716,2012-06-05,2017-05-11,1325,2017-05-12,2017-06-29,36,11
Both,2017-05-12,42716,2012-06-05,2017-05-11,1325,2017-05-12,2017-06-29,36,12
RSI,2017-06-30,42716,2012-06-05,2017-06-29,1361,2017-06-30,2017-07-03,2,10
MACD,2017-06-30,42716,2012-06-05,2017-06-29,1361,2017-06-30,2017-07-03,2,11
Both,2017-06-30,42716,2012-06-05,2017-06-29,1361,2017-06-30,2017-07-03,2,12
RSI,2017-07-04,42716,2012-06-05,2017-07-03,1363,2017-07-04,2017-07-04,1,10
MACD,2017-07-04,42716,2012-06-05,2017-07-03,1363,2017-07-04,2017-07-04,1,11
Both,2017-07-04,42716,2012-06-05,2017-07-03,1363,2017-07-04,2017-07-04,1,12
