Period,Model,Annual_equal_mean_MAPE,Across_seed_SD,Sample_weighted_MAPE
2015-2025,DirectLag,12.729992088961174,0.9071989886856702,12.753435527640992
2015-2025,DirectMA,12.645380164663447,0.7574159669952245,12.665533573369661
2015-2026_partial,DirectLag,12.289784325145025,0.8439015995341032,12.495272158921404
2015-2026_partial,DirectMA,12.265890440909665,0.7088230139625069,12.442981532956647
