Year,DirectMA,DirectLag
2015,,
2016,-3.538528352612743,-4.711239086758298
2017,5.796425407222238,6.2512870204096815
2018,-5.593375547166046,-4.822205670501643
2019,0.9590149751626296,1.026761350056435
2020,7.5320136364307135,8.689448315707963
2021,-7.876491125430549,-9.78666102665676
2022,22.37862122088139,23.77610185266108
2023,-17.936464319544292,-17.961954250334376
2024,-4.408868501257816,-5.178246395988211
2025,9.215163305234253,9.210681903999681
2026,-9.20313374699012,-9.864194911560771
