Year,Seed,DirectLag,DirectMA,Lag_minus_MA_pp
2015,0,12.155358729025298,12.016060363149816,0.13929836587548294
2015,1,11.26642169399695,11.548549960895276,-0.2821282668983258
2015,7,8.147547257692006,9.542077946991435,-1.3945306892994296
2015,21,8.022155475368752,6.3681192927332875,1.6540361826354646
2015,42,9.796103008657584,11.072198867033414,-1.2760958583758306
2015,100,12.112836174626263,8.569505303272479,3.5433308713537848
2015,123,10.279503035962541,9.944491700455089,0.33501133550745266
2015,999,11.672452221004317,13.149137004147427,-1.47668478314311
2015,2024,13.762915285475842,13.300847105543461,0.4620681799323805
2015,2025,10.961905339516319,12.160277732662232,-1.1983723931459132
2016,0,4.048015870077793,3.9539128596186046,0.09410301045918867
2016,1,3.585212732174164,5.781907485353691,-2.196694753179527
2016,7,5.339729236224823,4.780281374727591,0.5594478614972322
2016,21,4.252715313700403,5.425215427230703,-1.1725001135303001
2016,42,7.000573207645747,10.158057856953647,-3.1574846493079
2016,100,8.379068137195876,10.260158134751396,-1.8810899975555202
2016,123,4.581023846421017,4.736884856490678,-0.15586101006966135
2016,999,10.376694228866553,11.424820677735994,-1.048126448869441
2016,2024,6.926421216292253,8.687351750073102,-1.760930533780849
2016,2025,6.575353565144253,7.077391327821084,-0.5020377626768306
2017,0,11.033406316213409,13.583090882472938,-2.549684566259529
2017,1,13.57034159682891,14.591747429113392,-1.021405832284481
2017,7,10.041740139346166,10.663837712121238,-0.6220975727750719
2017,21,13.592971241820043,14.756255278630654,-1.1632840368106105
2017,42,14.463183644157262,14.678255383179609,-0.21507173902234733
2017,100,12.395507329841337,12.71154160359508,-0.3160342737537434
2017,123,11.455771127126644,11.314270990094203,0.14150013703244113
2017,999,11.770429672170838,12.514075762358026,-0.7436460901871875
2017,2024,14.756872004932086,15.4412279159347,-0.6843559110026138
2017,2025,10.497454485402994,9.995932865479048,0.5015216199239454
2018,0,8.397776797048499,8.466119700076128,-0.06834290302762902
2018,1,5.759297904724353,6.600162408784212,-0.8408645040598586
2018,7,8.361024346164664,9.21213418427133,-0.851109838106666
2018,21,9.02103462288459,9.076615846837473,-0.05558122395288301
2018,42,7.565461359906547,7.648353811812777,-0.08289245190622996
2018,100,6.1981852336785455,6.2767726694139085,-0.07858743573536309
2018,123,6.529264837559364,7.104365697138775,-0.5751008595794111
2018,999,8.69305957845426,7.293331273220055,1.3997283052342055
2018,2024,8.796014035698702,7.370281995452056,1.425732040246646
2018,2025,6.034502136703735,5.2683427643117,0.7661593723920355
2019,0,8.200244376592808,7.523181247090408,0.6770631295024003
2019,1,7.7487947076347625,9.561605113137023,-1.812810405502261
2019,7,11.496798688180569,12.522393254907909,-1.0255945667273405
2019,21,10.541144319223624,10.276411120939823,0.2647331982838015
2019,42,7.619765685173606,7.554408800616269,0.06535688455733712
2019,100,6.201864444505172,6.22721095675176,-0.025346512246588127
2019,123,8.9897798805922,7.874728276949301,1.1150516036428995
2019,999,12.22678405784649,10.257895858662064,1.968888199184427
2019,2024,6.656828861940752,6.0432702435318095,0.6135586184089421
2019,2025,5.941229331697633,6.065525230358351,-0.12429589866071833
2020,0,19.805957625214404,16.657778045847408,3.148179579366996
2020,1,19.573896053957935,14.870247534257091,4.7036485197008435
2020,7,20.242907635913042,18.64305722928183,1.5998504066312123
2020,21,11.725488242223431,14.51768843425599,-2.79220019203256
2020,42,15.66673673685097,13.998160349258946,1.668576387592024
2020,100,20.287541923695578,17.476879876833472,2.810662046862106
2020,123,15.128030055597645,15.368347539153731,-0.24031748355608684
2020,999,17.88883513861012,18.015794881796463,-0.12695974318634384
2020,2024,17.709144829483456,15.254999425054647,2.454145404428809
2020,2025,14.489179268920694,14.423813151512274,0.06536611740841991
2021,0,9.552645707762156,14.460622829157394,-4.907977121395238
2021,1,9.279255326936232,10.240164371231515,-0.960909044295283
2021,7,6.18460284534138,6.351185151460831,-0.16658230611945068
2021,21,10.318935763345326,9.809205952777893,0.5097298105674337
2021,42,6.967905686501721,7.9064554045902184,-0.9385497180884972
2021,100,6.982063000331146,6.162202044141249,0.8198609561898973
2021,123,5.666309418811224,5.7456279909681465,-0.0793185721569225
2021,999,7.707245489948076,7.198840358843321,0.5084051311047553
2021,2024,6.282367546946745,6.579462889518925,-0.29709534257218007
2021,2025,5.709776457975637,6.008088220256867,-0.29831176228123013
2022,0,36.94177633435397,35.988307847392775,0.9534684869611922
2022,1,21.140725996901892,21.56041532729126,-0.4196893303893674
2022,7,37.18168106466623,36.44835349087376,0.7333275737924723
2022,21,30.91047114756662,29.445625451755024,1.4648456958115972
2022,42,31.962203826775497,30.02832343905138,1.9338803877241162
2022,100,34.74567749695671,34.49898663763326,0.2466908593234507
2022,123,21.203241975881284,21.795287163357184,-0.5920451874759003
2022,999,33.993386288501725,30.590477594099415,3.40290869440231
2022,2024,34.09351070335901,32.96170892395781,1.1318017794012007
2022,2025,30.239450935547506,30.930581546348385,-0.6911306108008795
2023,0,10.73763929516206,8.479100136476626,2.2585391586854335
2023,1,15.504531342273475,14.907147954623479,0.5973833876499963
2023,7,14.894490294123319,14.883205398591533,0.011284895531785466
2023,21,9.128755767369778,9.389421130259015,-0.26066536288923636
2023,42,13.03254325194321,11.55046451013319,1.4820787418100192
2023,100,14.40143462231655,12.31420929880627,2.08722532351028
2023,123,11.004125798389934,11.277878840240405,-0.2737530418504708
2023,999,13.784525427190273,12.706501870944653,1.0780235562456202
2023,2024,13.276968990858068,12.7678906361826,0.5090783546754682
2023,2025,17.02756847754002,16.607604450059565,0.4199640274804537
2024,0,6.76366449943074,6.625173790822399,0.1384907086083409
2024,1,8.262388986705524,8.37198491042192,-0.10959592371639637
2024,7,9.441148157919303,8.787702567855197,0.6534455900641056
2024,21,7.615494719959839,7.9309867463252735,-0.31549202636543416
2024,42,9.682320552681176,9.53974286286762,0.14257768981355667
2024,100,8.463213735874588,8.862392095012433,-0.3991783591378457
2024,123,6.9411400590169965,7.241818394067689,-0.3006783350506925
2024,999,6.52151335440177,6.488093330104847,0.033420024296923145
2024,2024,9.278013682597672,8.67865005011929,0.5993636324783829
2024,2025,8.041221558696954,8.268194466142512,-0.22697290744555865
2025,0,17.50705051675784,17.55361844429062,-0.04656792753278083
2025,1,16.10731320758447,16.499959286958582,-0.39264607937411355
2025,7,17.890890283097008,17.833605040260906,0.0572852428361017
2025,21,17.302570430969748,16.92906675474454,0.37350367622520864
2025,42,16.807241692306178,16.780218239041954,0.027023453264224173
2025,100,17.40421613734959,17.502290089809524,-0.09807395245993433
2025,123,18.90606490865732,18.530712255042406,0.37535265361491454
2025,999,16.56879850552005,16.67201214855828,-0.10321364303823088
2025,2024,16.460563915551994,16.567418114793156,-0.10685419924116246
2025,2025,18.162228749487184,18.07747189258175,0.08475685690543244
2026,0,6.605127412135692,6.697150311811473,-0.09202289967578103
