Year,Seed,Budget,Model,Epoch,Train_MSE,Train_MSE_standardized
2015,42,100,DirectMA,1,0.38024664531418256,0.8794544178927839
2015,42,100,DirectMA,2,0.3372657764718654,0.7800460063944687
2015,42,100,DirectMA,3,0.2950273476960912,0.6823547492868316
2015,42,100,DirectMA,4,0.25149774948085424,0.5816772076668212
2015,42,100,DirectMA,5,0.20634681687523435,0.47724975869042724
2015,42,100,DirectMA,6,0.16050924440198544,0.3712342129549187
2015,42,100,DirectMA,7,0.11629848451731296,0.2689812448403777
2015,42,100,DirectMA,8,0.07823686023209087,0.1809503205907869
2015,42,100,DirectMA,9,0.05290757573734951,0.12236742071389843
2015,42,100,DirectMA,10,0.0469694255610445,0.1086333550199138
2015,42,100,DirectMA,11,0.05951154648032359,0.1376414311939762
2015,42,100,DirectMA,12,0.07506275597201821,0.17360908550357995
2015,42,100,DirectMA,13,0.07771526277838343,0.17974394259724638
2015,42,100,DirectMA,14,0.06665137629303768,0.15415480468240186
2015,42,100,DirectMA,15,0.049859216073378024,0.11531701433466325
2015,42,100,DirectMA,16,0.03514575581519574,0.08128695046425972
2015,42,100,DirectMA,17,0.02656446987071952,0.06143970150605997
2015,42,100,DirectMA,18,0.024295824050970836,0.05619265826873319
2015,42,100,DirectMA,19,0.026102671720325814,0.06037163048283531
2015,42,100,DirectMA,20,0.029291083853022242,0.06774595756952385
2015,42,100,DirectMA,21,0.031784627998102555,0.0735131574689197
2015,42,100,DirectMA,22,0.032574420837412923,0.07533983184017598
2015,42,100,DirectMA,23,0.03148628078146099,0.0728231243523234
2015,42,100,DirectMA,24,0.028859542115416914,0.06674786516734486
2015,42,100,DirectMA,25,0.025336836854343788,0.05860036737094718
2015,42,100,DirectMA,26,0.021738421687628646,0.05027776372729054
2015,42,100,DirectMA,27,0.018799774091231073,0.04348110518176553
2015,42,100,DirectMA,28,0.016994837976936482,0.03930655411263239
2015,42,100,DirectMA,29,0.01641772091221702,0.03797176744596902
2015,42,100,DirectMA,30,0.016702356850235467,0.03863008839703105
2015,42,100,DirectMA,31,0.01729429617946778,0.03999915677576116
2015,42,100,DirectMA,32,0.017709835212913694,0.04096023728304334
2015,42,100,DirectMA,33,0.01767245143974746,0.04087377412847328
2015,42,100,DirectMA,34,0.017079416904198397,0.03950217269903612
2015,42,100,DirectMA,35,0.016014929280003618,0.03704016979795392
2015,42,100,DirectMA,36,0.014720525955054128,0.03404640578533167
2015,42,100,DirectMA,37,0.01355447506222155,0.03134950202082346
2015,42,100,DirectMA,38,0.012818044958739732,0.029646247788452283
2015,42,100,DirectMA,39,0.012576676966938155,0.029087999216522307
2015,42,100,DirectMA,40,0.012708260534057084,0.029392332603419693
2015,42,100,DirectMA,41,0.012924226144710615,0.029891829213692815
2015,42,100,DirectMA,42,0.013008697707080035,0.030087199480932674
2015,42,100,DirectMA,43,0.01289428017760848,0.029822568607739842
2015,42,100,DirectMA,44,0.012551987808276582,0.029030896833301973
2015,42,100,DirectMA,45,0.01198446208727108,0.02771829353027039
2015,42,100,DirectMA,46,0.01131948519180448,0.026180300031257348
2015,42,100,DirectMA,47,0.010779028241096654,0.02493030280225318
2015,42,100,DirectMA,48,0.01049746101766477,0.024279079335504716
2015,42,100,DirectMA,49,0.0104205165266193,0.02410111807426456
2015,42,100,DirectMA,50,0.01042708776315738,0.02411631637535584
2015,42,100,DirectMA,51,0.010417690296517379,0.024094581420806217
2015,42,100,DirectMA,52,0.010309092630049069,0.023843411032519194
2015,42,100,DirectMA,53,0.010049478518793977,0.023242961876940322
2015,42,100,DirectMA,54,0.009678916560724378,0.022385906712500837
2015,42,100,DirectMA,55,0.009330492857033395,0.021580054065841937
2015,42,100,DirectMA,56,0.009117245160750617,0.021086843590713646
2015,42,100,DirectMA,57,0.009045755034309325,0.020921497470480135
2015,42,100,DirectMA,58,0.009031621729296066,0.020888809220139182
2015,42,100,DirectMA,59,0.00900102709323193,0.02081804833853247
2015,42,100,DirectMA,60,0.008892707840028534,0.020567521879071238
2015,42,100,DirectMA,61,0.008694983298140863,0.020110214170951258
2015,42,100,DirectMA,62,0.008471868656197902,0.019594182905530954
2015,42,100,DirectMA,63,0.00830342159342973,0.01920458968923807
2015,42,100,DirectMA,64,0.008214641132160028,0.018999253574249635
2015,42,100,DirectMA,65,0.008161636452363534,0.018876661566166297
2015,42,100,DirectMA,66,0.008101502059874557,0.018737579584001712
2015,42,100,DirectMA,67,0.00801921260518337,0.018547256210039123
2015,42,100,DirectMA,68,0.007895983085629344,0.018262244503237483
2015,42,100,DirectMA,69,0.0077438255921334674,0.01791032665854519
2015,42,100,DirectMA,70,0.007614621025103829,0.01761149554803729
2015,42,100,DirectMA,71,0.007532015973564574,0.017420442245104313
2015,42,100,DirectMA,72,0.007475995706470774,0.017290875628293092
2015,42,100,DirectMA,73,0.007429399295423249,0.017183105000836706
2015,42,100,DirectMA,74,0.007375895739516384,0.017059359165876385
2015,42,100,DirectMA,75,0.00728974561574837,0.016860106633649074
2015,42,100,DirectMA,76,0.0071882684843164076,0.016625404992878026
2015,42,100,DirectMA,77,0.007103774359405946,0.0164299825418079
2015,42,100,DirectMA,78,0.007040288351909598,0.016283148768374067
2015,42,100,DirectMA,79,0.00697765680995504,0.016138291247735425
2015,42,100,DirectMA,80,0.006914055241900532,0.0159911901997716
2015,42,100,DirectMA,81,0.006849121995823831,0.015841009176917106
2015,42,100,DirectMA,82,0.006776263916051282,0.015672499182352365
2015,42,100,DirectMA,83,0.006703646111594796,0.015504544909161705
2015,42,100,DirectMA,84,0.00663807224018229,0.015352882214374714
2015,42,100,DirectMA,85,0.0065775041274901275,0.015212797101338311
2015,42,100,DirectMA,86,0.006520929117638197,0.015081947446332157
2015,42,100,DirectMA,87,0.006461028764266398,0.014943406762133246
2015,42,100,DirectMA,88,0.006389770683553598,0.01477859732945133
2015,42,100,DirectMA,89,0.0063174350547444014,0.014611295686922078
2015,42,100,DirectMA,90,0.00624958241013323,0.014454362525763752
2015,42,100,DirectMA,91,0.0061826425479086814,0.014299540495663076
2015,42,100,DirectMA,92,0.006114015853443849,0.014140817071337774
2015,42,100,DirectMA,93,0.006044882744516173,0.013980922385037857
2015,42,100,DirectMA,94,0.005974188284907743,0.013817416524856484
2015,42,100,DirectMA,95,0.0059072155446642655,0.013662518452746351
2015,42,100,DirectMA,96,0.005841400191139173,0.013510297245442884
2015,42,100,DirectMA,97,0.005772566246150064,0.013351094481216937
2015,42,100,DirectMA,98,0.005705425863711625,0.01319580867743106
2015,42,100,DirectMA,99,0.005638698123778021,0.013041477254908923
2015,42,100,DirectMA,100,0.005578496116933951,0.012902238890711697
2015,42,100,DirectLag,1,0.38108642576178575,0.8813967062306451
2015,42,100,DirectLag,2,0.3382751309526694,0.7823804944650461
2015,42,100,DirectLag,3,0.2963188641431048,0.685341836376499
2015,42,100,DirectLag,4,0.2532194387389117,0.5856592210333982
2015,42,100,DirectLag,5,0.20820076368216472,0.4815376642643106
2015,42,100,DirectLag,6,0.1621776376006841,0.37509296039545287
2015,42,100,DirectLag,7,0.1175594510099202,0.2718976743905238
2015,42,100,DirectLag,8,0.07905997563917136,0.1828540651474139
2015,42,100,DirectLag,9,0.05334986668604692,0.12339037445621096
2015,42,100,DirectLag,10,0.04711147504687295,0.10896189453343931
2015,42,100,DirectLag,11,0.06022326995155556,0.1392875426292941
2015,42,100,DirectLag,12,0.07697087790742871,0.17802229016075277
2015,42,100,DirectLag,13,0.08042052548112105,0.18600081629962284
2015,42,100,DirectLag,14,0.06966450537327784,0.16112372791671184
2015,42,100,DirectLag,15,0.052582366172500096,0.12161525894712862
2015,42,100,DirectLag,16,0.0371723308816962,0.08597411974606249
2015,42,100,DirectLag,17,0.027725855996682716,0.06412581635268481
2015,42,100,DirectLag,18,0.02470271012448879,0.05713372575570272
2015,42,100,DirectLag,19,0.025905507166462772,0.059915617944438185
2015,42,100,DirectLag,20,0.0286890557130144,0.06635355525920707
2015,42,100,DirectLag,21,0.0310432690620357,0.07179850357360507
2015,42,100,DirectLag,22,0.0319813897380867,0.07396823835821553
2015,42,100,DirectLag,23,0.03101394887105149,0.07173069029553336
2015,42,100,DirectLag,24,0.02836443596826804,0.06560275765935836
2015,42,100,DirectLag,25,0.024700268965495757,0.05712807971493508
2015,42,100,DirectLag,26,0.02082046952009079,0.04815467572874058
2015,42,100,DirectLag,27,0.01753373209424178,0.040552936738438294
2015,42,100,DirectLag,28,0.015417632964464183,0.03565871149985846
2015,42,100,DirectLag,29,0.014588713108235642,0.03374154210829973
2015,42,100,DirectLag,30,0.014760278599437172,0.03413834778970281
2015,42,100,DirectLag,31,0.015409601953817971,0.03564013695651931
2015,42,100,DirectLag,32,0.01598378460443843,0.03696813675609235
2015,42,100,DirectLag,33,0.01610614763085511,0.037251144392043904
2015,42,100,DirectLag,34,0.01565328369803949,0.03620373689660126
2015,42,100,DirectLag,35,0.014714174426383125,0.034031715636137924
2015,42,100,DirectLag,36,0.013505020232818394,0.03123512029322452
2015,42,100,DirectLag,37,0.012348162507067693,0.028559478968514834
2015,42,100,DirectLag,38,0.011514525715294665,0.026631400000620226
2015,42,100,DirectLag,39,0.011126976077189342,0.025735054837330594
2015,42,100,DirectLag,40,0.011141868871990757,0.025769499675554093
2015,42,100,DirectLag,41,0.011362409533596912,0.02627957770402499
2015,42,100,DirectLag,42,0.011549716469193267,0.026712791025015805
2015,42,100,DirectLag,43,0.01151137540094598,0.026624113788089904
2015,42,100,DirectLag,44,0.01117175523064205,0.025838622415950373
2015,42,100,DirectLag,45,0.010606173835005454,0.024530516050778925
2015,42,100,DirectLag,46,0.00998415616684724,0.02309188090958757
2015,42,100,DirectLag,47,0.009490027574910529,0.021949034342652524
2015,42,100,DirectLag,48,0.009236682784817768,0.021363085202422492
2015,42,100,DirectLag,49,0.009219176739502379,0.021322596301120735
2015,42,100,DirectLag,50,0.009331485167974697,0.021582349134718955
2015,42,100,DirectLag,51,0.009425378233469178,0.02179950994935386
2015,42,100,DirectLag,52,0.009377517385560995,0.021688814865897785
2015,42,100,DirectLag,53,0.009153032583885544,0.021169614623065568
2015,42,100,DirectLag,54,0.008818131316969168,0.020395037378592735
2015,42,100,DirectLag,55,0.008485888906585934,0.019626609677195248
2015,42,100,DirectLag,56,0.008251527145925136,0.01908456548472652
2015,42,100,DirectLag,57,0.008152621942541556,0.018855812334264394
2015,42,100,DirectLag,58,0.008153117894422331,0.01885695939782954
2015,42,100,DirectLag,59,0.008174040455142936,0.018905350195450286
2015,42,100,DirectLag,60,0.00813756360190541,0.018820984612937224
2015,42,100,DirectLag,61,0.008014216857220115,0.018535701781693455
2015,42,100,DirectLag,62,0.007827624629246507,0.018104141474040356
2015,42,100,DirectLag,63,0.007632168405667949,0.0176520800516739
2015,42,100,DirectLag,64,0.007482557364232757,0.01730605177508778
2015,42,100,DirectLag,65,0.007402922507484524,0.017121868094709416
2015,42,100,DirectLag,66,0.007377581176506326,0.01706325733309272
2015,42,100,DirectLag,67,0.0073624700253443805,0.017028307468807027
2015,42,100,DirectLag,68,0.007316702073061393,0.016922452944305118
2015,42,100,DirectLag,69,0.00722805704385744,0.016717430063713398
2015,42,100,DirectLag,70,0.007116526431097465,0.016459476203157956
2015,42,100,DirectLag,71,0.007010673839047846,0.01621465476720151
2015,42,100,DirectLag,72,0.006930154504010235,0.016028425418968584
2015,42,100,DirectLag,73,0.00687983599206355,0.015912046121008605
2015,42,100,DirectLag,74,0.00684527534213865,0.0158321124341865
2015,42,100,DirectLag,75,0.006807470178059023,0.015744674664573785
2015,42,100,DirectLag,76,0.006751675306694221,0.01561562935484596
2015,42,100,DirectLag,77,0.0066782317124605755,0.015445765151675053
2015,42,100,DirectLag,78,0.006601064044009539,0.015267287714006471
2015,42,100,DirectLag,79,0.006533669291152564,0.015111413588953015
2015,42,100,DirectLag,80,0.006479942419537544,0.014987151257690774
2015,42,100,DirectLag,81,0.006435382906478678,0.014884091674912885
2015,42,100,DirectLag,82,0.00639128822348015,0.014782107175518828
2015,42,100,DirectLag,83,0.006341030192357509,0.01466586776078611
2015,42,100,DirectLag,84,0.006283987426083657,0.014533936254153317
2015,42,100,DirectLag,85,0.006225200858176935,0.01439797159149179
2015,42,100,DirectLag,86,0.006169167918773594,0.014268375665497308
2015,42,100,DirectLag,87,0.006118404836217319,0.014150968141275538
2015,42,100,DirectLag,88,0.006072401924203578,0.014044570189564513
2015,42,100,DirectLag,89,0.006027530561371053,0.013940789344246788
2015,42,100,DirectLag,90,0.005981416455306127,0.0138341342170925
2015,42,100,DirectLag,91,0.005932940000100024,0.013722015324736297
2015,42,100,DirectLag,92,0.00588424693997974,0.013609395457155032
2015,42,100,DirectLag,93,0.005838004179948964,0.013502442772349571
2015,42,100,DirectLag,94,0.005794742095099812,0.013402383949696705
