Year,mean,std,min,max,Lag_better_seeds
2015,0.05059329444419562,1.5944348827877897,-1.47668478314311,3.5433308713537848,5
2016,-1.122117439701361,1.1505831860949807,-3.1574846493079,0.5594478614972322,8
2017,-0.6672558265139198,0.834740497356945,-2.549684566259529,0.5015216199239454,8
2018,0.10391405015048463,0.8335972450546729,-0.851109838106666,1.425732040246646,7
2019,0.17166042504428997,1.058753425826984,-1.812810405502261,1.968888199184427,4
2020,1.329095104321542,2.147640858168552,-2.79220019203256,4.7036485197008435,3
2021,-0.5810747969046715,1.6301925887652855,-4.907977121395238,0.8198609561898973,7
2022,0.8164058348750192,1.273372175241121,-0.6911306108008795,3.40290869440231,3
2023,0.790915904084935,0.9126355710209987,-0.2737530418504708,2.2585391586854335,2
2024,0.02153800935453818,0.37043938267838894,-0.3991783591378457,0.6534455900641056,5
2025,0.017056608119965944,0.23014725104397674,-0.39264607937411355,0.37535265361491454,5
2026,-0.6440045564506812,1.3632703359887228,-4.340015734686752,0.34448176442223843,7
