Trigger_date,Effective_date,Gold_trigger,Copper_trigger
2016-01-07,2016-01-08,True,True
2016-01-08,2016-01-11,True,False
2016-01-21,2016-01-22,False,True
2016-02-03,2016-02-04,True,True
2016-02-08,2016-02-09,False,True
2016-02-22,2016-02-23,True,False
2016-02-24,2016-02-25,True,False
2016-02-26,2016-02-29,True,False
2016-03-01,2016-03-02,False,True
2016-03-04,2016-03-07,True,False
2016-03-07,2016-03-08,True,False
2016-03-16,2016-03-17,False,True
2016-03-17,2016-03-18,False,True
2016-03-23,2016-03-24,False,True
2016-04-01,2016-04-04,False,True
2016-04-12,2016-04-13,False,True
2016-04-20,2016-04-21,False,True
2016-04-26,2016-04-27,False,True
2016-04-29,2016-05-02,True,True
2016-05-03,2016-05-04,False,True
2016-05-04,2016-05-05,True,False
2016-05-09,2016-05-10,False,True
2016-05-24,2016-05-25,True,False
2016-05-25,2016-05-26,False,True
2016-06-03,2016-06-06,True,False
2016-06-09,2016-06-10,True,False
2016-06-20,2016-06-21,True,False
2016-06-23,2016-06-24,False,True
2016-06-24,2016-06-27,True,True
2016-06-28,2016-06-29,True,True
2016-06-29,2016-06-30,True,False
2016-06-30,2016-07-01,True,False
2016-07-01,2016-07-04,True,False
2016-07-06,2016-07-07,False,True
2016-07-11,2016-07-12,True,False
2016-07-12,2016-07-13,False,True
2016-07-18,2016-07-19,False,True
2016-07-19,2016-07-20,False,True
2016-07-21,2016-07-22,False,True
2016-08-24,2016-08-25,False,True
2016-08-31,2016-09-01,False,True
2016-09-22,2016-09-23,False,True
2016-09-27,2016-09-28,False,True
2016-10-03,2016-10-04,True,False
2016-10-12,2016-10-13,True,False
2016-10-14,2016-10-17,False,True
2016-10-18,2016-10-19,False,True
2016-10-21,2016-10-24,False,True
2016-10-24,2016-10-25,False,True
2016-11-01,2016-11-02,False,True
2016-11-02,2016-11-03,True,False
2016-11-03,2016-11-04,True,False
2016-11-11,2016-11-14,True,False
2016-12-05,2016-12-06,True,False
2016-12-07,2016-12-08,False,True
2016-12-15,2016-12-16,True,False
2016-12-19,2016-12-20,True,True
2016-12-26,2016-12-27,False,True
2016-12-28,2016-12-29,False,True
2016-12-30,2016-12-31,False,True
