Month,N,Event_MAPE,Monthly_refit_MAPE,Event_minus_monthly_pp
2020-01,24,5.0876189600708495,8.463584795844406,-3.375965835773557
2020-02,21,6.644826456886309,6.280268686168081,0.36455777071822837
2020-03,22,8.477811993299511,10.849079716033492,-2.3712677227339807
2020-04,23,3.859310866827502,7.381917876130579,-3.5226070093030772
2020-05,23,3.808020295063244,4.241321954348853,-0.4333016592856094
2020-06,23,8.201537135782859,9.28894604567181,-1.0874089098889517
2020-07,23,9.543993400103506,14.016984211817203,-4.4729908117136965
2020-08,21,5.708097724429592,5.475062902478284,0.23303482195130787
2020-09,24,8.120676008365507,11.492996177764988,-3.3723201693994813
2020-10,23,3.9749997732877675,3.690894267368598,0.2841055059191695
2020-11,21,12.245615969782731,13.573875551907168,-1.3282595821244367
2020-12,23,5.606857344207536,3.078962105822047,2.527895238385489
