Activation,ReLU,ReLU,Sigmoid,Sigmoid
Split,Train,Test,Train,Test
Model,,,,
01_base,5.523382324490338,11.45834334363982,9.216293167627208,24.364289528828216
02_gold5,6.42583471458323,10.655216700556823,9.930114969342352,21.021906470898976
03_gold20,6.710748428328573,10.328481285163965,9.970237745951074,20.986966544427396
04_gold5_20,6.117810746518922,7.804058303604617,10.144313760544113,21.50548460479522
05_copper5,6.616184614068662,10.463971450897958,9.867665499891759,20.668266235079376
06_copper20,6.580398896657323,10.572852546924029,9.92695475705053,20.735083692619668
07_copper5_20,6.591707496736355,11.526677093567722,10.017305869571935,20.17114146778466
08_both5,6.201771261467963,6.715118583442421,10.075097238110379,20.746494163462742
09_both20,6.591328386701254,6.513326027966497,10.218146900530149,21.37435029674613
10_both5_20,5.943793057531749,6.022376266447848,9.909822790078927,20.875597405829577
