Model,ReLU,Sigmoid,Sigmoid_minus_ReLU_pp
01_base,11.45834334363982,24.364289528828216,12.905946185188396
02_gold5,10.655216700556823,21.021906470898976,10.366689770342154
03_gold20,10.328481285163965,20.986966544427396,10.658485259263431
04_gold5_20,7.804058303604617,21.50548460479522,13.701426301190605
05_copper5,10.463971450897958,20.668266235079376,10.204294784181418
06_copper20,10.572852546924029,20.735083692619668,10.162231145695639
07_copper5_20,11.526677093567722,20.17114146778466,8.64446437421694
08_both5,6.715118583442421,20.746494163462742,14.03137558002032
09_both20,6.513326027966497,21.37435029674613,14.861024268779634
10_both5_20,6.022376266447848,20.875597405829577,14.853221139381729
