Trigger_date,Effective_date,Gold_trigger,Copper_trigger
2018-01-02,2018-01-03,True,True
2018-01-23,2018-01-24,False,True
2018-01-24,2018-01-25,False,True
2018-02-07,2018-02-08,False,True
2018-02-11,2018-02-12,False,True
2018-03-08,2018-03-09,False,True
2018-03-09,2018-03-12,False,True
2018-03-20,2018-03-21,False,True
2018-03-21,2018-03-22,False,True
2018-03-22,2018-03-23,False,True
2018-03-27,2018-03-28,False,True
2018-04-18,2018-04-19,False,True
2018-04-19,2018-04-20,False,True
2018-06-05,2018-06-06,False,True
2018-06-14,2018-06-15,False,True
2018-06-19,2018-06-20,False,True
2018-07-24,2018-07-25,False,True
2018-08-15,2018-08-16,True,True
2018-08-16,2018-08-17,True,False
2018-08-20,2018-08-21,False,True
2018-09-03,2018-09-04,False,True
2018-09-05,2018-09-06,False,True
2018-09-21,2018-09-24,False,True
2018-09-29,2018-09-30,False,True
2018-10-03,2018-10-04,False,True
2018-10-04,2018-10-05,False,True
2018-10-30,2018-10-31,False,True
2018-11-01,2018-11-02,False,True
2018-12-18,2018-12-19,False,True
2018-12-19,2018-12-20,False,True
2018-12-29,2018-12-30,False,True
2018-12-30,2018-12-31,False,True
