训练窗口,训练起始,训练结束,完整训练数,验证数,验证起始,验证结束,最佳轮数,停止轮数
full,2012-05-09,2025-12-31,3685,185,2025-04-24,2025-12-31,12,112
recent,2020-01-01,2025-12-31,1631,82,2025-09-11,2025-12-31,454,554
