Date,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price,gold_daily,gold_vs_ma5,gold_vs_ma20,copper_daily,copper_vs_ma5,copper_vs_ma20,gold_ma_deviation5,gold_ma_deviation20,copper_ma_deviation5,copper_ma_deviation20,Actual
2016-10-20,1386.6667295773707,98.31999969482422,2.6518,1.76,50.42,2.096,794.1268835801369,-0.0018140616640401896,0.004157515138303092,-0.0020973838712023962,-0.0035654860946041644,-0.004038964124495226,-0.02949483724591373,0.004157515138303092,-0.0020973838712023962,-0.004038964124495226,-0.02949483724591373,3.24
2016-10-21,1388.1174262166326,98.69999694824219,2.6451,1.74,50.28,2.0885,794.3151554238452,0.00023708030492497478,0.0023596148898790137,0.0005058412896168374,-0.00357824427480935,-0.00552354649778608,-0.031195639568595834,0.0023596148898790137,0.0005058412896168374,-0.00552354649778608,-0.031195639568595834,3.24
2016-10-24,1402.4548966546506,98.66999816894531,2.6595,1.77,49.8,2.093,791.86800443335,-0.00308083129697978,-0.0019297195755987318,-0.00030893974180079553,0.002154656451999193,-0.0020502550898773286,-0.027043360024172736,-0.0019297195755987318,-0.00030893974180079553,-0.0020502550898773286,-0.027043360024172736,3.27
2016-10-25,1404.1099320999933,98.72000122070312,2.6859,1.77,49.08,2.1385,798.079979533671,0.007844710312252312,0.004136875410953422,0.009524579928893884,0.021739130434782705,0.016445648557440906,-0.004700735362561659,0.004136875410953422,0.009524579928893884,0.016445648557440906,-0.004700735362561659,3.3
2016-10-26,1397.9765014002471,98.62999725341797,2.72,1.79,48.98,2.1455,793.6249529894858,-0.005582180556375271,-0.000979404920828486,0.005825199458482366,0.003273322422258751,0.015717464375325507,6.991866129091306e-05,-0.000979404920828486,0.005825199458482366,0.015717464375325507,6.991866129091306e-05,3.28
2016-10-27,1393.3837780394217,98.88999938964844,2.7068,1.85,49.13,2.1635,795.5700967937872,0.0024509609948304423,0.0011054085850870088,0.00769342168579068,0.008389652761593869,0.01773449995295895,0.009130449992420298,0.0011054085850870088,0.00769342168579068,0.01773449995295895,0.009130449992420298,3.25
2016-10-28,1387.668824503816,98.3499984741211,2.7027,1.86,47.78,2.197,800.338858680458,0.005994144206637797,0.0055817318867030785,0.012828091255236096,0.015484169170325801,0.023050058207217727,0.02403952596804837,0.0055817318867030785,0.012828091255236096,0.023050058207217727,0.02403952596804837,3.24
2016-10-31,1385.0465369835092,98.44999694824219,2.7425,1.84,46.2,2.208,797.8289759405741,-0.0031360250882007668,0.0009288844154289322,0.008910783094508767,0.005006827492034738,0.01727712508638568,0.028124417954926706,0.0009288844154289322,0.008910783094508767,0.01727712508638568,0.028124417954926706,3.28
2016-11-01,1395.2097612248424,97.69999694824219,2.7375,1.83,45.77,2.2315,807.1783044657499,0.011718461985106066,0.010351710372622502,0.01938286741328077,0.010643115942028825,0.019368690329359284,0.037231570140373815,0.010351710372622502,0.01938286741328077,0.019368690329359284,0.037231570140373815,3.29
2016-11-02,1383.4604613483891,97.4000015258789,2.7372,1.81,44.26,2.2335,819.978721758266,0.015858227632850497,0.01964703181375449,0.033345751307061855,0.0008962581223390664,0.012144831649068655,0.03647501044131962,0.01964703181375449,0.033345751307061855,0.012144831649068655,0.03647501044131962,3.43
2016-11-03,1393.8116918091714,97.16000366210938,2.7301,1.82,43.84,2.252,817.029563581577,-0.003596627690978571,0.010586254689265662,0.027634267275239432,0.008282963957913614,0.01240784031648956,0.043740223625513996,0.010586254689265662,0.027634267275239432,0.01240784031648956,0.043740223625513996,3.39
2016-11-04,1388.944580992934,97.06999969482422,2.7339,1.79,43.06,2.2685,817.7825743608677,0.0009216444702315751,0.0071714727413851875,0.026543821910107512,0.007326820603907658,0.013311296734711986,0.049660485615463656,0.0071714727413851875,0.026543821910107512,0.013311296734711986,0.049660485615463656,3.34
2016-11-07,1389.4207666298398,97.77999877929688,2.7475,1.83,42.83,2.3135,802.0958072365937,-0.019182075549278865,-0.013185304761893613,0.005850372851552876,0.019836896627727585,0.02376316488184793,0.06761730061491256,-0.013185304761893613,0.005850372851552876,0.02376316488184793,0.06761730061491256,3.35
2016-11-08,1396.2532320374212,97.86000061035156,2.7634,1.88,43.47,2.383,799.0211855611275,-0.00383323494241794,-0.014990953173489974,0.0011911521293350713,0.030041063323968054,0.04056591415222055,0.09470105886946745,-0.014990953173489974,0.0011911521293350713,0.04056591415222055,0.09470105886946745,3.37
2016-11-09,1388.7431457578102,98.5,2.7651,2.07,43.88,2.4615,798.5191783749337,-0.0006282776918377087,-0.010373764647293338,-0.00028283707163978544,0.03294167016365934,0.05385965663398551,0.12340833371365978,-0.010373764647293338,-0.00028283707163978544,0.05385965663398551,0.12340833371365978,3.59
2016-11-10,1403.9607611420906,98.79000091552734,2.7926,2.15,43.67,2.554,794.0641518307484,-0.005579110264141374,-0.010261077826749343,-0.006270207948768869,0.037578712167377626,0.06589875213889251,0.15424594386948054,-0.010261077826749343,-0.006270207948768869,0.06589875213889251,0.15424594386948054,3.48
2016-11-11,1416.7999889664302,100.11000061035156,2.815,2.23,41.61,2.5125,766.2671698483178,-0.03500596509531817,-0.03248300493434075,-0.03985412487932283,-0.01624902114330451,0.02764939261319488,0.12526872088857033,-0.03248300493434075,-0.03985412487932283,0.02764939261319488,0.12526872088857033,3.58
2016-11-14,1416.7999889664302,100.11000061035156,2.8577,2.23,41.83,2.5235,766.2671698483178,0.0,-0.02364926666462097,-0.038599355542215164,0.004378109452736201,0.014717117696730897,0.11975151145376883,-0.02364926666462097,-0.038599355542215164,0.014717117696730897,0.11975151145376883,3.62
2016-11-15,1419.3148443613377,100.19000244140625,2.8501,2.23,44.15,2.5075,768.0241184044536,0.0022928668032111688,-0.013619127986490343,-0.03499712883724582,-0.006340400237765054,-0.001711919738832779,0.10281586383577612,-0.013619127986490343,-0.03499712883724582,-0.001711919738832779,0.10281586383577612,3.63
2016-11-16,1419.5493077160945,100.41000366210938,2.8652,2.22,45.07,2.4705,767.6476513125795,-0.000490176132301956,-0.006222248329607383,-0.03377520610840856,-0.014755732801595145,-0.017146721833227185,0.07784431137724557,-0.006222248329607383,-0.03377520610840856,-0.017146721833227185,0.07784431137724557,3.59
2016-11-17,1421.2206757480687,100.88999938964844,2.9055,2.29,44.57,2.4935,763.3180882671714,-0.005640039460819035,-0.0038976019919232385,-0.03735826210190474,0.00930985630439185,-0.00319808115130904,0.07852678474880492,-0.0038976019919232385,-0.03735826210190474,-0.00319808115130904,0.07852678474880492,3.58
2016-11-18,1414.808139290106,101.20999908447266,2.8901,2.34,44.41,2.47,758.2983227874038,-0.006576243321002928,-0.008385843473590282,-0.041512014363602745,-0.009424503709644982,-0.009225832330525319,0.05961969519846422,-0.008385843473590282,-0.041512014363602745,-0.009225832330525319,0.05961969519846422,3.5
2016-11-21,1422.2764867372136,101.05000305175781,2.8851,2.33,45.96,2.5195,758.9885252217633,0.0009101990781443803,-0.005590286430501967,-0.038641915925084036,0.02004048582995943,0.01095417703234114,0.0710566029714963,-0.005590286430501967,-0.038641915925084036,0.01095417703234114,0.0710566029714963,3.5
2016-11-22,1432.6015850593851,101.04000091552734,2.8689,2.31,46.1,2.548,759.8669994998311,0.0011574276143517803,-0.0023068050749711633,-0.03519430030769155,0.011311768207977746,0.019077710674719084,0.07382550335570492,-0.0023068050749711633,-0.03519430030769155,0.019077710674719084,0.07382550335570492,3.54
2016-11-23,1432.7939466352693,101.69999694824219,2.8451,2.36,46.54,2.6095,746.1253761798587,-0.01808424807106712,-0.014781194419594246,-0.04977666973041461,0.024136577708006257,0.032198093429848695,0.08909548105716758,-0.014781194419594246,-0.04977666973041461,0.032198093429848695,0.08909548105716758,3.51
2016-11-24,1446.3939100502755,101.48999786376953,2.8502,2.36,47.54,2.673,739.2859303945665,-0.009166617305405023,-0.01757723770944286,-0.05510046689578074,0.02433416363287977,0.042511700468018665,0.10386124303117894,-0.01757723770944286,-0.05510046689578074,0.042511700468018665,0.10386124303117894,3.52
2016-11-25,1446.3939100502755,101.48999786376953,2.865,2.36,46.32,2.673,739.2859303945665,0.0,-0.012587804344574627,-0.051399347327176215,0.0,0.0262612301313061,0.09311740890688269,-0.012587804344574627,-0.051399347327176215,0.0262612301313061,0.09311740890688269,3.51
2016-11-28,1453.7406704635696,101.33000183105469,2.8502,2.32,46.64,2.661,747.066582207315,0.010524550100116103,0.0009920843031707705,-0.0382836923559321,-0.004489337822671136,0.010672642333548588,0.07822281650762775,0.0009920843031707705,-0.0382836923559321,0.010672642333548588,0.07822281650762775,3.7
2016-11-29,1463.156951076281,100.93000030517578,2.8906,2.3,44.68,2.6065,745.3724419961105,-0.002267723187669435,0.002616516620530973,-0.036632122168240744,-0.02048102217211578,-0.01440671557135298,0.04817629790485389,0.002616516620530973,-0.036632122168240744,-0.01440671557135298,0.04817629790485389,3.66
2016-11-30,1454.2665797531095,101.5,2.9502,2.37,47.95,2.6295,734.6427086022156,-0.014395130258855082,-0.008754204829012902,-0.04523469261250379,0.008824093612123551,-0.007211356943290781,0.049072411729503385,-0.008754204829012902,-0.04523469261250379,-0.007211356943290781,0.049072411729503385,3.56
2016-12-01,1462.1555820425751,101.04000091552734,2.9893,2.45,52.28,2.639,732.1955576117203,-0.0033310764019579553,-0.010162171229582406,-0.0431402557173407,0.0036128541547821857,-0.0010598834128245915,0.044796801076865345,-0.010162171229582406,-0.0431402557173407,-0.0010598834128245915,0.044796801076865345,3.65
2016-12-02,1446.275589533788,100.7699966430664,2.9895,2.4,52.35,2.622,737.3407865902651,0.007027124004040042,-0.002681949784849369,-0.031324720552087904,-0.0064418340280408826,-0.003647970816233581,0.030852851849303642,-0.002681949784849369,-0.031324720552087904,-0.003647970816233581,0.030852851849303642,3.57
2016-12-05,1428.2491321952302,100.13999938964844,3.0302,2.39,53.3,2.6945,736.6505841559057,-0.0009360697887759173,-0.0008000533105674279,-0.02805316043728512,0.027650648360030505,0.021301595724519506,0.05148142005599854,-0.0008000533105674279,-0.02805316043728512,0.021301595724519506,0.05148142005599854,3.5
2016-12-06,1425.8565897268757,100.48999786376953,3.1151,2.39,52.31,2.677,732.634756452983,-0.005451468836509821,-0.0028013368433970065,-0.029099583606643997,-0.006494711449248514,0.009274619212788382,0.038693969405670714,-0.0028013368433970065,-0.029099583606643997,0.009274619212788382,0.038693969405670714,3.47
2016-12-07,1433.9564638570746,100.2300033569336,3.0877,2.34,51.9,2.6415,737.2780548408766,0.00633780795545924,0.002799307766771175,-0.01896527172122142,-0.013261113186402662,-0.005009793581437383,0.021353104368251774,0.002799307766771175,-0.01896527172122142,-0.005009793581437383,0.021353104368251774,3.48
