Model,Seed,Budget,Initial_MSE,Final_MSE,Previous20_mean,Last20_mean,Decrease_percent,Status
Base,0,100,0.46307971521408753,0.023026927281616982,0.027691478096201157,0.02418777006410651,12.652658048525414,decreasing
Base,0,200,0.46307971521408753,0.016759033710240817,0.01831553075824841,0.01726377934016802,5.742402073752261,decreasing
Base,1,100,0.4648091749225694,0.021326824562365208,0.024924743561518838,0.022214587445576008,10.873356065845442,decreasing
Base,1,200,0.4648091749225694,0.01630994766168408,0.017446848946619242,0.016685778921121597,4.362220523753207,decreasing
Base,7,100,0.5006821624184127,0.020304090234923192,0.022666455291956423,0.020975766931605338,7.458988794560455,decreasing
Base,7,200,0.5006821624184127,0.015785757972919208,0.016924119055444175,0.016174156187019957,4.431325884480638,decreasing
Base,21,100,0.4506137758554304,0.01896933104941817,0.021710040960187298,0.01963338499872733,9.56541705871591,decreasing
Base,21,200,0.4506137758554304,0.014839711500810551,0.015799772100118643,0.015141466748516009,4.166549665597332,decreasing
Base,42,100,0.4927884126099676,0.018172576197089906,0.022283118806187965,0.019151050537543436,14.055789478512143,decreasing
Base,42,200,0.4927884126099676,0.013530304547715083,0.014286764996325484,0.013747495008383643,3.7746122938295694,decreasing
Base,100,100,0.49018136674070034,0.02066594628887955,0.02409419329142903,0.021576487994600484,10.449427654106865,decreasing
Base,100,200,0.49018136674070034,0.01530983127306616,0.016697595250957892,0.015744223626913176,5.709634289943784,decreasing
Base,123,100,0.5250832618861826,0.019981446719876707,0.026574080148496416,0.021379694053156578,19.546814287883233,decreasing
Base,123,200,0.5250832618861826,0.01472871984753823,0.015575792520989434,0.014815564843390503,4.8808282247883845,decreasing
Base,999,100,0.5210541999793845,0.019354882132262812,0.022728661910772753,0.02014368050449857,11.373223009881524,decreasing
Base,999,200,0.5210541999793845,0.015605343421765316,0.016339571641138313,0.015830673040639887,3.114516167713764,decreasing
Base,2024,100,0.5043476978791687,0.021205022346923123,0.025846967017216428,0.02251225128539564,12.901768047289892,decreasing
Base,2024,200,0.5043476978791687,0.013865068248057067,0.01501173453599455,0.014243051964224063,5.120544664091744,decreasing
Base,2025,100,0.5125456151485647,0.01833153905991497,0.021913418132132267,0.019258979166766964,12.113304046679163,decreasing
Base,2025,200,0.5125456151485647,0.013796505093660618,0.014562638046716456,0.01396587937238614,4.097874797244391,decreasing
DirectReturns,0,100,0.49329691983954954,0.019816103763403394,0.024756596959430492,0.021219834604717235,14.286141025396482,decreasing
DirectReturns,0,200,0.49329691983954954,0.011250624843008268,0.012725413455856672,0.011662746391573385,8.350746857613581,decreasing
DirectReturns,1,100,0.5236981436154658,0.01839901489694862,0.023855188102624873,0.019683669228987042,17.48684125101836,decreasing
DirectReturns,1,200,0.5236981436154658,0.012918009847905658,0.013969854356760642,0.01317750616436215,5.671842899457573,decreasing
DirectReturns,7,100,0.5411427108651495,0.02041050828202162,0.028045297657177455,0.022445474241441308,19.96706715039275,decreasing
DirectReturns,7,200,0.5411427108651495,0.013891605008450061,0.015063345920227959,0.014235344990961926,5.496792901463836,decreasing
DirectReturns,21,100,0.4881627528713212,0.017636789092180107,0.023141072825989675,0.018981069938199275,17.976707126206836,decreasing
DirectReturns,21,200,0.4881627528713212,0.011227926136773286,0.01241816337183044,0.011523121920658718,7.207518731812216,decreasing
DirectReturns,42,100,0.5039339001017759,0.020646652032057282,0.02632425403581736,0.0222096403438137,15.63050442533045,decreasing
DirectReturns,42,200,0.5039339001017759,0.014149632989927718,0.015587504619956971,0.014613310120394607,6.249842571434336,decreasing
