Model,Seed,Budget,Initial_MSE,Final_MSE,Previous20_mean,Last20_mean,Decrease_percent,Status
Base,0,100,0.46307971521408753,0.023026927281616982,0.027691478096201157,0.02418777006410651,12.652658048525414,decreasing
Base,0,200,0.46307971521408753,0.016759033710240817,0.01831553075824841,0.01726377934016802,5.742402073752261,decreasing
Base,1,100,0.4648091749225694,0.021326824562365208,0.024924743561518838,0.022214587445576008,10.873356065845442,decreasing
Base,1,200,0.4648091749225694,0.01630994766168408,0.017446848946619242,0.016685778921121597,4.362220523753207,decreasing
Base,7,100,0.5006821624184127,0.020304090234923192,0.022666455291956423,0.020975766931605338,7.458988794560455,decreasing
Base,7,200,0.5006821624184127,0.015785757972919208,0.016924119055444175,0.016174156187019957,4.431325884480638,decreasing
Base,21,100,0.4506137758554304,0.01896933104941817,0.021710040960187298,0.01963338499872733,9.56541705871591,decreasing
Base,21,200,0.4506137758554304,0.014839711500810551,0.015799772100118643,0.015141466748516009,4.166549665597332,decreasing
Base,42,100,0.4927884126099676,0.018172576197089906,0.022283118806187965,0.019151050537543436,14.055789478512143,decreasing
Base,42,200,0.4927884126099676,0.013530304547715083,0.014286764996325484,0.013747495008383643,3.7746122938295694,decreasing
Base,100,100,0.49018136674070034,0.02066594628887955,0.02409419329142903,0.021576487994600484,10.449427654106865,decreasing
Base,100,200,0.49018136674070034,0.01530983127306616,0.016697595250957892,0.015744223626913176,5.709634289943784,decreasing
Base,123,100,0.5250832618861826,0.019981446719876707,0.026574080148496416,0.021379694053156578,19.546814287883233,decreasing
Base,123,200,0.5250832618861826,0.01472871984753823,0.015575792520989434,0.014815564843390503,4.8808282247883845,decreasing
Base,999,100,0.5210541999793845,0.019354882132262812,0.022728661910772753,0.02014368050449857,11.373223009881524,decreasing
Base,999,200,0.5210541999793845,0.015605343421765316,0.016339571641138313,0.015830673040639887,3.114516167713764,decreasing
Base,2024,100,0.5043476978791687,0.021205022346923123,0.025846967017216428,0.02251225128539564,12.901768047289892,decreasing
Base,2024,200,0.5043476978791687,0.013865068248057067,0.01501173453599455,0.014243051964224063,5.120544664091744,decreasing
Base,2025,100,0.5125456151485647,0.01833153905991497,0.021913418132132267,0.019258979166766964,12.113304046679163,decreasing
Base,2025,200,0.5125456151485647,0.013796505093660618,0.014562638046716456,0.01396587937238614,4.097874797244391,decreasing
DirectReturns,0,100,0.4945064462499257,0.01654036318653575,0.02234481037848774,0.017963250021761336,19.608850030540925,decreasing
DirectReturns,0,200,0.4945064462499257,0.010635261974327294,0.011714503205377862,0.010944102154141088,6.576472238985776,decreasing
DirectReturns,1,100,0.5235766077048918,0.01879666077265842,0.023307593702375288,0.019842423436986594,14.86713004198094,decreasing
DirectReturns,1,200,0.5235766077048918,0.012008859782788687,0.013387864230173338,0.012406046733566527,7.333637985318131,decreasing
DirectReturns,7,100,0.5398890028120816,0.018762070747255388,0.02616641707165996,0.02067857414427792,20.972848183046626,decreasing
DirectReturns,7,200,0.5398890028120816,0.010748070493567009,0.012147953902799918,0.011155355316181195,8.17091169888243,decreasing
DirectReturns,21,100,0.48818456525834564,0.014647593016287883,0.020135201326488522,0.015799111187719157,21.534873520559714,decreasing
DirectReturns,21,200,0.48818456525834564,0.010084106399412476,0.010807382071731113,0.010217318590882606,5.459818825059743,decreasing
DirectReturns,42,100,0.5046685812987113,0.019320403671656983,0.02505525952604552,0.020809030127911667,16.94745725431341,decreasing
DirectReturns,42,200,0.5046685812987113,0.011249385503935467,0.012805126508239367,0.01168466745141956,8.750081899611496,decreasing
