Seed,Budget,Model,Split,N,MAPE,MSE,MSE_standardized
42,100,Base,Train,2034,2.785545104315281,0.018172576197089906,0.03432826273777639
42,100,Base,Test,271,13.211029900403837,1.0179149699433894,1.9228562947793892
42,100,Stacking,Train,2034,2.821393150739512,0.01696107515654378,0.032039719518812376
42,100,Stacking,Test,271,13.331717832824532,1.0048845856401853,1.8982417078829967
42,100,DirectReturns,Train,2034,2.9578590829243168,0.019320403673702354,0.03649652566139537
42,100,DirectReturns,Test,271,15.66673673685097,2.386439667910383,4.508019503640778
7,100,Base,Train,2034,2.9150915367148875,0.020304090234923192,0.03835472399051374
7,100,Base,Test,271,10.630306580250302,0.7953567820925372,1.5024406165548074
7,100,Stacking,Train,2034,2.739069429775623,0.017538581609427728,0.03313063767110693
7,100,Stacking,Test,271,10.586170181405313,0.7679827547648238,1.450730677792944
7,100,DirectReturns,Train,2034,2.8279619615676452,0.018762070747255388,0.0354418265815097
7,100,DirectReturns,Test,271,20.242907635913042,3.788950912112723,7.157383796380597
123,100,Base,Train,2034,2.891300079909564,0.019981446719876707,0.03774524566256324
123,100,Base,Test,271,16.243884064940545,2.2955317603235303,4.336293134042024
123,100,Stacking,Train,2034,2.731030228643948,0.017243934155705135,0.032574044313252386
123,100,Stacking,Test,271,16.059216085552396,2.2565934911493772,4.262738172969491
123,100,DirectReturns,Train,2034,2.7500971790062017,0.01728745720247936,0.032656259986396916
123,100,DirectReturns,Test,271,15.128030055597645,2.277813200284007,4.302822514479057
2024,100,Base,Train,2034,3.0649267961693476,0.021205022324835027,0.04005659791064291
2024,100,Base,Test,271,16.18628323907775,2.378044638357439,4.492161169794253
2024,100,Stacking,Train,2034,2.8883117083228367,0.018636782072738386,0.03520515443936311
2024,100,Stacking,Test,271,15.868703142969512,2.226717527228471,4.206302039319633
2024,100,DirectReturns,Train,2034,2.664041574458602,0.015756742538599045,0.02976471755518867
2024,100,DirectReturns,Test,271,17.709144829483456,2.6206393293990864,4.950426096161762
2025,100,Base,Train,2034,2.7289012951316844,0.01833153905991497,0.03462854591509946
2025,100,Base,Test,271,13.058727718444505,1.3330030927743994,2.518062376117916
2025,100,Stacking,Train,2034,2.6905523763535157,0.017061919860412805,0.03223021664220226
2025,100,Stacking,Test,271,13.08795230449051,1.321794602648977,2.496889374021445
2025,100,DirectReturns,Train,2034,2.7031272928587193,0.01599653152683002,0.030217682467831963
2025,100,DirectReturns,Test,271,14.489179268920694,2.14633507858453,4.054458415904429
0,100,Base,Train,2034,3.18230929794033,0.023026927281616982,0.04349820307225359
0,100,Base,Test,271,13.513791961565847,1.4627339965487325,2.763125954428164
0,100,Stacking,Train,2034,3.006197674972911,0.02051609576662778,0.03875520554663909
0,100,Stacking,Test,271,13.935275840342523,1.4974533789157318,2.8287113764982905
0,100,DirectReturns,Train,2034,2.7302998351271968,0.01654036318653575,0.03124498844234145
0,100,DirectReturns,Test,271,19.805957625214404,3.7559449194065597,7.095034992487854
1,100,Base,Train,2034,3.017327568777827,0.021326824562365208,0.04028668412223104
1,100,Base,Test,271,14.941057692324925,1.4298119228228976,2.7009356747190116
1,100,Stacking,Train,2034,2.8571154670431063,0.01834133179707816,0.03464704453910379
1,100,Stacking,Test,271,14.719575024041612,1.3677000167082831,2.5836053738787803
1,100,DirectReturns,Train,2034,2.817912418088866,0.01879666077265842,0.03550716764637929
1,100,DirectReturns,Test,271,19.573896053957935,3.7635185325518923,7.10934165870334
21,100,Base,Train,2034,2.8296242767997932,0.01896933104941817,0.035833344329493845
21,100,Base,Test,271,11.013948859890498,0.9760669592151547,1.8438047892717568
21,100,Stacking,Train,2034,2.7611400468288076,0.016957117638313195,0.032032243708881206
21,100,Stacking,Test,271,11.052819127462723,1.0094389324642539,1.9068449357731962
21,100,DirectReturns,Train,2034,2.450685297771978,0.014647593016287883,0.027669517854032707
21,100,DirectReturns,Test,271,11.725488242223431,1.3612917794361499,2.5715001197652207
100,100,Base,Train,2034,2.9423921303896394,0.02066594628887955,0.039038275379086704
100,100,Base,Test,271,15.696858119872767,1.458669802117161,2.755448631590099
100,100,Stacking,Train,2034,2.880799881051408,0.018661471518786006,0.03525179316474694
100,100,Stacking,Test,271,15.84500364442078,1.4419786655988105,2.7239188301145227
100,100,DirectReturns,Train,2034,2.6764766320133275,0.015852453605371047,0.02994551716287381
100,100,DirectReturns,Test,271,20.287541923695578,3.6514444711003473,6.8976321142847326
999,100,Base,Train,2034,2.8502714653278303,0.019354882132262812,0.03656165597486444
999,100,Base,Test,271,10.05546526758828,0.6574578302503318,1.2419474757495286
999,100,Stacking,Train,2034,2.7098607738809144,0.017199716141501238,0.03249051583644912
999,100,Stacking,Test,271,10.270414218279411,0.6713649748926623,1.2682182757746032
999,100,DirectReturns,Train,2034,2.715564839059715,0.016899647065112877,0.03192368095393031
999,100,DirectReturns,Test,271,17.88883513861012,3.0878983752452203,5.833085280993102
42,200,Base,Train,2034,2.392220964340436,0.013530304547715083,0.025558943564120147
42,200,Base,Test,271,12.40719685738471,0.8348406838795996,1.5770262856288426
42,200,Stacking,Train,2034,2.3135810643963506,0.011929633297515129,0.022535252116208198
42,200,Stacking,Test,271,12.34250045915119,0.801806962128872,1.5146251011645746
42,200,DirectReturns,Train,2034,2.2608645108571053,0.011249385503935467,0.02125025406576476
42,200,DirectReturns,Test,271,19.6736201428843,3.619253777276176,6.836823421927485
7,200,Base,Train,2034,2.5062992239652684,0.015785757975741523,0.02981952814114389
7,200,Base,Test,271,9.645994131700881,0.6583922266833244,1.243712564304125
7,200,Stacking,Train,2034,2.3474837052896094,0.01321868049690821,0.02497028116559783
7,200,Stacking,Test,271,9.91820961476821,0.7065864081129319,1.3347520792636254
7,200,DirectReturns,Train,2034,2.15457838548954,0.010748070493567009,0.020303262664893632
7,200,DirectReturns,Test,271,25.53998935714314,5.834548168515215,11.021546989968106
123,200,Base,Train,2034,2.5045458269966714,0.01472871984753823,0.027822767627099617
123,200,Base,Test,271,14.957557606407972,1.6144047284063263,3.049634189494587
123,200,Stacking,Train,2034,2.22882495251317,0.011728501227221017,0.02215531068802726
123,200,Stacking,Test,271,15.087375560939527,1.6526639117095785,3.121906347405643
123,200,DirectReturns,Train,2034,2.282532892478291,0.012448605159004816,0.02351559756759135
123,200,DirectReturns,Test,271,12.737289266474027,1.474748434743987,2.7858214042389355
2024,200,Base,Train,2034,2.4053128881836217,0.013865068248057067,0.026191317099703404
2024,200,Base,Test,271,15.591610900281932,2.5225381768594652,4.765111581437203
2024,200,Stacking,Train,2034,2.2674136262524383,0.012273980666624962,0.02318572934253329
2024,200,Stacking,Test,271,15.477334222693528,2.4387401931464225,4.606815962225113
