Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,4.167660042312689,0.4153062291381952,0.50723269032908,67,1,68,0.0,0.0
Features_only,4.004486652602718,0.3686473811061051,0.48777184832227094,67,1,68,-0.16317338970997142,-11.23480573092106
Triggers_only,4.017393068104662,0.39196080305169023,0.48889945816207714,76,1,77,-0.15026697420802737,-5.621255942861547
Features_and_triggers,3.897163927686758,0.3565470155926889,0.47458294809082924,76,1,77,-0.27049611462593104,-14.148406506552513
