Period,Method,Years,N,Annual_equal_MAPE,Record_weighted_MAPE,Annual_equal_MSE,Record_weighted_MSE,Worst_year,Worst_year_MAPE,Total_updates
2015-2025_complete,Features_only,11,2972,4.675391157911251,4.677222144055908,0.5289375606731024,0.5286053194309527,2022,6.3482460409687596,625
2015-2025_complete,Triggers_only,11,2972,4.398961985384815,4.4010758732293604,0.5220485701378976,0.5215828309319261,2025,6.414132428285203,888
2015-2025_complete,Features_and_triggers,11,2972,4.189631772014513,4.190744803401497,0.4508516361872271,0.4504395090526883,2025,5.64361854873601,888
2015-2026_partial,Features_only,12,3124,4.7105001797783,4.697632049943075,0.8533536056417358,0.7180372549916422,2022,6.3482460409687596,677
2015-2026_partial,Triggers_only,12,3124,4.42659750731796,4.417108485602499,0.8081178993245194,0.6886318862442518,2025,6.414132428285203,947
2015-2026_partial,Features_and_triggers,12,3124,4.255984579798153,4.2294318522576235,0.760327231912537,0.6311520986581349,2025,5.64361854873601,947
