Month,N,Event_MAPE,Monthly_refit_MAPE,Event_minus_monthly_pp,Reentry_only_MAPE,Both_minus_reentry_pp
2020-01,24,5.337593825725594,8.463584795844406,-3.1259909701188127,5.087618289471053,0.2499755362545404
2020-02,21,5.745550758188295,6.280268686168081,-0.534717927979786,6.64482627475947,-0.8992755165711754
2020-03,22,10.183629788387702,10.849079716033492,-0.6654499276457901,8.477812030944518,1.7058177574431834
2020-04,23,3.724726511710949,7.381917876130579,-3.65719136441963,3.859310904369832,-0.134584392658883
2020-05,23,3.732568043028585,4.241321954348853,-0.5087539113202686,3.808020463486425,-0.0754524204578404
2020-06,23,7.748337707177788,9.28894604567181,-1.5406083384940228,8.201537016982607,-0.4531993098048197
2020-07,23,7.542817068485386,14.016984211817203,-6.474167143331817,9.543993560178746,-2.0011764916933608
2020-08,21,5.5105347062254335,5.475062902478284,0.03547180374714909,5.708097584361472,-0.19756287813603812
2020-09,24,7.06644733932361,11.492996177764988,-4.426548838441378,8.120676254766087,-1.0542289154424767
2020-10,23,3.967155278468183,3.690894267368598,0.2762610110995851,3.974999815303189,-0.007844536835005744
2020-11,21,10.873802528567179,13.573875551907168,-2.700073023339989,12.245616085057918,-1.3718135564907392
2020-12,23,5.589501995911993,3.078962105822047,2.5105398900899463,5.606856600648671,-0.017354604736677715
