Year,Seed,Full100_minus_Base100_pp,Base400_minus_Base100_pp,Full100_minus_Base400_pp
2015,7,-1.265519488786273,1.182107790007331,-2.447627278793604
2015,42,3.8741692790083917,2.8876982207679873,0.9864710582404044
2015,123,2.583779896266666,-0.831213020765234,3.4149929170319
2015,2024,7.678869231645383,5.4246254835845225,2.25424374806086
2015,2025,-3.684758760459035,-9.069032636794336,5.384273876335302
2016,7,-8.744247400361361,4.265048083361217,-13.009295483722578
2016,42,1.7163017970401144,0.2158955360284649,1.5004062610116495
2016,123,0.22993451092582617,1.2176787120494028,-0.9877442011235766
2016,2024,0.4367376041494664,-1.788946869943019,2.2256844740924855
2016,2025,-5.496524729351117,-2.2626023062468814,-3.233922423104236
2017,7,-3.600438223341916,-0.2282182005722806,-3.3722200227696355
2017,42,0.5076165092309193,0.2499153020743492,0.2577012071565701
2017,123,-2.304975722511138,3.073702751822781,-5.378678474333919
2017,2024,-0.736239879187357,-2.5043967000482237,1.7681568208608667
2017,2025,-4.433512556473026,1.9509144481082394,-6.384427004581266
2018,7,3.3422130147832974,3.34117279592847,0.0010402188548273017
2018,42,0.3942378274454583,-1.2914032807991553,1.6856411082446137
2018,123,0.4844263199879144,3.549230270597887,-3.0648039506099725
2018,2024,0.4460486493567508,-2.068981016403023,2.5150296657597737
2018,2025,-3.35958283854539,-3.8916924357015734,0.5321095971561833
2019,7,4.3241792681157865,2.599677373782125,1.7245018943336614
2019,42,0.143207916224811,3.087957145606171,-2.94474922938136
2019,123,-2.4409544427649053,0.20047104652532077,-2.641425489290226
2019,2024,-10.770108000399716,-1.9592064005601024,-8.810901599839614
2019,2025,-5.246795578693964,4.210279883208726,-9.45707546190269
2020,7,9.61260105566274,1.661909018715697,7.950692036947043
2020,42,2.455706836447133,0.6604854037917587,1.7952214326553744
2020,123,-1.1158540093429004,-0.9425233663529369,-0.17333064298996348
2020,2024,1.5228615904057072,-1.3630159397228603,2.8858775301285675
2020,2025,1.4304515504761888,-0.8895449368019754,2.319996487278164
2021,7,-1.1156540234639776,9.021042368581204,-10.136696392045181
2021,42,1.1377768912528996,5.632608608411449,-4.494831717158549
2021,123,-12.952113031350336,-0.1497553310210442,-12.802357700329292
2021,2024,0.7897883536134049,11.917134281163689,-11.127345927550284
2021,2025,-1.6796810067418546,3.9082198256841654,-5.58790083242602
2022,7,-6.143116969882421,-2.252304305060271,-3.8908126648221497
2022,42,13.441882463617734,-2.5822453876658713,16.024127851283605
2022,123,-14.544779452712994,-4.5075879301483965,-10.037191522564598
2022,2024,-3.2554919795291895,6.681751856604208,-9.937243836133398
2022,2025,-10.15523469157964,2.2327870682538062,-12.388021759833446
2023,7,0.18320293142355837,-2.3663671701202365,2.549570101543795
2023,42,-7.35826411013805,-9.436422126369585,2.0781580162315354
2023,123,-1.3603785105789559,-3.4581754797443836,2.0977969691654277
2023,2024,3.508052063133187,1.4356442283632145,2.0724078347699724
2023,2025,7.899320752308421,0.5184187940726623,7.380901958235759
2024,7,2.4500028337679467,1.0523468373977245,1.3976559963702222
2024,42,2.459458237207854,0.6241984344301752,1.8352598027776788
2024,123,-0.8910842661115232,1.9408753191452606,-2.831959585256784
2024,2024,-0.03843987961998785,-1.2582277485492526,1.2197878689292647
2024,2025,-0.11019113251510859,-0.8816026647014015,0.7714115321862929
2025,7,1.2615214428499861,1.0408721508831213,0.22064929196686478
2025,42,-1.9237235053983213,-2.6071274971743286,0.6834039917760073
2025,123,3.0560241640511876,-0.02065120351834082,3.0766753675695284
2025,2024,-0.7371450803051935,-0.22548477889653284,-0.5116603014086607
2025,2025,2.1618337037005624,2.2868400915922713,-0.12500638789170893
2026,7,0.7147624837295883,2.0713080807034583,-1.35654559697387
2026,42,-5.435967077191972,-2.777802066087009,-2.6581650111049626
2026,123,-0.8399637001787603,5.04427490421959,-5.88423860439835
2026,2024,-2.339445775076956,-1.1349274867091044,-1.2045182883678516
2026,2025,-4.955230428154143,-3.9742462494498882,-0.9809841787042544
