Year,Base_100,Base_400,Full_100
2015,8.752286753925832,8.671123921285886,10.589594785460857
2016,8.456179857865033,8.785594488914871,6.084620214345618
2017,14.356514246901565,14.864897767178537,12.243004272445061
2018,7.195784748600997,7.123450015325517,7.457253343206602
2019,10.938974657020548,12.566810466732997,8.140880489516952
2020,13.866046300623387,13.691508336549324,16.647199705353163
2021,8.926168954453313,14.992018905017208,6.162192391115342
2022,35.0673658272632,34.9818460876599,30.936017701245902
2023,13.272752776479177,10.611372425719512,13.84713940170881
2024,7.902819596090424,8.198337631634924,8.67676875463626
2025,16.881695650671684,16.976585403248922,17.645397795651327
2026,9.721272831321663,9.566994267857073,7.150103931947214
