Period,Model,Mean_MAPE,Median_annual_MAPE,Across_year_std,Mean_within_year_seed_std,Worst_annual_mean_MAPE,Worst_year,Winning_years
2015-2026 (2026 partial),Base_100,12.9448218501014,10.330123744171106,7.5955592891932655,3.386958592196706,35.0673658272632,2022,2
2015-2026 (2026 partial),Base_400,13.419211643093723,11.589091446226256,7.486952294164697,3.0611980009092954,34.9818460876599,2022,4
2015-2026 (2026 partial),Full_100,12.13168106555276,9.633181770048559,7.112462243933028,1.9137126528029047,30.936017701245902,2022,6
2015-2025 complete,Base_100,13.237871760899559,10.938974657020548,7.8948198272238495,3.529692253949491,35.0673658272632,2022,2
2015-2025 complete,Base_400,13.76941322266069,12.566810466732997,7.748615165888418,3.1299434762923117,34.9818460876599,2022,4
2015-2025 complete,Full_100,12.584551714062354,10.589594785460857,7.27589300416068,2.002931511728446,30.936017701245902,2022,5
