,Full100_minus_Base100_pp,Full100_minus_Base100_pp,Base400_minus_Base100_pp,Base400_minus_Base100_pp,Full100_minus_Base400_pp,Full100_minus_Base400_pp
,mean,std,mean,std,mean,std
Year,,,,,,
2015,1.8373080315350265,4.442708113218677,-0.08116283263994575,5.524221042479587,1.9184708641749726,2.9281200810261994
2016,-2.371559643519414,4.520549536780932,0.3294146310498368,2.6218847031097035,-2.7009742745692513,6.152321553592374
2017,-2.1135099744565036,2.024673040850372,0.5083835202769731,2.1417277376250565,-2.6218934947334764,3.5314345228163355
2018,0.2614685946056062,2.38245709704757,-0.07233473327547894,3.3476851887454413,0.33380332788108513,2.13809505273087
2019,-2.7980941675035975,5.680112868058033,1.6278358097124481,2.4824226936294886,-4.425929977216046,4.683656848581424
2020,2.781153404729774,4.042553433495373,-0.17453796407406336,1.2828988651921118,2.955691368803837,3.0206159492814595
2021,-2.7639765633379723,5.821162122929588,6.0658499505638925,4.648857531099303,-8.829826513901866,3.607969317137843
2022,-4.131348126017302,10.704666419108323,-0.08551973960330486,4.518124409221716,-4.045828386413997,11.651443813611445
2023,0.5743866252296321,5.680764503347304,-2.6613803507596656,4.287185537126828,3.2357669759892977,2.326018535133742
2024,0.7739491585458362,1.5703592809698972,0.29551803554450123,1.340499938004551,0.47843112300133495,1.8894504770107359
2025,0.7637021449796443,2.057433787992846,0.09488975257723808,1.8108296273752682,0.6688123924024062,1.4162036597296075
2026,-2.5711688993744484,2.633388030425746,-0.15427856346459076,3.6883226224299817,-2.4168903359098577,2.0455268834234395
