Year,Base_100,Base_400,Full_100
2015,3.585632714137473,2.4802409528610503,2.0553564389978525
2016,4.345263244221263,5.708221940680812,1.0728563092653283
2017,0.8136066874367615,1.8713275644373577,2.222665692068603
2018,1.7485101208141198,1.7689802446135003,1.1732619970243903
2019,4.140388558262012,2.698450851146796,2.196318067869657
2020,2.376364513267529,1.4300699936041499,2.344305826356597
2021,5.484520340309756,3.3839069106353787,0.5278963699628777
2022,9.695867189086151,11.769639834539133,6.025845572430393
2023,4.555622302077074,1.3520860920866415,2.2518580469820533
2024,0.9163289538768062,0.9366219325525409,1.159011762484397
2025,1.1645101699554514,1.029831922058069,1.0028705455707567
2026,1.8168883129160713,2.304997771696112,0.9323052046219518
