Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,3.7775847506602225,0.026948456224094898,0.12632626263063343,60,1,61,0.0,0.0
Features_only,3.8857296427180055,0.03090247960623412,0.12902786119660334,60,1,61,0.108144892057783,14.672541348041634
Triggers_only,3.3937132637742855,0.02084065285788289,0.11336611256670595,84,1,85,-0.383871486885937,-22.664761630207806
Features_and_triggers,3.480970778806198,0.022735697985572817,0.1156637094625786,84,1,85,-0.2966139718540246,-15.63265147172107
