Trigger_date,Effective_date,Gold_trigger,Copper_trigger
2019-01-03,2019-01-04,False,True
2019-01-04,2019-01-07,False,True
2019-01-30,2019-01-31,False,True
2019-02-08,2019-02-11,False,True
2019-02-20,2019-02-21,False,True
2019-02-21,2019-02-22,False,True
2019-02-22,2019-02-25,False,True
2019-03-01,2019-03-04,False,True
2019-05-01,2019-05-02,False,True
2019-05-03,2019-05-05,False,True
2019-05-07,2019-05-08,False,True
2019-05-10,2019-05-13,False,True
2019-05-13,2019-05-14,False,True
2019-05-15,2019-05-16,False,True
2019-05-22,2019-05-23,False,True
2019-05-24,2019-05-26,False,True
2019-06-06,2019-06-07,True,False
2019-06-07,2019-06-10,True,False
2019-06-20,2019-06-21,True,False
2019-07-01,2019-07-02,True,False
2019-07-03,2019-07-04,True,False
2019-07-04,2019-07-05,True,False
2019-08-02,2019-08-05,False,True
2019-08-05,2019-08-06,True,False
2019-08-08,2019-08-09,False,True
2019-08-19,2019-08-20,True,False
2019-08-27,2019-08-28,True,False
2019-08-28,2019-08-29,True,False
2019-09-13,2019-09-16,False,True
2019-09-16,2019-09-17,False,True
2019-12-09,2019-12-10,False,True
2019-12-20,2019-12-23,False,True
2019-12-25,2019-12-26,False,True
2019-12-27,2019-12-30,False,True
