Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2022-01-03,550343,2012-06-05,2021-12-31,2578,2022-01-03,2022-01-04,2,10
MACD,2022-01-03,550343,2012-06-05,2021-12-31,2578,2022-01-03,2022-01-04,2,11
Both,2022-01-03,550343,2012-06-05,2021-12-31,2578,2022-01-03,2022-01-04,2,12
RSI,2022-01-05,42716,2012-06-05,2022-01-04,2580,2022-01-05,2022-01-12,6,10
MACD,2022-01-05,42716,2012-06-05,2022-01-04,2580,2022-01-05,2022-01-12,6,11
Both,2022-01-05,42716,2012-06-05,2022-01-04,2580,2022-01-05,2022-01-12,6,12
RSI,2022-01-13,42716,2012-06-05,2022-01-12,2586,2022-01-13,2022-01-13,1,10
MACD,2022-01-13,42716,2012-06-05,2022-01-12,2586,2022-01-13,2022-01-13,1,11
Both,2022-01-13,42716,2012-06-05,2022-01-12,2586,2022-01-13,2022-01-13,1,12
RSI,2022-01-14,42716,2012-06-05,2022-01-13,2587,2022-01-14,2022-01-14,1,10
MACD,2022-01-14,42716,2012-06-05,2022-01-13,2587,2022-01-14,2022-01-14,1,11
Both,2022-01-14,42716,2012-06-05,2022-01-13,2587,2022-01-14,2022-01-14,1,12
RSI,2022-01-16,42716,2012-06-05,2022-01-14,2588,2022-01-16,2022-01-19,4,10
MACD,2022-01-16,42716,2012-06-05,2022-01-14,2588,2022-01-16,2022-01-19,4,11
Both,2022-01-16,42716,2012-06-05,2022-01-14,2588,2022-01-16,2022-01-19,4,12
RSI,2022-01-20,42716,2012-06-05,2022-01-19,2592,2022-01-20,2022-01-20,1,10
MACD,2022-01-20,42716,2012-06-05,2022-01-19,2592,2022-01-20,2022-01-20,1,11
Both,2022-01-20,42716,2012-06-05,2022-01-19,2592,2022-01-20,2022-01-20,1,12
RSI,2022-01-21,42716,2012-06-05,2022-01-20,2593,2022-01-21,2022-01-21,1,10
MACD,2022-01-21,42716,2012-06-05,2022-01-20,2593,2022-01-21,2022-01-21,1,11
Both,2022-01-21,42716,2012-06-05,2022-01-20,2593,2022-01-21,2022-01-21,1,12
RSI,2022-01-24,42716,2012-06-05,2022-01-21,2594,2022-01-24,2022-01-28,5,10
MACD,2022-01-24,42716,2012-06-05,2022-01-21,2594,2022-01-24,2022-01-28,5,11
Both,2022-01-24,42716,2012-06-05,2022-01-21,2594,2022-01-24,2022-01-28,5,12
RSI,2022-01-29,741131,2012-06-05,2022-01-28,2599,2022-01-29,2022-01-29,1,10
MACD,2022-01-29,741131,2012-06-05,2022-01-28,2599,2022-01-29,2022-01-29,1,11
Both,2022-01-29,741131,2012-06-05,2022-01-28,2599,2022-01-29,2022-01-29,1,12
RSI,2022-01-30,741131,2012-06-05,2022-01-29,2600,2022-01-30,2022-02-09,9,10
MACD,2022-01-30,741131,2012-06-05,2022-01-29,2600,2022-01-30,2022-02-09,9,11
Both,2022-01-30,741131,2012-06-05,2022-01-29,2600,2022-01-30,2022-02-09,9,12
RSI,2022-02-10,550343,2012-06-05,2022-02-09,2609,2022-02-10,2022-02-10,1,10
MACD,2022-02-10,550343,2012-06-05,2022-02-09,2609,2022-02-10,2022-02-10,1,11
Both,2022-02-10,550343,2012-06-05,2022-02-09,2609,2022-02-10,2022-02-10,1,12
RSI,2022-02-11,550343,2012-06-05,2022-02-10,2610,2022-02-11,2022-02-11,1,10
MACD,2022-02-11,550343,2012-06-05,2022-02-10,2610,2022-02-11,2022-02-11,1,11
Both,2022-02-11,550343,2012-06-05,2022-02-10,2610,2022-02-11,2022-02-11,1,12
RSI,2022-02-14,550343,2012-06-05,2022-02-11,2611,2022-02-14,2022-02-15,2,10
MACD,2022-02-14,550343,2012-06-05,2022-02-11,2611,2022-02-14,2022-02-15,2,11
Both,2022-02-14,550343,2012-06-05,2022-02-11,2611,2022-02-14,2022-02-15,2,12
RSI,2022-02-16,741131,2012-06-05,2022-02-15,2613,2022-02-16,2022-02-16,1,10
MACD,2022-02-16,741131,2012-06-05,2022-02-15,2613,2022-02-16,2022-02-16,1,11
Both,2022-02-16,741131,2012-06-05,2022-02-15,2613,2022-02-16,2022-02-16,1,12
RSI,2022-02-17,741131,2012-06-05,2022-02-16,2614,2022-02-17,2022-02-17,1,10
MACD,2022-02-17,741131,2012-06-05,2022-02-16,2614,2022-02-17,2022-02-17,1,11
Both,2022-02-17,741131,2012-06-05,2022-02-16,2614,2022-02-17,2022-02-17,1,12
RSI,2022-02-18,741131,2012-06-05,2022-02-17,2615,2022-02-18,2022-02-22,4,10
MACD,2022-02-18,741131,2012-06-05,2022-02-17,2615,2022-02-18,2022-02-22,4,11
Both,2022-02-18,741131,2012-06-05,2022-02-17,2615,2022-02-18,2022-02-22,4,12
RSI,2022-02-23,741131,2012-06-05,2022-02-22,2619,2022-02-23,2022-02-24,2,10
MACD,2022-02-23,741131,2012-06-05,2022-02-22,2619,2022-02-23,2022-02-24,2,11
Both,2022-02-23,741131,2012-06-05,2022-02-22,2619,2022-02-23,2022-02-24,2,12
RSI,2022-02-25,741131,2012-06-05,2022-02-24,2621,2022-02-25,2022-02-25,1,10
MACD,2022-02-25,741131,2012-06-05,2022-02-24,2621,2022-02-25,2022-02-25,1,11
Both,2022-02-25,741131,2012-06-05,2022-02-24,2621,2022-02-25,2022-02-25,1,12
RSI,2022-02-28,741131,2012-06-05,2022-02-25,2622,2022-02-28,2022-03-01,2,10
MACD,2022-02-28,741131,2012-06-05,2022-02-25,2622,2022-02-28,2022-03-01,2,11
Both,2022-02-28,741131,2012-06-05,2022-02-25,2622,2022-02-28,2022-03-01,2,12
RSI,2022-03-02,741131,2012-06-05,2022-03-01,2624,2022-03-02,2022-03-02,1,10
MACD,2022-03-02,741131,2012-06-05,2022-03-01,2624,2022-03-02,2022-03-02,1,11
Both,2022-03-02,741131,2012-06-05,2022-03-01,2624,2022-03-02,2022-03-02,1,12
RSI,2022-03-03,741131,2012-06-05,2022-03-02,2625,2022-03-03,2022-03-04,2,10
MACD,2022-03-03,741131,2012-06-05,2022-03-02,2625,2022-03-03,2022-03-04,2,11
Both,2022-03-03,741131,2012-06-05,2022-03-02,2625,2022-03-03,2022-03-04,2,12
RSI,2022-03-07,741131,2012-06-05,2022-03-04,2627,2022-03-07,2022-03-07,1,10
MACD,2022-03-07,741131,2012-06-05,2022-03-04,2627,2022-03-07,2022-03-07,1,11
Both,2022-03-07,741131,2012-06-05,2022-03-04,2627,2022-03-07,2022-03-07,1,12
RSI,2022-03-08,741131,2012-06-05,2022-03-07,2628,2022-03-08,2022-03-08,1,10
MACD,2022-03-08,741131,2012-06-05,2022-03-07,2628,2022-03-08,2022-03-08,1,11
Both,2022-03-08,741131,2012-06-05,2022-03-07,2628,2022-03-08,2022-03-08,1,12
