,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price,elapsed_days
2012-05-09,-1.0918392884821402,-1.6312366708765054,0.22187818711632545,-0.38649969073555823,1.59134880816914,1.8708741586157773,1.0588142640020415,-1.7291879911542611
2012-05-10,-1.0913287649666892,-1.627028896206742,0.19423295469421473,-0.353949253579422,1.6046466079947088,1.9434105247586333,1.0654830641740975,-1.7280934923992273
2012-05-11,-1.111355108806395,-1.603184126320764,0.11151493642332974,-0.4353253464697631,1.6145249735794174,1.843965506659557,1.01070458945014,-1.7269989936441936
2012-05-14,-1.133789161801937,-1.5582994129499907,0.014430104452765451,-0.532976657938173,1.5495557230030665,1.6240165254521874,0.9011476400022252,-1.7237154973790927
2012-05-15,-1.132049146064779,-1.4713348126096266,-0.07503596267705984,-0.5655270950943095,1.5727318884133437,1.5386108040259223,0.8830472754930323,-1.722620998624059
2012-05-16,-1.1780519964635683,-1.4502948691248312,-0.16907328871132776,-0.5655270950943095,1.5119419463535997,1.4461854342632516,0.7849218903822541,-1.7215264998690254
2012-05-17,-1.1368456148136523,-1.4488929909922295,-0.060669148977379565,-0.6631784065627193,1.4933250265978033,1.4485253170420533,0.967358260526409,-1.7204320011139917
2012-05-18,-1.1817482758898437,-1.4615163150015194,-0.16994400469312645,-0.6469031879846511,1.4446930729500083,1.4239565478646345,1.0488113544755018,-1.719337502358958
2012-05-21,-1.1681614393618367,-1.4909718078258412,-0.11508889783980333,-0.5818023136723779,1.4823068495994745,1.502342620954494,1.0335688810505927,-1.716054006093857
2012-05-22,-1.125649767239011,-1.4082160522912195,-0.0972392202129283,-0.5167014393601046,1.5104221978021064,1.4672443792724676,0.9759325152423505,-1.7149595073388233
2012-05-23,-1.1398719714609193,-1.3493050666425754,-0.12401373665324132,-0.6143527508285145,1.4010003020945672,1.2543150464015036,0.8416058196500977,-1.7138650085837897
2012-05-24,-1.16391450793418,-1.3212514519508554,-0.16885560971587857,-0.5492518765162413,1.413158290506516,1.3303612367125626,0.8854289483071177,-1.712770509828756
2012-05-25,-1.1926799442654412,-1.305822231404404,-0.29946300698569617,-0.5818023136723779,1.4382341416061604,1.3759889508991971,0.9402074230310752,-1.7116760110737224
2012-05-28,-1.107365668496793,-1.30021150846606,-0.21260908780126697,-0.5980775322504461,1.4264560903320849,1.4087473098024228,0.8439874924641831,-1.7083925148086212
2012-05-29,-1.107365668496793,-1.30021150846606,-0.14730538916635863,-0.5980775322504461,1.4264560903320849,1.4087473098024228,0.8439874924641831,-1.7072980160535876
2012-05-30,-1.1139768365538618,-1.2202605793326204,-0.1368567973847734,-0.7771049366091974,1.2858793493189273,1.2508052222333008,0.9144852403463377,-1.706203517298554
2012-05-31,-1.1231852093947725,-1.2160528046628571,-0.20716711291502468,-0.8422058109214703,1.286259286456801,1.1946480355420577,0.9106743312585655,-1.7051090185435203
2012-06-01,-1.1242185179074862,-1.2370927481476526,-0.2130444457921663,-1.03750843385829,1.0875521633490133,1.076483955212567,1.186472159422239,-1.7040145197884866
2012-06-04,-1.2083099895354152,-1.2847822879196085,-0.20150745903333225,-0.9398571223898802,1.0537377580782807,1.0612747171503554,1.1469361581231905,-1.7007310235233857
2012-06-05,-1.2055935139739453,-1.2497160721569425,-0.1799572384838133,-0.8747562480776069,1.0883120376247604,1.0179868857425223,1.1612261950077007,-1.6996365247683518
2012-06-06,-1.2068742814832312,-1.317043677281092,-0.1729915106294228,-0.7282792808749926,1.1829163849552364,1.2274063944452833,1.245061543233967,-1.6985420260133182
2012-06-07,-1.226844891314699,-1.3549147194449405,-0.140121982316518,-0.7282792808749926,1.141503236927036,1.208687332214869,1.0249946263346505,-1.6974475272582845
2012-06-08,-1.2474241165161155,-1.2903930108579524,-0.28161332935882116,-0.7445544994530608,1.0472788267344328,1.008627354627315,1.0416663360332472,-1.6963530285032509
2012-06-11,-1.2101369503254227,-1.2903930108579524,-0.19671852113343946,-0.825930592343402,1.086412351935393,1.1431706144084186,1.0673885187179837,-1.69306953223815
2012-06-12,-1.2308276435433128,-1.304419283135823,-0.14099269829831768,-0.7120040622969243,1.01004498722284,1.1256214935674054,1.1493178309372751,-1.6919750334831163
2012-06-13,-1.1812879129818064,-1.3549147194449405,-0.10572870103546696,-0.8096553737653337,1.0366405868739783,1.1338110832932113,1.1750400136220125,-1.6908805347280826
2012-06-14,-1.2005362100665236,-1.375954662929736,-0.08396080149049687,-0.7608297180311292,1.0051058044304857,1.1677393835858374,1.1764692498956992,-1.6897860359730488
2012-06-15,-1.1921003105797767,-1.4194374981679074,-0.10072208414012306,-0.825930592343402,1.0305615926680034,1.2344260427816889,1.217433906005345,-1.6886915372180151
2012-06-18,-1.1748015891031889,-1.370343939991392,-0.0626282599364271,-0.8422058109214703,0.9576136621963108,1.2625046361273107,1.211241324103488,-1.6854080409529142
2012-06-19,-1.197426252406901,-1.4502948691248312,-0.0656757658727225,-0.7608297180311292,0.9549541022311973,1.3525901231111797,1.1945696144048923,-1.6843135421978805
2012-06-20,-1.2033797591667736,-1.4334637704457782,-0.06393433390912512,-0.7445544994530608,0.8926444116199599,1.247295398065098,1.159321321926904,-1.683219043442847
2012-06-21,-1.246665019323928,-1.317043677281092,-0.08570223345409425,-0.7771049366091974,0.7300313166101452,1.0378758893623379,0.9197248042447072,-1.6821245446878133
2012-06-22,-1.3048981404902362,-1.3310699495589626,-0.15623022797979566,-0.6794536251407877,0.7300313166101452,1.058934834371554,1.029281753692622,-1.6810300459327796
2012-06-25,-1.3048981404902362,-1.2974066820648773,-0.15623022797979566,-0.7771049366091974,0.709894648302855,1.0835036035489725,1.029281753692622,-1.6777465496676784
2012-06-26,-1.3097804396117942,-1.3100300060741672,-0.16145452387058876,-0.7282792808749926,0.7668852189838647,1.0741440724337654,0.9649765877123244,-1.6766520509126448
2012-06-27,-1.318574151431422,-1.2833804097870067,-0.24874380104591637,-0.7445544994530608,0.8379334637661905,1.1583798524706301,0.9816482974109193,-1.6755575521576112
2012-06-28,-1.345648617952774,-1.2679511892405555,-0.24852612205046717,-0.825930592343402,0.7984200014273568,1.1033926071687883,0.8492270563625518,-1.6744630534025775
2012-06-29,-1.3070438998073588,-1.411020878692402,-0.24852612205046717,-0.7120040622969243,0.9181001998574776,1.489473265671085,1.1054952837433454,-1.6733685546475439
2012-07-02,-1.3006478650220852,-1.3801624375994992,-0.2267582225054971,-0.8096553737653337,0.9602732221614249,1.4251264892540347,1.0754859737006373,-1.6700850583824427
2012-07-03,-1.2967030119190734,-1.392786831744768,-0.25919239282750256,-0.7445544994530608,1.1354242427210617,1.5912581665489627,1.1902830685100112,-1.668990559627409
2012-07-04,-1.3451358650769938,-1.2483141940243407,-0.2611515037865491,-0.7933801551872655,1.1981138704701726,1.4812836759452779,1.131217466428082,-1.6678960608723754
2012-07-05,-1.3451358650769938,-1.2483141940243407,-0.26158686177744844,-0.7933801551872655,1.1981138704701726,1.4812836759452779,1.131217466428082,-1.6668015621173418
2012-07-06,-1.2985957388388005,-1.1809865889001911,-0.3123060677172283,-0.8747562480776069,1.082612980556659,1.285903463915328,0.985935424768891,-1.6657070633623081
2012-07-09,-1.3634166197787176,-1.199220635847825,-0.36694349557510125,-0.9398571223898802,1.1373239284104286,1.3373808850489681,1.0345213175909906,-1.6624235670972072
2012-07-10,-1.3734699201845004,-1.1711680912920839,-0.4017721348470526,-0.9398571223898802,1.1073088945184304,1.2589948119591077,0.9902225521268617,-1.6613290683421735
2012-07-11,-1.3498052602870863,-1.1417125984677619,-0.4346416631599574,-0.9235819038118118,1.1103483916214174,1.3748190095097959,0.9706923698808932,-1.6602345695871397
2012-07-12,-1.3276643681748708,-1.130491152591074,-0.4120030476331886,-0.988682778124085,1.1084487059320505,1.298772819198738,0.9216302587885933,-1.659140070832106
2012-07-13,-1.3274470055427463,-1.1795836406316105,-0.3926296170381654,-0.9561323409679484,1.212171544571488,1.507022386512098,1.0488113544755018,-1.6580455720770724
2012-07-16,-1.3922099231140967,-1.2090402035919114,-0.3575832987707649,-0.988682778124085,1.2193903501910826,1.4625646137148636,1.0469058999316156,-1.6547620758119714
2012-07-17,-1.378013356535978,-1.217455752931438,-0.3362507572166941,-0.9398571223898802,1.2995570862823695,1.3935380717402104,1.036902990405077,-1.6536675770569378
2012-07-18,-1.3730965023293131,-1.2286771988081262,-0.33450932525309673,-0.9561323409679484,1.364526336858721,1.4368259031480446,0.9478286597435293,-1.6525730783019041
2012-07-19,-1.356223588675655,-1.235689799879072,-0.3340739672621974,-0.9235819038118118,1.4355745816410468,1.5783888112655526,0.9940328797515444,-1.6514785795468705
2012-07-20,-1.382900114378195,-1.1557388707456326,-0.344957917034682,-1.0049579967021534,1.4047996734733015,1.3759889508991971,1.0054650255517716,-1.6503840807918366
2012-07-23,-1.4200512895887896,-1.1220756032515473,-0.3558418668071675,-1.03750843385829,1.2881589721461677,1.2168769219406748,0.9797428428670341,-1.6471005845267357
