Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2019-01-01,374583,2012-06-05,2018-12-31,1764,2019-01-01,2019-01-03,3,10
MACD,2019-01-01,374583,2012-06-05,2018-12-31,1764,2019-01-01,2019-01-03,3,11
Both,2019-01-01,374583,2012-06-05,2018-12-31,1764,2019-01-01,2019-01-03,3,12
RSI,2019-01-04,374583,2012-06-05,2019-01-03,1767,2019-01-04,2019-01-04,1,10
MACD,2019-01-04,374583,2012-06-05,2019-01-03,1767,2019-01-04,2019-01-04,1,11
Both,2019-01-04,374583,2012-06-05,2019-01-03,1767,2019-01-04,2019-01-04,1,12
RSI,2019-01-07,785634,2012-06-05,2019-01-04,1768,2019-01-07,2019-01-30,19,10
MACD,2019-01-07,785634,2012-06-05,2019-01-04,1768,2019-01-07,2019-01-30,19,11
Both,2019-01-07,785634,2012-06-05,2019-01-04,1768,2019-01-07,2019-01-30,19,12
RSI,2019-01-31,565766,2012-06-05,2019-01-30,1787,2019-01-31,2019-02-08,9,10
MACD,2019-01-31,565766,2012-06-05,2019-01-30,1787,2019-01-31,2019-02-08,9,11
Both,2019-01-31,565766,2012-06-05,2019-01-30,1787,2019-01-31,2019-02-08,9,12
RSI,2019-02-11,640934,2012-06-05,2019-02-08,1796,2019-02-11,2019-02-17,6,10
MACD,2019-02-11,640934,2012-06-05,2019-02-08,1796,2019-02-11,2019-02-17,6,11
Both,2019-02-11,640934,2012-06-05,2019-02-08,1796,2019-02-11,2019-02-17,6,12
RSI,2019-02-18,640934,2012-06-05,2019-02-17,1802,2019-02-18,2019-02-18,1,10
MACD,2019-02-18,640934,2012-06-05,2019-02-17,1802,2019-02-18,2019-02-18,1,11
Both,2019-02-18,640934,2012-06-05,2019-02-17,1802,2019-02-18,2019-02-18,1,12
RSI,2019-02-19,640934,2012-06-05,2019-02-18,1803,2019-02-19,2019-02-20,2,10
MACD,2019-02-19,640934,2012-06-05,2019-02-18,1803,2019-02-19,2019-02-20,2,11
Both,2019-02-19,640934,2012-06-05,2019-02-18,1803,2019-02-19,2019-02-20,2,12
RSI,2019-02-21,640934,2012-06-05,2019-02-20,1805,2019-02-21,2019-02-21,1,10
MACD,2019-02-21,640934,2012-06-05,2019-02-20,1805,2019-02-21,2019-02-21,1,11
Both,2019-02-21,640934,2012-06-05,2019-02-20,1805,2019-02-21,2019-02-21,1,12
RSI,2019-02-22,640934,2012-06-05,2019-02-21,1806,2019-02-22,2019-02-22,1,10
MACD,2019-02-22,640934,2012-06-05,2019-02-21,1806,2019-02-22,2019-02-22,1,11
Both,2019-02-22,640934,2012-06-05,2019-02-21,1806,2019-02-22,2019-02-22,1,12
RSI,2019-02-25,640934,2012-06-05,2019-02-22,1807,2019-02-25,2019-02-25,1,10
MACD,2019-02-25,640934,2012-06-05,2019-02-22,1807,2019-02-25,2019-02-25,1,11
Both,2019-02-25,640934,2012-06-05,2019-02-22,1807,2019-02-25,2019-02-25,1,12
RSI,2019-02-26,640934,2012-06-05,2019-02-25,1808,2019-02-26,2019-02-27,2,10
MACD,2019-02-26,640934,2012-06-05,2019-02-25,1808,2019-02-26,2019-02-27,2,11
Both,2019-02-26,640934,2012-06-05,2019-02-25,1808,2019-02-26,2019-02-27,2,12
RSI,2019-02-28,640934,2012-06-05,2019-02-27,1810,2019-02-28,2019-03-01,2,10
MACD,2019-02-28,640934,2012-06-05,2019-02-27,1810,2019-02-28,2019-03-01,2,11
Both,2019-02-28,640934,2012-06-05,2019-02-27,1810,2019-02-28,2019-03-01,2,12
RSI,2019-03-04,640934,2012-06-05,2019-03-01,1812,2019-03-04,2019-03-07,4,10
MACD,2019-03-04,640934,2012-06-05,2019-03-01,1812,2019-03-04,2019-03-07,4,11
Both,2019-03-04,640934,2012-06-05,2019-03-01,1812,2019-03-04,2019-03-07,4,12
RSI,2019-03-08,640934,2012-06-05,2019-03-07,1816,2019-03-08,2019-03-08,1,10
MACD,2019-03-08,640934,2012-06-05,2019-03-07,1816,2019-03-08,2019-03-08,1,11
Both,2019-03-08,640934,2012-06-05,2019-03-07,1816,2019-03-08,2019-03-08,1,12
RSI,2019-03-11,640934,2012-06-05,2019-03-08,1817,2019-03-11,2019-03-12,2,10
MACD,2019-03-11,640934,2012-06-05,2019-03-08,1817,2019-03-11,2019-03-12,2,11
Both,2019-03-11,640934,2012-06-05,2019-03-08,1817,2019-03-11,2019-03-12,2,12
RSI,2019-03-13,640934,2012-06-05,2019-03-12,1819,2019-03-13,2019-03-13,1,10
MACD,2019-03-13,640934,2012-06-05,2019-03-12,1819,2019-03-13,2019-03-13,1,11
Both,2019-03-13,640934,2012-06-05,2019-03-12,1819,2019-03-13,2019-03-13,1,12
RSI,2019-03-14,640934,2012-06-05,2019-03-13,1820,2019-03-14,2019-04-01,13,10
MACD,2019-03-14,640934,2012-06-05,2019-03-13,1820,2019-03-14,2019-04-01,13,11
Both,2019-03-14,640934,2012-06-05,2019-03-13,1820,2019-03-14,2019-04-01,13,12
RSI,2019-04-02,565766,2012-06-05,2019-04-01,1833,2019-04-02,2019-04-02,1,10
MACD,2019-04-02,565766,2012-06-05,2019-04-01,1833,2019-04-02,2019-04-02,1,11
Both,2019-04-02,565766,2012-06-05,2019-04-01,1833,2019-04-02,2019-04-02,1,12
RSI,2019-04-03,798291,2012-06-05,2019-04-02,1834,2019-04-03,2019-04-03,1,10
MACD,2019-04-03,798291,2012-06-05,2019-04-02,1834,2019-04-03,2019-04-03,1,11
Both,2019-04-03,798291,2012-06-05,2019-04-02,1834,2019-04-03,2019-04-03,1,12
RSI,2019-04-04,374583,2012-06-05,2019-04-03,1835,2019-04-04,2019-04-10,5,10
MACD,2019-04-04,374583,2012-06-05,2019-04-03,1835,2019-04-04,2019-04-10,5,11
Both,2019-04-04,374583,2012-06-05,2019-04-03,1835,2019-04-04,2019-04-10,5,12
RSI,2019-04-11,385735,2012-06-05,2019-04-10,1840,2019-04-11,2019-05-01,16,10
MACD,2019-04-11,385735,2012-06-05,2019-04-10,1840,2019-04-11,2019-05-01,16,11
Both,2019-04-11,385735,2012-06-05,2019-04-10,1840,2019-04-11,2019-05-01,16,12
RSI,2019-05-02,385735,2012-06-05,2019-05-01,1856,2019-05-02,2019-05-02,1,10
MACD,2019-05-02,385735,2012-06-05,2019-05-01,1856,2019-05-02,2019-05-02,1,11
Both,2019-05-02,385735,2012-06-05,2019-05-01,1856,2019-05-02,2019-05-02,1,12
RSI,2019-05-03,385735,2012-06-05,2019-05-02,1857,2019-05-03,2019-05-03,1,10
MACD,2019-05-03,385735,2012-06-05,2019-05-02,1857,2019-05-03,2019-05-03,1,11
Both,2019-05-03,385735,2012-06-05,2019-05-02,1857,2019-05-03,2019-05-03,1,12
