Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2020-01-01,785634,2012-06-05,2019-12-31,2035,2020-01-01,2020-01-03,3,10
MACD,2020-01-01,785634,2012-06-05,2019-12-31,2035,2020-01-01,2020-01-03,3,11
Both,2020-01-01,785634,2012-06-05,2019-12-31,2035,2020-01-01,2020-01-03,3,12
RSI,2020-01-06,785634,2012-06-05,2020-01-03,2038,2020-01-06,2020-01-09,4,10
MACD,2020-01-06,785634,2012-06-05,2020-01-03,2038,2020-01-06,2020-01-09,4,11
Both,2020-01-06,785634,2012-06-05,2020-01-03,2038,2020-01-06,2020-01-09,4,12
RSI,2020-01-10,785634,2012-06-05,2020-01-09,2042,2020-01-10,2020-01-23,11,10
MACD,2020-01-10,785634,2012-06-05,2020-01-09,2042,2020-01-10,2020-01-23,11,11
Both,2020-01-10,785634,2012-06-05,2020-01-09,2042,2020-01-10,2020-01-23,11,12
RSI,2020-01-24,965409,2012-06-05,2020-01-23,2053,2020-01-24,2020-01-24,1,10
MACD,2020-01-24,965409,2012-06-05,2020-01-23,2053,2020-01-24,2020-01-24,1,11
Both,2020-01-24,965409,2012-06-05,2020-01-23,2053,2020-01-24,2020-01-24,1,12
RSI,2020-01-27,785634,2012-06-05,2020-01-24,2054,2020-01-27,2020-01-27,1,10
MACD,2020-01-27,785634,2012-06-05,2020-01-24,2054,2020-01-27,2020-01-27,1,11
Both,2020-01-27,785634,2012-06-05,2020-01-24,2054,2020-01-27,2020-01-27,1,12
RSI,2020-01-28,785634,2012-06-05,2020-01-27,2055,2020-01-28,2020-01-28,1,10
MACD,2020-01-28,785634,2012-06-05,2020-01-27,2055,2020-01-28,2020-01-28,1,11
Both,2020-01-28,785634,2012-06-05,2020-01-27,2055,2020-01-28,2020-01-28,1,12
RSI,2020-01-29,785634,2012-06-05,2020-01-28,2056,2020-01-29,2020-01-30,2,10
MACD,2020-01-29,785634,2012-06-05,2020-01-28,2056,2020-01-29,2020-01-30,2,11
Both,2020-01-29,785634,2012-06-05,2020-01-28,2056,2020-01-29,2020-01-30,2,12
RSI,2020-01-31,785634,2012-06-05,2020-01-30,2058,2020-01-31,2020-02-04,3,10
MACD,2020-01-31,785634,2012-06-05,2020-01-30,2058,2020-01-31,2020-02-04,3,11
Both,2020-01-31,785634,2012-06-05,2020-01-30,2058,2020-01-31,2020-02-04,3,12
RSI,2020-02-05,785634,2012-06-05,2020-02-04,2061,2020-02-05,2020-02-11,5,10
MACD,2020-02-05,785634,2012-06-05,2020-02-04,2061,2020-02-05,2020-02-11,5,11
Both,2020-02-05,785634,2012-06-05,2020-02-04,2061,2020-02-05,2020-02-11,5,12
RSI,2020-02-12,785634,2012-06-05,2020-02-11,2066,2020-02-12,2020-02-16,4,10
MACD,2020-02-12,785634,2012-06-05,2020-02-11,2066,2020-02-12,2020-02-16,4,11
Both,2020-02-12,785634,2012-06-05,2020-02-11,2066,2020-02-12,2020-02-16,4,12
RSI,2020-02-17,640934,2012-06-05,2020-02-16,2070,2020-02-17,2020-02-21,5,10
MACD,2020-02-17,640934,2012-06-05,2020-02-16,2070,2020-02-17,2020-02-21,5,11
Both,2020-02-17,640934,2012-06-05,2020-02-16,2070,2020-02-17,2020-02-21,5,12
RSI,2020-02-24,785634,2012-06-05,2020-02-21,2075,2020-02-24,2020-02-24,1,10
MACD,2020-02-24,785634,2012-06-05,2020-02-21,2075,2020-02-24,2020-02-24,1,11
Both,2020-02-24,785634,2012-06-05,2020-02-21,2075,2020-02-24,2020-02-24,1,12
RSI,2020-02-25,785634,2012-06-05,2020-02-24,2076,2020-02-25,2020-02-26,2,10
MACD,2020-02-25,785634,2012-06-05,2020-02-24,2076,2020-02-25,2020-02-26,2,11
Both,2020-02-25,785634,2012-06-05,2020-02-24,2076,2020-02-25,2020-02-26,2,12
RSI,2020-02-27,785634,2012-06-05,2020-02-26,2078,2020-02-27,2020-02-28,2,10
MACD,2020-02-27,785634,2012-06-05,2020-02-26,2078,2020-02-27,2020-02-28,2,11
Both,2020-02-27,785634,2012-06-05,2020-02-26,2078,2020-02-27,2020-02-28,2,12
RSI,2020-03-02,785634,2012-06-05,2020-02-28,2080,2020-03-02,2020-03-05,4,10
MACD,2020-03-02,785634,2012-06-05,2020-02-28,2080,2020-03-02,2020-03-05,4,11
Both,2020-03-02,785634,2012-06-05,2020-02-28,2080,2020-03-02,2020-03-05,4,12
RSI,2020-03-06,785634,2012-06-05,2020-03-05,2084,2020-03-06,2020-03-10,3,10
MACD,2020-03-06,785634,2012-06-05,2020-03-05,2084,2020-03-06,2020-03-10,3,11
Both,2020-03-06,785634,2012-06-05,2020-03-05,2084,2020-03-06,2020-03-10,3,12
RSI,2020-03-11,785634,2012-06-05,2020-03-10,2087,2020-03-11,2020-03-12,2,10
MACD,2020-03-11,785634,2012-06-05,2020-03-10,2087,2020-03-11,2020-03-12,2,11
Both,2020-03-11,785634,2012-06-05,2020-03-10,2087,2020-03-11,2020-03-12,2,12
RSI,2020-03-13,785634,2012-06-05,2020-03-12,2089,2020-03-13,2020-03-13,1,10
MACD,2020-03-13,785634,2012-06-05,2020-03-12,2089,2020-03-13,2020-03-13,1,11
Both,2020-03-13,785634,2012-06-05,2020-03-12,2089,2020-03-13,2020-03-13,1,12
RSI,2020-03-16,965409,2012-06-05,2020-03-13,2090,2020-03-16,2020-03-16,1,10
MACD,2020-03-16,965409,2012-06-05,2020-03-13,2090,2020-03-16,2020-03-16,1,11
Both,2020-03-16,965409,2012-06-05,2020-03-13,2090,2020-03-16,2020-03-16,1,12
RSI,2020-03-17,785634,2012-06-05,2020-03-16,2091,2020-03-17,2020-03-17,1,10
MACD,2020-03-17,785634,2012-06-05,2020-03-16,2091,2020-03-17,2020-03-17,1,11
Both,2020-03-17,785634,2012-06-05,2020-03-16,2091,2020-03-17,2020-03-17,1,12
RSI,2020-03-18,798291,2012-06-05,2020-03-17,2092,2020-03-18,2020-03-18,1,10
MACD,2020-03-18,798291,2012-06-05,2020-03-17,2092,2020-03-18,2020-03-18,1,11
Both,2020-03-18,798291,2012-06-05,2020-03-17,2092,2020-03-18,2020-03-18,1,12
RSI,2020-03-19,798291,2012-06-05,2020-03-18,2093,2020-03-19,2020-03-19,1,10
MACD,2020-03-19,798291,2012-06-05,2020-03-18,2093,2020-03-19,2020-03-19,1,11
Both,2020-03-19,798291,2012-06-05,2020-03-18,2093,2020-03-19,2020-03-19,1,12
RSI,2020-03-20,798291,2012-06-05,2020-03-19,2094,2020-03-20,2020-03-20,1,10
MACD,2020-03-20,798291,2012-06-05,2020-03-19,2094,2020-03-20,2020-03-20,1,11
Both,2020-03-20,798291,2012-06-05,2020-03-19,2094,2020-03-20,2020-03-20,1,12
RSI,2020-03-23,798291,2012-06-05,2020-03-20,2095,2020-03-23,2020-03-23,1,10
MACD,2020-03-23,798291,2012-06-05,2020-03-20,2095,2020-03-23,2020-03-23,1,11
Both,2020-03-23,798291,2012-06-05,2020-03-20,2095,2020-03-23,2020-03-23,1,12
RSI,2020-03-24,798291,2012-06-05,2020-03-23,2096,2020-03-24,2020-03-24,1,10
MACD,2020-03-24,798291,2012-06-05,2020-03-23,2096,2020-03-24,2020-03-24,1,11
Both,2020-03-24,798291,2012-06-05,2020-03-23,2096,2020-03-24,2020-03-24,1,12
