Month,N,A_MAPE,A_MSE,B_MAPE,B_MSE,B_minus_A_MAPE_pp,B_minus_A_MSE
2020-01,24,8.463585186360932,0.17072137072033736,5.418129600396243,0.08200369899481717,-3.045455585964689,-0.08871767172552018
2020-02,21,6.2802687133368496,0.09135333568847316,9.12746267060571,0.1898294022988381,2.8471939572688596,0.09847606661036494
2020-03,22,10.849078960368534,0.2623450225388418,5.638868555424718,0.07003238887712851,-5.210210404943815,-0.19231263366171328
2020-04,23,7.3819181014755095,0.12097979509513677,3.0237182861455576,0.02325004238772446,-4.358199815329952,-0.09772975270741231
2020-05,23,4.241322312122902,0.03969053327216128,4.287974146588492,0.04237858014147459,0.04665183446558974,0.0026880468693133083
2020-06,23,9.288946061270781,0.15408342230294067,6.6623260669737725,0.09103451481523278,-2.626619994297009,-0.06304890748770789
2020-07,23,14.016983526488454,0.7317221302905703,7.17389612045622,0.22510227162592364,-6.843087406032234,-0.5066198586646466
2020-08,21,5.475063343304565,0.17176676718788508,9.147121643792355,0.435968064250938,3.67205830048779,0.2642012970630529
2020-09,24,11.492996398514189,0.6979026679580072,6.28721558976477,0.23293255185572848,-5.205780808749418,-0.4649701161022787
2020-10,23,3.6908948550624063,0.08191981325070898,6.625296218954491,0.22483949101055728,2.9344013638920843,0.14291967775984832
2020-11,21,13.573875472710556,1.4833806161097591,11.83856280381846,1.1313018471786935,-1.735312668892096,-0.3520787689310656
2020-12,23,3.0789620683476193,0.10319272587847216,5.568774145334124,0.34229723188346417,2.4898120769865044,0.239104506004992
