Month,N,Effective_sample_size,Recent60_weight_share
2020-01,2035,173.1253302898749,0.5000000000308344
2020-02,2059,173.1253302950454,0.5000000000233681
2020-03,2080,173.12533029853134,0.5000000000183342
2020-04,2102,173.12533030138076,0.5000000000142196
2020-05,2125,173.12533030367848,0.5000000000109016
2020-06,2148,173.12533030544,0.5000000000083579
2020-07,2171,173.1253303067905,0.5000000000064078
2020-08,2194,173.12533030782595,0.5000000000049124
2020-09,2215,173.12533030855863,0.5000000000038544
2020-10,2239,173.12533030920497,0.5000000000029211
2020-11,2262,173.125330309677,0.5000000000022394
2020-12,2283,173.12533031001112,0.500000000001757
