评价段,模型,样本数,MSE,RMSE,MAE,R²
Test (final),base,271,0.10916995923092775,0.33040877595930734,0.27290278118035016,-0.3591398878191743
Test (final),time,271,0.09496283136219562,0.30816039875719853,0.248506961379104,-0.1822645430469385
Train (final),base,1783,0.01677681942909561,0.12952536210756413,0.0916555294372764,0.9718936616655386
Train (final),time,1783,0.05579808811020996,0.23621618934825353,0.17576917966028577,0.9065210214922012
Validation (internal best),base,68,0.008494017917418276,0.0921629964650579,0.07302442101871266,0.41135408898041337
Validation (internal best),time,68,0.007634862606297875,0.08737770085266534,0.07052679244209736,0.4708946109970542
