,验证超出内部拟合范围 (%),测试超出内部拟合范围 (%),测试超出完整训练范围 (%)
A_500,0.0,0.0,0.0
Dollar Index,0.0,0.0,0.0
cn_10y_rate,0.0,0.0,0.0
us_10y_rate,0.0,0.0,0.0
brent,0.0,1.9736842105263157,1.9736842105263157
Copper Futures Price,22.702702702702705,100.0,73.02631578947368
Gold Futures Price,54.054054054054056,100.0,61.8421052631579
