Year,Method,Anchor,Effective_date,Trigger_date,Seed,Train_start,Train_end,Train_N,Applied_start,Applied_end,Applied_N,Validation_MAPE,Selection_source
2015,Monthly_equal,2015-01-01,2015-01-01,,550343,2012-06-05,2014-12-31,694,2015-01-01,2015-01-30,23,3.2818553442374077,new equal-MSE validation selection
2015,Monthly_equal,2015-02-01,2015-02-02,,550343,2012-06-05,2015-01-30,717,2015-02-02,2015-02-28,22,6.149348359654365,new equal-MSE validation selection
2015,Monthly_equal,2015-03-01,2015-03-02,,385735,2012-06-05,2015-02-28,739,2015-03-02,2015-03-31,22,3.5718941253048477,new equal-MSE validation selection
2015,Monthly_equal,2015-04-01,2015-04-01,,550343,2012-06-05,2015-03-31,761,2015-04-01,2015-04-30,22,3.152210475314515,new equal-MSE validation selection
2015,Monthly_equal,2015-05-01,2015-05-01,,374583,2012-06-05,2015-04-30,783,2015-05-01,2015-05-29,21,4.919595790461857,new equal-MSE validation selection
2015,Monthly_equal,2015-06-01,2015-06-01,,374583,2012-06-05,2015-05-29,804,2015-06-01,2015-06-30,22,8.72726124412707,new equal-MSE validation selection
2015,Monthly_equal,2015-07-01,2015-07-01,,374583,2012-06-05,2015-06-30,826,2015-07-01,2015-07-31,23,11.14136769793139,new equal-MSE validation selection
2015,Monthly_equal,2015-08-01,2015-08-03,,798291,2012-06-05,2015-07-31,849,2015-08-03,2015-08-31,21,3.41908873261459,new equal-MSE validation selection
2015,Monthly_equal,2015-09-01,2015-09-01,,385735,2012-06-05,2015-08-31,870,2015-09-01,2015-09-30,23,3.2148143050068523,new equal-MSE validation selection
2015,Monthly_equal,2015-10-01,2015-10-01,,565766,2012-06-05,2015-09-30,893,2015-10-01,2015-10-30,23,3.688436707625062,new equal-MSE validation selection
2015,Monthly_equal,2015-11-01,2015-11-02,,385735,2012-06-05,2015-10-30,916,2015-11-02,2015-11-30,21,4.079905828943234,new equal-MSE validation selection
2015,Monthly_equal,2015-12-01,2015-12-01,,741131,2012-06-05,2015-11-30,937,2015-12-01,2015-12-31,23,4.301878580345882,new equal-MSE validation selection
2015,Monthly_H60,2015-01-01,2015-01-01,,550343,2012-06-05,2014-12-31,694,2015-01-01,2015-01-30,23,3.2818553442374077,new equal-MSE validation selection
2015,Monthly_H60,2015-02-01,2015-02-02,,550343,2012-06-05,2015-01-30,717,2015-02-02,2015-02-28,22,6.149348359654365,new equal-MSE validation selection
