Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,6.763598616621601,3.562090824474699,1.4561739278195514,88,1,89,0.0,0.0
Features_only,6.035473567819053,3.1252243781750546,1.318177959385203,88,1,89,-0.7281250488025481,-12.264326425872907
Triggers_only,6.41413250508657,3.200618602476666,1.3799251732897406,99,1,100,-0.3494661115350306,-10.14775422104347
Features_and_triggers,5.643618433806282,2.742110043826721,1.2379137116047876,99,1,100,-1.1199801828153193,-23.019648320418685
