Month,Method,N,MAPE,MSE
2025-01,Original,24,6.411804918440535,1.4321078690740254
2025-02,Original,21,6.538936509315817,1.3380456653845703
2025-03,Original,21,4.142433985023326,0.639467221311235
2025-04,Original,23,5.5239414226140955,1.3190310853823406
2025-05,Original,23,6.528395126418783,1.6016896109513616
2025-06,Original,21,4.888649867220991,0.9873792659988835
2025-07,Original,23,7.983907875325026,3.2468455694456964
2025-08,Original,22,16.791606088050017,12.952450171564061
2025-09,Original,23,7.98221592509991,5.531833816810226
2025-10,Original,24,9.23656861158774,11.36077375444797
2025-11,Original,20,2.2354920362010264,0.6668339879605748
2025-12,Original,23,2.2418814888042142,0.7813765806487346
2025-01,Features_only,24,5.145684056093777,0.8474687200058512
2025-02,Features_only,21,4.747121341975039,0.6734389824689031
2025-03,Features_only,21,4.199934547250358,0.6334736577508472
2025-04,Features_only,23,6.4427703047341565,2.5314099638123615
2025-05,Features_only,23,5.432266725712583,1.1095038983258971
2025-06,Features_only,21,4.704809174240154,0.9649955597149422
2025-07,Features_only,23,3.9512577565493463,0.9861399190712502
2025-08,Features_only,22,15.329078597444603,11.066615014423974
2025-09,Features_only,23,8.795708018618337,6.1499313490188126
2025-10,Features_only,24,8.295054327641633,10.05486190687872
2025-11,Features_only,20,2.3908852897129558,0.7902397987132981
2025-12,Features_only,23,2.4728925724307587,0.9153539921831169
2025-01,Triggers_only,24,6.411804918440535,1.4321078690740254
2025-02,Triggers_only,21,5.968265942650146,1.1306952996883033
2025-03,Triggers_only,21,4.142433985023326,0.639467221311235
2025-04,Triggers_only,23,5.313214365345822,1.5157033168215492
2025-05,Triggers_only,23,6.528395126418783,1.6016896109513616
2025-06,Triggers_only,21,4.888649867220991,0.9873792659988835
2025-07,Triggers_only,23,7.667713555803547,3.1324784823861367
2025-08,Triggers_only,22,14.538752761339302,9.882364387950764
2025-09,Triggers_only,23,7.113047614769057,4.3635151691106175
2025-10,Triggers_only,24,9.23656861158774,11.36077375444797
2025-11,Triggers_only,20,2.2354920362010264,0.6668339879605748
2025-12,Triggers_only,23,2.2418814888042142,0.7813765806487346
2025-01,Features_and_triggers,24,5.145684056093777,0.8474687200058512
2025-02,Features_and_triggers,21,4.0668278835045255,0.5456774583147375
2025-03,Features_and_triggers,21,4.199934547250358,0.6334736577508472
2025-04,Features_and_triggers,23,5.349390397864418,1.5957163624098059
2025-05,Features_and_triggers,23,5.432266725712583,1.1095038983258971
2025-06,Features_and_triggers,21,4.704809174240154,0.9649955597149422
2025-07,Features_and_triggers,23,4.126959256063726,1.0206276723640035
2025-08,Features_and_triggers,22,12.947510513234125,8.592607182636403
2025-09,Features_and_triggers,23,8.046581407064505,5.070116445007332
2025-10,Features_and_triggers,24,8.295054327641633,10.05486190687872
2025-11,Features_and_triggers,20,2.3908852897129558,0.7902397987132981
2025-12,Features_and_triggers,23,2.4728925724307587,0.9153539921831169
