Period,Method,N,Annual_equal_MAPE,Annual_equal_MSE,Record_weighted_MAPE,Record_weighted_MSE,Years_MAPE_better_than_baseline,Years
2015-2025_complete,Baseline,2972,4.189631772014513,0.45085163618722707,4.190744803401497,0.4504395090526882,0,11
2015-2025_complete,RSI,2972,3.8265345711618988,0.4596535249061681,3.8275840412933126,0.459007075065118,9,11
2015-2025_complete,MACD,2972,3.7479440296931257,0.3530800223280248,3.7481406248869114,0.35303971101062753,10,11
2015-2025_complete,Both,2972,3.5678698386973324,0.3261626862720142,3.5691418931626875,0.3260979807684204,10,11
2015-2026_partial,Baseline,3124,4.255984579798153,0.760327231912537,4.2294318522576235,0.6311520986581349,0,12
2015-2026_partial,RSI,3124,3.923899392947661,0.7820289616529212,3.884381069294995,0.6472628551553604,9,12
2015-2026_partial,MACD,3124,3.82249748288968,0.6329028198203849,3.791660348369965,0.5164209241816612,11,12
2015-2026_partial,Both,3124,3.6936921348113447,0.6917229497146486,3.642543466732862,0.5395396439425277,10,12
