Year,Baseline,RSI,MACD,Both
2015,0.0752380155469543,0.0507594275656408,0.0699007953854687,0.0409364731417179
2016,0.0227356980249187,0.0181253111673829,0.0185847405011556,0.0168637748742439
2017,0.0391200964086713,0.0335417125137136,0.0319050926701764,0.0234233478043897
2018,0.0623441463353143,0.0522284449626058,0.0415216823209363,0.042468063696461
2019,0.0286979733127749,0.0242080831669885,0.0242053088311219,0.0245463866095845
2020,0.1321272196746012,0.100321043214928,0.1470738051749283,0.1129208759893165
2021,0.3680452091560423,0.319974142208179,0.3262239399498059,0.3849002560106042
2022,0.3234459437623737,0.2733533731779635,0.1958476896430805,0.1546675193174298
2023,0.3565470001452444,0.2690002049484933,0.2973832958587096,0.2965849741789903
2024,0.8089564653849395,0.9109325162081542,0.8007129165437841,0.6670990291200445
2025,2.742110230307663,3.0037445148338,1.9305209787291056,1.823378848249374
2026,4.164558784890947,4.328158765867206,3.7109535922363457,4.712885847583628
