Date,Epoch,Frozen_gold20_prediction,Actual,Predicted
2020-08-03,100,5.878488026900024,5.84,5.878488026900024
2020-08-04,100,5.835894878130063,5.79,5.8934832566416855
2020-08-05,100,5.8816632641663755,6.04,6.010598379110544
2020-08-06,100,5.8485828523179375,6.57,6.130772285884188
2020-08-07,100,5.591916950466648,6.64,5.707686908175161
2020-08-10,100,5.616545545781903,6.33,5.732256055154219
2020-08-11,100,5.657135616523524,6.03,5.494304973389027
2020-08-12,100,5.600558592761086,5.7,5.4532340357184435
2020-08-13,100,5.531557540008741,5.72,5.47601935454192
2020-08-14,100,5.618493683031591,5.78,5.488668792757115
2020-08-17,100,5.762033109077726,6.11,5.731114705465112
2020-08-18,100,5.902325383796715,6.36,5.809938951135255
2020-08-19,100,5.8445580726932445,6.5,5.588296176505354
2020-08-20,100,5.811656994420427,6.32,5.404547773364959
2020-08-21,100,5.72821808296457,6.2,5.298544042403067
2020-08-24,100,5.719067595774542,6.7,5.193061532565968
2020-08-25,100,5.706155597136092,6.6,5.10119728598952
2020-08-26,100,5.6365663810434175,6.53,5.076814297466827
2020-08-27,100,5.637994882467318,6.48,5.056672892049226
2020-08-28,100,5.8939804397748565,6.65,5.3344806461111345
2020-08-31,100,5.960968739810515,7.19,5.402789411248323
2020-09-01,100,5.932164198675828,7.34,5.277436737429107
2020-08-03,200,5.29223366798141,5.84,5.29223366798141
2020-08-04,200,5.255251260786682,5.79,5.316408366308153
2020-08-05,200,5.299766224411058,6.04,5.419749551179286
2020-08-06,200,5.280148208738645,6.57,5.532192534127073
2020-08-07,200,4.960477472081346,6.64,5.077516166347397
2020-08-10,200,5.011846822527813,6.33,5.128856465913586
2020-08-11,200,5.049215030263056,6.03,4.848657683277478
2020-08-12,200,5.063510371685051,5.7,4.8679778054542835
2020-08-13,200,5.011214624107047,5.72,4.939436659958576
2020-08-14,200,5.063268347533263,5.78,4.886570846718352
2020-08-17,200,5.141427115864703,6.11,5.10288612782631
2020-08-18,200,5.2764048752405825,6.36,5.190121051417155
2020-08-19,200,5.2429659160524,6.5,4.944717826352278
2020-08-20,200,5.060582994663392,6.32,4.595758717775835
2020-08-21,200,5.054015088930388,6.2,4.560083592744377
2020-08-24,200,5.096032058540354,6.7,4.468525866439773
2020-08-25,200,5.121896632822863,6.6,4.400723849672715
2020-08-26,200,5.0756195802476824,6.53,4.426558700800991
2020-08-27,200,5.070356242316568,6.48,4.394119545078851
2020-08-28,200,5.270841706351689,6.65,4.681805452394242
2020-08-31,200,5.377312663617615,7.19,4.788221645990155
2020-09-01,200,5.342838191350004,7.34,4.656413023293314
2020-08-03,300,4.8829143168164055,5.84,4.8829143168164055
2020-08-04,300,4.891245351261768,5.79,4.948424847536698
2020-08-05,300,4.899942957046908,6.04,5.013073968444235
2020-08-06,300,4.852769224168826,6.57,5.088279188291892
2020-08-07,300,4.713416194811369,6.64,4.82487181108464
2020-08-10,300,4.779154252403772,6.33,4.89058220360623
2020-08-11,300,4.782696142013977,6.03,4.5917059498678094
2020-08-12,300,4.817222083491888,5.7,4.631016975793025
2020-08-13,300,4.800425818313667,5.72,4.732071866834827
2020-08-14,300,4.773458759419889,5.78,4.605190231043242
2020-08-17,300,4.871358738106069,6.11,4.834656264616103
2020-08-18,300,4.875413025646421,6.36,4.791317435126823
2020-08-19,300,4.813383100973625,6.5,4.522698843910556
2020-08-20,300,4.695458717316537,6.32,4.244137694635251
2020-08-21,300,4.762729928813642,6.2,4.288666753420509
2020-08-24,300,4.80560640923418,6.7,4.214123390231953
2020-08-25,300,4.862165419547428,6.6,4.195020217571063
2020-08-26,300,4.849331904357134,6.53,4.231743264340971
2020-08-27,300,4.818028308716167,6.48,4.17507130766101
2020-08-28,300,4.847304475638625,6.65,4.264122658776939
2020-08-31,300,4.913509934869439,7.19,4.332521978423517
2020-09-01,300,4.886740057406184,7.34,4.209488031716782
2020-08-03,400,4.720364056718619,5.84,4.720364056718619
2020-08-04,400,4.746540339732778,5.79,4.796417435367452
2020-08-05,400,4.766647798467407,6.04,4.864501021126616
2020-08-06,400,4.732566688254923,6.57,4.938123161446121
2020-08-07,400,4.575975612915354,6.64,4.675148339656194
2020-08-10,400,4.653661207986374,6.33,4.749537546445441
2020-08-11,400,4.62280499583071,6.03,4.454671215494629
2020-08-12,400,4.675128929108112,5.7,4.511297755230204
2020-08-13,400,4.677312313112209,5.72,4.615284739443486
2020-08-14,400,4.604485251812399,5.78,4.455127229711511
2020-08-17,400,4.715396882295035,6.11,4.68468505009896
2020-08-18,400,4.724385760433448,6.36,4.654016397856999
2020-08-19,400,4.655279236753962,6.5,4.39710974945976
2020-08-20,400,4.5147728014477515,6.32,4.075785693779186
2020-08-21,400,4.595536550481356,6.2,4.14178791546106
2020-08-24,400,4.63332426130321,6.7,4.0559984439389964
2020-08-25,400,4.702065218260472,6.6,4.056773579381045
2020-08-26,400,4.720333777814004,6.53,4.123930362762298
2020-08-27,400,4.6666116885764835,6.48,4.045700040681473
2020-08-28,400,4.684219317313162,6.65,4.12997161360058
2020-08-31,400,4.75804982763139,7.19,4.212065972391116
2020-09-01,400,4.728598323454378,7.34,4.078379264713757
