Epoch,Date,Period,Prediction_change,Actual_change,Gate_flips,Residual,Refinement,Steps
100,2020-07-20,07-17 to 08-03,0.06345273378389127,0.2600000000000007,0,4.08006961549745e-15,4.385380947269368e-15,2048
100,2020-07-21,07-17 to 08-03,0.27570215676079446,0.0699999999999994,0,0.0,1.5057399771478686e-15,2048
100,2020-07-22,07-17 to 08-03,0.03624137937799343,0.16999999999999993,1,-5.589833457844695e-07,2.556363927646828e-06,2048
100,2020-07-23,07-17 to 08-03,0.08378896414161119,-0.02999999999999936,0,1.8596235662471372e-15,1.5126788710517758e-15,2048
100,2020-07-24,07-17 to 08-03,-0.18202883520283564,-0.1900000000000004,0,2.9976021664879227e-15,3.3861802251067274e-15,2048
100,2020-07-27,07-17 to 08-03,0.12166965145940267,0.3899999999999997,0,2.6506574712925612e-15,2.040034807748725e-15,2048
100,2020-07-28,07-17 to 08-03,-0.03154913362356915,-0.2599999999999998,0,-4.510281037539698e-16,1.1657341758564144e-15,2048
100,2020-07-29,07-17 to 08-03,0.21717832324205943,-0.019999999999999574,1,2.5789182047653014e-06,2.248201624865942e-15,2048
100,2020-07-30,07-17 to 08-03,-0.0764084079506322,-0.08999999999999986,1,-5.6941692609946415e-06,7.69469136523409e-06,2048
100,2020-07-31,07-17 to 08-03,0.023207138557739704,0.1999999999999993,0,8.187894806610529e-16,9.298117831235686e-16,2048
100,2020-08-03,07-17 to 08-03,0.09396859678110214,-0.009999999999999787,1,-2.955887391103973e-07,7.940252985587457e-07,2048
100,2020-08-04,08-03 to 09-01,0.01499522974166112,-0.04999999999999982,2,6.661051014586472e-08,5.655903133561235e-06,2048
100,2020-08-05,08-03 to 09-01,0.11711512246885825,0.25,1,6.964913256968241e-07,2.6505428903384615e-06,2048
100,2020-08-06,08-03 to 09-01,0.12017390677364403,0.5300000000000002,1,1.1736861510319718e-06,8.13429139931432e-06,2048
100,2020-08-07,08-03 to 09-01,-0.4230853777090271,0.0699999999999994,5,-6.391399895555594e-06,2.1837412147243662e-06,4096
100,2020-08-10,08-03 to 09-01,0.024569146979058765,-0.3099999999999996,0,3.469446951953614e-16,5.93275428784068e-16,2048
100,2020-08-11,08-03 to 09-01,-0.23795108176519264,-0.2999999999999998,3,-3.972333225188418e-06,1.8233713841686594e-05,2048
100,2020-08-12,08-03 to 09-01,-0.04107093767058334,-0.33000000000000007,1,-4.294477387353779e-06,1.797173521111972e-15,4096
100,2020-08-13,08-03 to 09-01,0.022785318823476786,0.019999999999999574,0,2.0192181260370035e-15,2.373101715136272e-15,2048
100,2020-08-14,08-03 to 09-01,0.012649438215194486,0.0600000000000005,0,-3.200564813177209e-15,3.3584246494910985e-15,2048
100,2020-08-17,08-03 to 09-01,0.2424459127079972,0.33000000000000007,3,-4.148872254305935e-06,7.18722980948272e-06,2048
100,2020-08-18,08-03 to 09-01,0.0788242456701429,0.25,5,-8.123122491848767e-06,2.267949131176672e-06,4096
100,2020-08-19,08-03 to 09-01,-0.22164277462990079,0.13999999999999968,2,-4.564523277544863e-06,1.1248005204661515e-05,4096
100,2020-08-20,08-03 to 09-01,-0.1837484031403953,-0.17999999999999972,2,-5.709463809511206e-07,3.457317443195107e-06,2048
100,2020-08-21,08-03 to 09-01,-0.10600373096189131,-0.1200000000000001,1,-2.3740110514924861e-07,8.293913517365414e-07,2048
100,2020-08-24,08-03 to 09-01,-0.10548250983709906,0.5,2,3.0154420186251363e-06,6.125283171640704e-06,2048
100,2020-08-25,08-03 to 09-01,-0.09186424657644832,-0.10000000000000053,1,1.1489461100855358e-06,2.095545958979983e-15,2048
100,2020-08-26,08-03 to 09-01,-0.02438298852269316,-0.0699999999999994,1,-6.981914428549896e-09,5.477884257643062e-06,2048
100,2020-08-27,08-03 to 09-01,-0.020141405417600566,-0.04999999999999982,0,8.187894806610529e-16,1.1032841307212493e-15,2048
100,2020-08-28,08-03 to 09-01,0.27780775406190816,0.16999999999999993,2,5.441836337771733e-06,3.4139358007223564e-15,2048
100,2020-08-31,08-03 to 09-01,0.06830876513718831,0.54,0,-1.5265566588595902e-15,7.28583859910259e-16,2048
100,2020-09-01,08-03 to 09-01,-0.1253526738192159,0.14999999999999947,0,2.7478019859472624e-15,9.679756995950584e-16,2048
200,2020-07-20,07-17 to 08-03,0.06834185070427523,0.2600000000000007,0,5.134781488891349e-16,1.1206313654810174e-15,2048
200,2020-07-21,07-17 to 08-03,0.3376582281363394,0.0699999999999994,0,2.1094237467877974e-15,2.942091015256665e-15,2048
200,2020-07-22,07-17 to 08-03,0.02786255768153101,0.16999999999999993,0,-3.094746681142624e-15,2.6922908347160046e-15,2048
200,2020-07-23,07-17 to 08-03,0.15871483567586786,-0.02999999999999936,0,-1.1102230246251565e-16,2.220446049250313e-15,2048
200,2020-07-24,07-17 to 08-03,-0.1632220997586824,-0.1900000000000004,0,-5.495603971894525e-15,3.4139358007223564e-15,2048
200,2020-07-27,07-17 to 08-03,0.18194699929100722,0.3899999999999997,0,1.3322676295501878e-15,2.9837243786801082e-15,2048
200,2020-07-28,07-17 to 08-03,-0.10154347439670808,-0.2599999999999998,1,5.2877840994725034e-11,1.0755285551056204e-15,2048
200,2020-07-29,07-17 to 08-03,0.1485971833164461,-0.019999999999999574,1,-2.501576090274682e-06,1.3183898417423734e-15,2048
200,2020-07-30,07-17 to 08-03,-0.14902934267313572,-0.08999999999999986,0,-2.3314683517128287e-15,1.0408340855860843e-15,2048
200,2020-07-31,07-17 to 08-03,0.0070004933730256624,0.1999999999999993,0,9.905271047827569e-16,1.3634926521177704e-15,2048
200,2020-08-03,07-17 to 08-03,0.02233774261969046,-0.009999999999999787,0,1.3183898417423734e-15,1.790234627208065e-15,2048
200,2020-08-04,08-03 to 09-01,0.024174698326742572,-0.04999999999999982,0,2.5951463200613034e-15,9.159339953157541e-16,2048
200,2020-08-05,08-03 to 09-01,0.10334118487113297,0.25,0,1.4710455076283324e-15,1.5959455978986625e-15,2048
200,2020-08-06,08-03 to 09-01,0.11244298294778687,0.5300000000000002,0,1.887379141862766e-15,8.881784197001252e-16,2048
200,2020-08-07,08-03 to 09-01,-0.45467636777967524,0.0699999999999994,1,3.4169291669994273e-06,8.309933335254316e-06,16384
200,2020-08-10,08-03 to 09-01,0.05134029956618846,-0.3099999999999996,0,1.5959455978986625e-16,4.579669976578771e-16,2048
