Period,Baseline,Expanded,Difference_pp,Relative_improvement_pct,Years_better,Baseline_updates,Expanded_updates,Pooled_baseline,Pooled_expanded
2015—2025完整年份,3.182411847832338,3.3733109738692506,0.1908991260369125,-5.998567601077176,2,1818,1818,3.183266644059832,3.375105729530313
2015—2026（2026截至7月23日）,3.255145013963789,3.429742657286727,0.17459764332293745,-5.363743936873955,3,1917,1917,3.2256915371447183,3.407967011155927
