Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,4.787759572200609,0.9901574441041965,0.7710693608098851,65,1,66,0.0,0.0
Features_only,4.473338310420584,0.8416011769261351,0.7178655361692546,65,1,66,-0.3144212617800246,-15.00329751219125
Triggers_only,4.787962762717926,0.9834150780670055,0.7711090238801726,72,1,73,0.00020319051731743087,-0.6809387817400037
Features_and_triggers,4.405006690989929,0.80895645733484,0.7056313314193334,72,1,73,-0.3827528812106804,-18.300219611365996
