Effective_date,Extra_features,Seed,Train_start,Train_end,Train_N,Stage2_features
2024-01-01,False,741131,2012-06-05,2023-12-31,3125,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2024-01-01,True,741131,2012-06-05,2023-12-31,3125,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2024-01-10,False,741131,2012-06-05,2024-01-09,3132,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2024-01-10,True,741131,2012-06-05,2024-01-09,3132,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2024-01-11,False,741131,2012-06-05,2024-01-10,3133,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2024-01-11,True,741131,2012-06-05,2024-01-10,3133,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2024-01-14,False,965409,2012-06-05,2024-01-12,3135,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2024-01-14,True,965409,2012-06-05,2024-01-12,3135,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2024-01-15,False,965409,2012-06-05,2024-01-14,3136,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2024-01-15,True,965409,2012-06-05,2024-01-14,3136,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
2024-01-31,False,965409,2012-06-05,2024-01-30,3148,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20
2024-01-31,True,965409,2012-06-05,2024-01-30,3148,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20
