评价段,模型,样本数,MSE,RMSE,MAE,R²
Test (final),base,152,30.051195293177923,5.481897052406031,4.929380399302433,-0.7544021636033158
Test (final),time,152,38.12337734081592,6.174413117116146,5.492446789490549,-1.2256597462456575
Train (final),base,3685,7.372865149538506,2.715302036521629,2.0676927965832532,0.7936484929589728
Train (final),time,3685,6.718784189711281,2.592061764254718,2.100947338058635,0.8119548893258773
Validation (internal best),base,185,23.19502307843773,4.816121165257133,4.10623727746912,0.23016512318786708
Validation (internal best),time,185,21.94098238671537,4.68412023615058,4.159936064849029,0.2717863045147755
