Year,Seed,Model,Split,N,MAPE,MPE
2021,42,A_base,Train,2305,3.449712573071926,0.19318481305375515
2021,42,A_base,Test,272,5.830128795248822,0.26547422897502965
2021,42,B_time,Train,2305,3.0814716057196287,0.15508330263317907
2021,42,B_time,Test,272,7.989426466651643,-7.548946991940835
2021,42,C_returns,Train,2305,3.405501537223336,0.20233539761270536
2021,42,C_returns,Test,272,6.967905686501721,-6.03001522088211
2021,42,D_both,Train,2305,3.229254399675263,0.18658519520364628
2021,42,D_both,Test,272,5.593878440523696,2.395216831249505
2021,42,T_time_only,Train,2305,8.51157626534697,1.523716131042689
2021,42,T_time_only,Test,272,18.307734747751244,7.841774159541613
2021,7,A_base,Train,2305,3.5917492472143615,0.2069791285474242
2021,7,A_base,Test,272,7.300256868805357,-6.382342086111237
2021,7,B_time,Train,2305,3.089750521883295,0.15424074295721224
2021,7,B_time,Test,272,8.61144221939373,-8.361157832539543
2021,7,C_returns,Train,2305,3.360031883156186,0.24805171328440542
2021,7,C_returns,Test,272,6.18460284534138,-4.589602046085426
2021,7,D_both,Train,2305,3.0647582084662903,0.1897612679138172
2021,7,D_both,Test,272,11.495145223899883,-11.44765602867738
2021,7,T_time_only,Train,2305,8.978756246742073,0.5605960330746622
2021,7,T_time_only,Test,272,16.36692534737636,-16.281433846945962
2021,123,A_base,Train,2305,3.401944011651761,0.19595637338146818
2021,123,A_base,Test,272,18.61842245016156,-18.61842245016156
2021,123,B_time,Train,2305,2.955260836535472,0.14213120351394093
2021,123,B_time,Test,272,5.828054854691576,-4.243381471334583
2021,123,C_returns,Train,2305,3.1501044573181,0.1591447232629396
2021,123,C_returns,Test,272,5.666309418811223,0.21125544185222303
2021,123,D_both,Train,2305,2.936300613729442,0.22934729304529716
2021,123,D_both,Test,272,7.764981487167946,-6.81399334801807
2021,123,T_time_only,Train,2305,9.201601587743756,2.341794191138382
2021,123,T_time_only,Test,272,12.272554389452687,2.29215149451937
2022,42,A_base,Train,2577,4.105352680460332,0.333216547147721
2022,42,A_base,Test,274,18.52032136315777,-18.25173761399759
2022,42,B_time,Train,2577,3.7355969772960536,0.18757673468687383
2022,42,B_time,Test,274,41.64414348700322,-41.405200803723396
2022,42,C_returns,Train,2577,4.4677581481309625,0.38585240418851297
2022,42,C_returns,Test,274,31.962203826775493,-31.526966139885534
2022,42,D_both,Train,2577,3.900680130713049,0.2520461085738797
2022,42,D_both,Test,274,42.80479167154936,-42.263272640277705
2022,42,T_time_only,Train,2577,11.481846630082355,2.776785258871963
2022,42,T_time_only,Test,274,53.325065338002155,53.325065338002155
2022,7,A_base,Train,2577,3.9792031308677482,0.2436029492344039
2022,7,A_base,Test,274,43.32479803454866,-43.18736890512175
2022,7,B_time,Train,2577,3.8123441402306426,0.31536669061743444
2022,7,B_time,Test,274,31.402281555055787,-31.0512290520188
2022,7,C_returns,Train,2577,4.023868118040739,0.25944811438990395
2022,7,C_returns,Test,274,37.18168106466622,-36.624426931194684
2022,7,D_both,Train,2577,3.8888707262629225,0.3014239699071829
2022,7,D_both,Test,274,37.395883877109675,-36.71798759437785
2022,7,T_time_only,Train,2577,10.161120756865495,0.5361855469557478
2022,7,T_time_only,Test,274,31.622138779791094,31.57111128955855
2022,123,A_base,Train,2577,3.948734788887733,0.41172869328095635
2022,123,A_base,Test,274,35.748021428594285,-35.5390721161225
2022,123,B_time,Train,2577,3.429529290351648,0.29839893922680194
2022,123,B_time,Test,274,37.50405277896479,-37.211228107857266
2022,123,C_returns,Train,2577,4.119830454552441,0.2500287916224262
