Year,Seed,B_minus_A,C_minus_A,D_minus_B,D_minus_C
2021,7,1.3111853505883735,-1.1156540234639767,2.8837030045061525,5.310542378558503
2021,42,2.159297671402821,1.1377768912528996,-2.3955480261279467,-1.3740272459780254
2021,123,-12.790367595469984,-12.952113031350336,1.9369266324763696,2.0986720683567226
2022,7,-11.92251647949287,-6.143116969882435,5.9936023220538885,0.21420281244345318
2022,42,23.12382212384545,13.441882463617723,1.1606481845461403,10.842587844773867
2022,123,1.756031350370506,-14.544779452713001,3.2588655813165417,19.55967638440005
2023,7,-3.561099029449256,0.1832029314235637,2.510461310506038,-1.2338406503667816
2023,42,-8.946271059023337,-7.358264110138052,0.3048997832884748,-1.2831071655968103
2023,123,-1.1661684768132847,-1.3603785105789576,6.382123900832767,6.5763339345984395
2024,7,5.051763115705497,2.4500028337679476,-2.0409967551262422,0.5607635268113071
2024,42,2.6789049194387484,2.459458237207855,-0.21725289904067147,0.0021937831902221205
2024,123,-0.7969649213432835,-0.8910842661115259,0.3922050206477099,0.48632436541595236
2025,7,1.2767262236368637,1.2615214428499861,-1.5348131108023075,-1.51960833001543
2025,42,-1.4248753409341717,-1.9237235053983177,-0.5054995073996906,-0.006651342935544591
2025,123,-0.496091039043387,3.0560241640511894,2.528918916655268,-1.0231962864393083
2026,7,2.9030003322568465,0.7147624837295865,-3.3663135342956174,-1.1780756857683574
2026,42,-0.9784726252725999,-5.435967077191972,0.09905917611113857,4.55655362803051
2026,123,-2.6276629824703557,-0.8399637001787612,1.1124885724574254,-0.6752107098341691
