,A_base,B_time,C_returns,D_both,T_time_only
All_years,15.428281581837188,15.181072778388994,13.880480848553487,16.20904381020041,20.626327335945998
Exclude_2022,12.007728509784576,10.847255479331874,10.633435227109318,11.386612978311131,16.237250777176023
