评价段,模型,样本数,MSE,RMSE,MAE,R²
Test (final),base,273,8.046902769298319,2.8367063241192803,2.735702210031586,-16.58206438351752
Test (final),time,273,2.1126321408825994,1.4534896425095707,1.3126095321152236,-3.6159914422484407
Train (final),base,2871,0.3484008923451722,0.5902549384335316,0.4163947114376439,0.9556989387023511
Train (final),time,2871,0.163132865799203,0.40389709803265855,0.28520894903291266,0.9792567721661527
Validation (internal best),base,68,1.0518098680488288,1.0255778215468725,0.9525024374793558,-0.005392002108240979
Validation (internal best),time,68,0.30783073011313433,0.5548249544794596,0.49706301633049466,0.7057542779732524
