Seed,Model,Split,N,MAPE,MSE,MSE_standardized
42,Base,Train,2034,2.392220964340436,0.013530304547715083,0.025558943564120147
42,Base,Test,271,12.40719685738471,0.8348406838795996,1.5770262856288426
42,Stacking,Train,2034,2.3135810643963506,0.011929633297515129,0.022535252116208198
42,Stacking,Test,271,12.34250045915119,0.801806962128872,1.5146251011645746
42,DirectReturns,Train,2034,2.2608645108571053,0.011249385503935467,0.02125025406576476
42,DirectReturns,Test,271,19.6736201428843,3.619253777276176,6.836823421927485
7,Base,Train,2034,2.5062992239652684,0.015785757975741523,0.02981952814114389
7,Base,Test,271,9.645994131700881,0.6583922266833244,1.243712564304125
7,Stacking,Train,2034,2.3474837052896094,0.01321868049690821,0.02497028116559783
7,Stacking,Test,271,9.91820961476821,0.7065864081129319,1.3347520792636254
7,DirectReturns,Train,2034,2.15457838548954,0.010748070493567009,0.020303262664893632
7,DirectReturns,Test,271,25.53998935714314,5.834548168515215,11.021546989968106
123,Base,Train,2034,2.5045458269966714,0.01472871984753823,0.027822767627099617
123,Base,Test,271,14.957557606407972,1.6144047284063263,3.049634189494587
123,Stacking,Train,2034,2.22882495251317,0.011728501227221017,0.02215531068802726
123,Stacking,Test,271,15.087375560939527,1.6526639117095785,3.121906347405643
123,DirectReturns,Train,2034,2.282532892478291,0.012448605159004816,0.02351559756759135
123,DirectReturns,Test,271,12.737289266474027,1.474748434743987,2.7858214042389355
