epoch,fit_mse,val_mse
1,0.8649325370788574,0.03661908581852913
2,0.7523369789123535,0.01587458699941635
3,0.6433014869689941,0.03780149295926094
4,0.5435468554496765,0.13736917078495026
5,0.4651113748550415,0.40080344676971436
6,0.41230499744415283,0.7831385731697083
7,0.36980727314949036,1.0337190628051758
8,0.31790173053741455,0.9732820987701416
9,0.2524173855781555,0.662369430065155
10,0.18503837287425995,0.29589006304740906
11,0.13258923590183258,0.06102811172604561
12,0.10594271123409271,0.0255899541079998
13,0.1019037514925003,0.10913456231355667
14,0.10347878187894821,0.17853735387325287
15,0.09967558830976486,0.16058824956417084
16,0.09455814957618713,0.08778459578752518
17,0.09905306249856949,0.04295918345451355
18,0.1098092719912529,0.05455142259597778
19,0.10783065855503082,0.06230737268924713
20,0.08936335146427155,0.04857629910111427
21,0.06926701962947845,0.0551709420979023
22,0.06006437912583351,0.09115104377269745
23,0.059870291501283646,0.12083768099546432
24,0.05938546732068062,0.1149967685341835
25,0.05450690537691116,0.07984858751296997
26,0.04846912994980812,0.04644203558564186
27,0.046112947165966034,0.042760442942380905
28,0.04834546521306038,0.07268168777227402
29,0.05101708695292473,0.11430326104164124
30,0.05039382725954056,0.14010991156101227
31,0.04740722477436066,0.13610026240348816
32,0.04543707147240639,0.11485549062490463
33,0.04536543786525726,0.09665604680776596
34,0.04422528296709061,0.09375828504562378
35,0.040686674416065216,0.10780208557844162
36,0.03703122213482857,0.13676930963993073
37,0.035282719880342484,0.17177733778953552
38,0.03472194820642471,0.1950916051864624
39,0.03354697301983833,0.1929783672094345
40,0.03192703798413277,0.1679202914237976
41,0.031405966728925705,0.13500067591667175
42,0.03222042694687843,0.10897569358348846
43,0.03294423967599869,0.09636656194925308
44,0.03261050209403038,0.09716152399778366
45,0.03185714781284332,0.10815607756376266
46,0.03146521374583244,0.12303726375102997
47,0.031074687838554382,0.13237492740154266
48,0.03005802445113659,0.1291004866361618
49,0.028784818947315216,0.11458411067724228
50,0.028025461360812187,0.09647631645202637
51,0.027796262875199318,0.08263719081878662
52,0.027537083253264427,0.07683160156011581
53,0.02713506855070591,0.07900924980640411
54,0.026954928413033485,0.08655919879674911
55,0.027051987126469612,0.09445389360189438
56,0.02704116329550743,0.09681640565395355
57,0.026743615046143532,0.0910443440079689
58,0.026451127603650093,0.08019237220287323
59,0.026304300874471664,0.070282943546772
60,0.026077216491103172,0.06571365147829056
61,0.02568753995001316,0.0677926242351532
62,0.025375522673130035,0.07520655542612076
63,0.02523217722773552,0.0840631052851677
64,0.02505258284509182,0.08981133997440338
65,0.024795198813080788,0.0903158113360405
66,0.024640822783112526,0.08796924352645874
67,0.024579860270023346,0.08783330768346786
68,0.024441499263048172,0.09336911141872406
69,0.024258486926555634,0.105272576212883
70,0.02415463887155056,0.12042290717363358
71,0.02406158298254013,0.1332433670759201
72,0.023885197937488556,0.1395845264196396
73,0.023714222013950348,0.14022547006607056
74,0.0236163642257452,0.13992516696453094
75,0.02350614406168461,0.14308671653270721
76,0.02335890382528305,0.15074820816516876
77,0.023255886510014534,0.1599276065826416
78,0.023183466866612434,0.1656506210565567
79,0.02306782640516758,0.16499623656272888
80,0.022941365838050842,0.15973061323165894
81,0.022849420085549355,0.15460652112960815
82,0.022746616974473,0.15355651080608368
83,0.022619254887104034,0.1568165421485901
84,0.02250540442764759,0.16090577840805054
85,0.022399328649044037,0.1620790958404541
86,0.02226846292614937,0.15912924706935883
87,0.022138362750411034,0.1548936665058136
88,0.022016888484358788,0.15354926884174347
89,0.021882740780711174,0.1562907099723816
90,0.021757250651717186,0.16106829047203064
91,0.021650666370987892,0.16415712237358093
92,0.02154518850147724,0.1632404625415802
93,0.021428709849715233,0.16008590161800385
94,0.021309254691004753,0.15797163546085358
95,0.02119147591292858,0.15888726711273193
96,0.021098220720887184,0.16190947592258453
97,0.021012218669056892,0.16387802362442017
98,0.02093099057674408,0.1627250462770462
99,0.02084711194038391,0.15929009020328522
100,0.020762836560606956,0.1563037931919098
101,0.020674213767051697,0.15582744777202606
102,0.02058432810008526,0.1574619859457016
