评价段,模型,样本数,MSE,RMSE,MAE,R²
Test (final),base,535,0.07981039246196316,0.28250733169594583,0.22157551628184097,0.06456578273206959
Test (final),time,535,0.10210562948866694,0.3195397150412871,0.2725121972271215,-0.19675015562542275
Train (final),base,979,0.6871571645182452,0.8289494342348303,0.6433254575096186,0.21969531906585082
Train (final),time,979,0.672917171175906,0.820315287664387,0.6409296850822068,0.23586561319250587
Validation (internal best),base,67,0.014865212045996052,0.12192297587409869,0.10561681291950285,-0.1861708115043612
Validation (internal best),time,67,0.015155025719142564,0.12310575014654093,0.10776973667429458,-0.2092965172660799
